Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
"Наименование Избирательной комиссии:    Новороссийск, Восточная"																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24303	1305	2165	1519	1465	1469	1290	1277	2289	1781	1522	1113	2339	1584	860	732	1426	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26102	1450	2200	1500	1900	1500	1320	1300	2300	1900	1500	1100	2300	1550	1450	1250	1400	182									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16015	1038	935	427	702	1076	486	726	1940	1607	1359	416	1239	1112	838	612	1335	167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2541	267	185	342	172	123	90	551	143	174	61	123	57	85	22	120	26	0									
6	Число погашенных избирательных бюллетеней	7546	145	1080	731	1026	301	744	23	217	119	80	561	1004	353	590	518	39	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2289	267	185	342	172	123	90	299	143	174	61	123	57	85	22	120	26	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15692	1038	935	427	702	1076	485	404	1940	1607	1359	416	1239	1112	838	612	1335	167									
9	Число недействительных избирательных бюллетеней	111	9	0	11	15	6	2	0	0	0	0	0	24	0	22	3	14	5									
10	Число действительных избирательных бюллетеней	17870	1296	1120	758	859	1193	573	703	2083	1781	1420	539	1272	1197	838	729	1347	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	20	35	20	40	20	20	20	35	35	20	20	30	35	25	35	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	276	8	35	15	17	10	14	7	16	20	12	8	17	35	17	35	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	220	9	19	17	21	9	16	6	8	10	13	3	16	6	6	15	22	24									
14	Число погашенных неиспользованных открепительных удостоверений	154	12	0	5	23	10	6	13	19	15	8	12	13	0	8	0	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	5	7	2	9	3	3	3	4	4	2	0	2	5	2	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	12	23	10	13	10	6	11	8	0	10	9	12	21	8	6	11	1									
		0.95%	0.92%	2.05%	1.30%	1.49%	0.83%	1.04%	1.56%	0.38%	0.00%	0.70%	1.67%	0.93%	1.75%	0.93%	0.82%	0.81%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	221	18	33	15	12	16	12	16	2	1	2	15	29	19	13	11	6	1									
		1.23%	1.38%	2.95%	1.95%	1.37%	1.33%	2.09%	2.28%	0.10%	0.06%	0.14%	2.78%	2.24%	1.59%	1.51%	1.50%	0.44%	0.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	235	16	0	8	11	25	9	29	5	20	5	12	24	25	14	13	14	5									
		1.31%	1.23%	0.00%	1.04%	1.26%	2.09%	1.57%	4.13%	0.24%	1.12%	0.35%	2.23%	1.85%	2.09%	1.63%	1.78%	1.03%	2.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11782	813	672	455	524	844	305	434	1271	1600	999	299	701	750	580	375	1072	88									
		65.52%	62.30%	60.00%	59.17%	59.95%	70.39%	53.04%	61.74%	61.02%	89.84%	70.35%	55.47%	54.09%	62.66%	67.44%	51.23%	78.77%	52.69%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	116	16	0	2	7	15	4	10	1	0	4	9	10	26	4	1	5	2									
		0.65%	1.23%	0.00%	0.26%	0.80%	1.25%	0.70%	1.42%	0.05%	0.00%	0.28%	1.67%	0.77%	2.17%	0.47%	0.14%	0.37%	1.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	50	4	0	1	3	3	0	6	1	0	1	2	13	13	0	2	0	1									
		0.28%	0.31%	0.00%	0.13%	0.34%	0.25%	0.00%	0.85%	0.05%	0.00%	0.07%	0.37%	1.00%	1.09%	0.00%	0.27%	0.00%	0.60%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2316	196	156	127	150	156	111	87	271	55	178	99	209	140	101	125	105	50									
		12.88%	15.02%	13.93%	16.51%	17.16%	13.01%	19.30%	12.38%	13.01%	3.09%	12.54%	18.37%	16.13%	11.70%	11.74%	17.08%	7.71%	29.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	85	4	24	5	4	3	7	4	2	0	0	4	13	4	5	3	3	0									
		0.47%	0.31%	2.14%	0.65%	0.46%	0.25%	1.22%	0.57%	0.10%	0.00%	0.00%	0.74%	1.00%	0.33%	0.58%	0.41%	0.22%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	589	66	56	28	13	25	15	41	104	25	74	20	46	40	8	15	12	1									
		3.28%	5.06%	5.00%	3.64%	1.49%	2.09%	2.61%	5.83%	4.99%	1.40%	5.21%	3.71%	3.55%	3.34%	0.93%	2.05%	0.88%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	1	0	0	3	2	0	1	0	0	1	4	9	6	0	2	0	0									
		0.16%	0.08%	0.00%	0.00%	0.34%	0.17%	0.00%	0.14%	0.00%	0.00%	0.07%	0.74%	0.69%	0.50%	0.00%	0.27%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	147	7	11	10	5	9	7	8	1	18	6	2	27	10	10	6	9	1									
		0.82%	0.54%	0.98%	1.30%	0.57%	0.75%	1.22%	1.14%	0.05%	1.01%	0.42%	0.37%	2.08%	0.84%	1.16%	0.82%	0.66%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1574	118	89	62	90	70	60	51	312	54	132	48	133	86	50	136	74	9									
		8.75%	9.04%	7.95%	8.06%	10.30%	5.84%	10.43%	7.25%	14.98%	3.03%	9.30%	8.91%	10.26%	7.18%	5.81%	18.58%	5.44%	5.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	94	6	0	3	1	1	1	2	1	0	2	1	14	14	45	1	2	0									
		0.52%	0.46%	0.00%	0.39%	0.11%	0.08%	0.17%	0.28%	0.05%	0.00%	0.14%	0.19%	1.08%	1.17%	5.23%	0.14%	0.15%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	461	19	56	32	23	14	36	3	104	8	6	15	32	43	0	33	34	3									
		2.56%	1.46%	5.00%	4.16%	2.63%	1.17%	6.26%	0.43%	4.99%	0.45%	0.42%	2.78%	2.47%	3.59%	0.00%	4.51%	2.50%	1.80%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
