Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Орловская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10920	1402	1373	956	952	1000	470	933	254	366	247	210	185	391	233	81	856	619	392									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11014	1414	1384	956	960	1003	478	943	253	374	249	214	186	383	233	83	864	634	403									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4317	573	586	360	374	365	214	348	90	182	116	61	81	182	80	45	291	211	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	573	66	34	23	32	47	17	30	37	25	12	15	17	20	49	8	86	40	15									
6	Число погашенных избирательных бюллетеней	6124	775	764	573	554	591	247	565	126	167	121	138	88	181	104	30	487	383	230									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	573	66	34	23	32	47	17	30	37	25	12	15	17	20	49	8	86	40	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4316	573	586	360	374	364	214	348	90	182	116	61	81	182	80	45	291	211	158									
9	Число недействительных избирательных бюллетеней	149	21	18	10	10	12	10	18	6	8	1	7	4	2	1	0	12	4	5									
10	Число действительных избирательных бюллетеней	4740	618	602	373	396	399	221	360	121	199	127	69	94	200	128	53	365	247	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	492	42	40	50	70	40	20	30	20	20	20	20	10	20	10	10	10	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	87	9	9	14	7	3	2	8	0	3	4	4	0	2	0	2	3	9	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	8	6	8	3	2	3	6	5	3	5	2	3	9	3	2	4	7	5									
14	Число погашенных неиспользованных открепительных удостоверений	405	33	31	36	63	37	18	22	20	17	16	16	10	18	10	8	7	21	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	44	7	3	7	3	6	2	4	1	0	1	1	1	0	1	0	6	1	0									
		0.90%	1.10%	0.48%	1.83%	0.74%	1.46%	0.87%	1.06%	0.79%	0.00%	0.78%	1.32%	1.02%	0.00%	0.78%	0.00%	1.59%	0.40%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	127	16	22	10	8	17	6	8	3	8	1	0	5	2	3	3	8	5	2									
		2.60%	2.50%	3.55%	2.61%	1.97%	4.14%	2.60%	2.12%	2.36%	3.86%	0.78%	0.00%	5.10%	0.99%	2.33%	5.66%	2.12%	1.99%	1.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	98	10	13	9	6	11	4	2	3	3	2	2	1	5	2	0	14	9	2									
		2.00%	1.56%	2.10%	2.35%	1.48%	2.68%	1.73%	0.53%	2.36%	1.45%	1.56%	2.63%	1.02%	2.48%	1.55%	0.00%	3.71%	3.59%	1.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1713	178	190	104	118	120	85	115	45	79	80	34	53	75	59	19	163	112	84									
		35.04%	27.86%	30.65%	27.15%	29.06%	29.20%	36.80%	30.42%	35.43%	38.16%	62.50%	44.74%	54.08%	37.13%	45.74%	35.85%	43.24%	44.62%	48.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	4	2	0	0	3	2	1	0	1	0	1	1	1	0	0	1	1	0									
		0.37%	0.63%	0.32%	0.00%	0.00%	0.73%	0.87%	0.26%	0.00%	0.48%	0.00%	1.32%	1.02%	0.50%	0.00%	0.00%	0.27%	0.40%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0									
		0.12%	0.00%	0.16%	0.00%	0.25%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1219	158	160	103	106	112	58	98	40	63	18	11	16	46	25	13	69	73	50									
		24.93%	24.73%	25.81%	26.89%	26.11%	27.25%	25.11%	25.93%	31.50%	30.43%	14.06%	14.47%	16.33%	22.77%	19.38%	24.53%	18.30%	29.08%	28.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	2	1	2	0	1	1	4	0	0	0	0	0	0	0	1	0	0	0									
		0.25%	0.31%	0.16%	0.52%	0.00%	0.24%	0.43%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	7	4	6	3	3	3	4	1	2	2	0	0	1	0	0	6	1	3									
		0.94%	1.10%	0.65%	1.57%	0.74%	0.73%	1.30%	1.06%	0.79%	0.97%	1.56%	0.00%	0.00%	0.50%	0.00%	0.00%	1.59%	0.40%	1.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.26%	0.00%	0.24%	0.43%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	10	7	6	2	4	1	0	2	3	1	0	0	2	0	1	2	2	1									
		0.90%	1.56%	1.13%	1.57%	0.49%	0.97%	0.43%	0.00%	1.57%	1.45%	0.78%	0.00%	0.00%	0.99%	0.00%	1.89%	0.53%	0.80%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	998	182	154	85	105	82	44	96	12	28	9	15	10	42	28	11	58	24	13									
		20.41%	28.48%	24.84%	22.19%	25.86%	19.95%	19.05%	25.40%	9.45%	13.53%	7.03%	19.74%	10.20%	20.79%	21.71%	20.75%	15.38%	9.56%	7.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	2	1	1	6	0	1	0	0	1	1	0	0	0	1	0	1	1	0									
		0.33%	0.31%	0.16%	0.26%	1.48%	0.00%	0.43%	0.00%	0.00%	0.48%	0.78%	0.00%	0.00%	0.00%	0.78%	0.00%	0.27%	0.40%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	395	42	44	39	38	39	13	26	14	11	12	5	7	26	9	5	37	15	13									
		8.08%	6.57%	7.10%	10.18%	9.36%	9.49%	5.63%	6.88%	11.02%	5.31%	9.38%	6.58%	7.14%	12.87%	6.98%	9.43%	9.81%	5.98%	7.51%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
