Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Шалинская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №449	УИК №455									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51295	828	1607	1400	2254	2997	1725	2760	2109	2112	2631	2792	2477	2006	783	1305	1505	1514	1994	1920	1850	1614	1123	2139	2859	1193	1487	2311									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50019	806	1565	1363	2196	2920	1680	2690	2052	2058	2560	2720	2410	1954	763	1271	1466	1475	1943	1870	1800	1572	1094	2085	2785	1162	1448	2311									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48885	792	1517	1332	2153	2872	1648	2580	1996	2028	2527	2640	2384	1886	734	1224	1420	1445	1892	1849	1782	1525	1070	2016	2730	1113	1419	2311									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	199	6	10	9	14	13	11	5	8	4	15	11	9	6	1	3	7	5	10	12	9	5	12	1	8	4	1	0									
6	Число погашенных избирательных бюллетеней	935	8	38	22	29	35	21	105	48	26	18	69	17	62	28	44	39	25	41	9	9	42	12	68	47	45	28	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	199	6	10	9	14	13	11	5	8	4	15	11	9	6	1	3	7	5	10	12	9	5	12	1	8	4	1	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48885	792	1517	1332	2153	2872	1648	2580	1996	2028	2527	2640	2384	1886	734	1224	1420	1445	1892	1849	1782	1525	1070	2016	2730	1113	1419	2311									
9	Число недействительных избирательных бюллетеней	18	1	3	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	0									
10	Число действительных избирательных бюллетеней	49066	797	1524	1341	2165	2881	1659	2585	2004	2032	2541	2651	2393	1892	735	1227	1427	1450	1900	1859	1791	1530	1082	2017	2735	1117	1420	2311									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	233	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	65	0	0	0	1	3	0	2	0	0	1	0	1	1	0	0	0	0	4	3	0	0	0	0	0	0	0	49									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	168	7	7	7	7	4	7	5	7	7	6	7	6	6	7	7	7	7	3	4	7	7	7	7	7	7	7	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	1	0	40									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	84	0	3	4	3	5	1	5	6	3	5	7	2	2	3	2	1	3	3	6	2	3	2	4	1	2	2	4									
		0.17%	0.00%	0.20%	0.30%	0.14%	0.17%	0.06%	0.19%	0.30%	0.15%	0.20%	0.26%	0.08%	0.11%	0.41%	0.16%	0.07%	0.21%	0.16%	0.32%	0.11%	0.20%	0.18%	0.20%	0.04%	0.18%	0.14%	0.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	598	7	14	12	27	25	11	19	30	28	14	32	40	23	8	10	14	17	19	20	40	37	15	27	32	26	22	29									
		1.22%	0.88%	0.92%	0.89%	1.25%	0.87%	0.66%	0.74%	1.50%	1.38%	0.55%	1.21%	1.67%	1.22%	1.09%	0.81%	0.98%	1.17%	0.99%	1.07%	2.23%	2.42%	1.39%	1.34%	1.17%	2.33%	1.55%	1.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	0	2	2	3	7	2	3	1	2	11	6	8	3	0	6	5	5	7	4	4	3	1	6	7	2	3	6									
		0.22%	0.00%	0.13%	0.15%	0.14%	0.24%	0.12%	0.12%	0.05%	0.10%	0.43%	0.23%	0.33%	0.16%	0.00%	0.49%	0.35%	0.34%	0.37%	0.21%	0.22%	0.20%	0.09%	0.30%	0.26%	0.18%	0.21%	0.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	46898	762	1457	1282	2068	2754	1586	2471	1915	1942	2428	2534	2287	1808	703	1173	1364	1386	1816	1777	1712	1462	1035	1928	2614	1068	1357	2209									
		95.55%	95.49%	95.42%	95.60%	95.43%	95.46%	95.60%	95.59%	95.56%	95.57%	95.52%	95.59%	95.57%	95.56%	95.65%	95.60%	95.59%	95.59%	95.48%	95.49%	95.59%	95.56%	95.66%	95.59%	95.47%	95.61%	95.56%	95.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	258	8	9	10	17	12	14	21	28	15	17	14	8	8	9	8	8	4	9	6	3	3	0	7	8	3	0	9									
		0.53%	1.00%	0.59%	0.75%	0.78%	0.42%	0.84%	0.81%	1.40%	0.74%	0.67%	0.53%	0.33%	0.42%	1.22%	0.65%	0.56%	0.28%	0.47%	0.32%	0.17%	0.20%	0.00%	0.35%	0.29%	0.27%	0.00%	0.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	0	0	1	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1									
		0.02%	0.13%	0.00%	0.00%	0.05%	0.03%	0.00%	0.04%	0.00%	0.00%	0.08%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.04%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.01%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	96	1	2	2	3	4	5	7	3	6	4	7	8	1	2	3	3	0	4	5	2	2	4	1	9	1	2	5									
		0.20%	0.13%	0.13%	0.15%	0.14%	0.14%	0.30%	0.27%	0.15%	0.30%	0.16%	0.26%	0.33%	0.05%	0.27%	0.24%	0.21%	0.00%	0.21%	0.27%	0.11%	0.13%	0.37%	0.05%	0.33%	0.09%	0.14%	0.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	1	2	0	1	2	0	0	1	1	0	1	2	2	0	1	1	1	1	1	1	1	0	1	3	1	1	3									
		0.06%	0.13%	0.13%	0.00%	0.05%	0.07%	0.00%	0.00%	0.05%	0.05%	0.00%	0.04%	0.08%	0.11%	0.00%	0.08%	0.07%	0.07%	0.05%	0.05%	0.06%	0.07%	0.00%	0.05%	0.11%	0.09%	0.07%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	1	0	0	2	1	0	1	0	0	0	1	1	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0									
		0.03%	0.13%	0.00%	0.00%	0.09%	0.03%	0.00%	0.04%	0.00%	0.00%	0.00%	0.04%	0.04%	0.00%	0.00%	0.16%	0.00%	0.07%	0.05%	0.00%	0.06%	0.00%	0.09%	0.00%	0.00%	0.09%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	234	3	7	5	6	6	8	9	1	9	8	10	2	14	0	1	2	5	13	17	16	7	11	13	21	10	13	17									
		0.48%	0.38%	0.46%	0.37%	0.28%	0.21%	0.48%	0.35%	0.05%	0.44%	0.31%	0.38%	0.08%	0.74%	0.00%	0.08%	0.14%	0.34%	0.68%	0.91%	0.89%	0.46%	1.02%	0.64%	0.77%	0.90%	0.92%	0.74%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	731	13	27	24	34	63	32	47	19	26	52	38	35	30	10	21	29	27	27	23	10	12	13	30	39	3	19	28									
		1.49%	1.63%	1.77%	1.79%	1.57%	2.18%	1.93%	1.82%	0.95%	1.28%	2.05%	1.43%	1.46%	1.59%	1.36%	1.71%	2.03%	1.86%	1.42%	1.24%	0.56%	0.78%	1.20%	1.49%	1.42%	0.27%	1.34%	1.21%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
