Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Режевская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №720	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788					
1	"Число избирателей, внесенных в списки избирателей"	39817	171	2177	2236	2554	2428	2039	1306	2352	1403	1109	2068	1505	1915	1937	1876	1939	1358	574	358	717	248	1014	161	538	155	502	915	201	967	220	612	1300	120	262	508	72					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36500	250	2000	2000	2300	2200	1800	1100	2000	1200	1000	1900	1400	1700	1800	1700	1800	1300	550	350	700	250	1000	160	500	150	500	900	200	900	200	600	1200	100	250	450	90					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20525	171	1053	1229	1381	1353	844	553	1012	585	608	1238	868	995	874	929	982	769	243	188	417	158	587	110	318	95	220	453	101	518	102	383	602	70	128	336	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1845	0	54	53	29	42	59	112	136	94	31	28	34	54	56	50	55	28	303	45	20	20	66	14	26	15	57	48	12	69	41	45	98	11	14	23	3					
6	Число погашенных избирательных бюллетеней	14130	79	893	718	890	805	897	435	852	521	361	634	498	651	870	721	763	503	4	117	263	72	347	36	156	40	223	399	87	313	57	172	500	19	108	91	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1845	0	54	53	29	42	59	112	136	94	31	28	34	54	56	50	55	28	303	45	20	20	66	14	26	15	57	48	12	69	41	45	98	11	14	23	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20523	171	1052	1229	1381	1353	844	553	1012	585	608	1238	867	995	874	929	982	769	243	188	417	158	587	110	318	95	220	453	101	518	102	383	602	70	128	336	52					
9	Число недействительных избирательных бюллетеней	163	1	11	6	6	6	8	4	7	0	5	8	1	5	6	8	9	6	11	0	1	0	4	5	5	0	1	10	0	9	3	1	9	1	1	3	2					
10	Число действительных избирательных бюллетеней	22205	170	1095	1276	1404	1389	895	661	1141	679	634	1258	900	1044	924	971	1028	791	535	233	436	178	649	119	339	110	276	491	113	578	140	427	691	80	141	356	53					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	560	0	29	30	25	21	25	10	16	10	11	12	11	21	20	20	15	16	0	26	10	6	39	25	6	10	4	25	7	30	5	10	13	2	21	12	17					
