Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Тверской район																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033					
1	"Число избирателей, внесенных в список"	51672	2121	2566	1336	2322	2188	2270	1089	1617	1702	1784	1141	1642	1397	2588	1726	1895	1724	2001	2427	2300	1863	1784	1967	2314	2574	968	1089	87	231	238	54	153	514					
2	Число полученных избирательных бюллетеней	47761	2100	2180	1100	2000	2000	2180	1100	1500	1700	1700	1140	1580	1400	2300	1550	1800	1500	1800	2200	2050	1600	1600	1700	2100	2350	1000	1091	110	240	270	90	190	540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35436	1776	1311	758	1491	1291	1529	909	1114	986	1332	1060	1147	783	1402	1319	1025	1094	1586	1774	1504	1188	1484	1021	1385	1911	968	1087	87	224	196	54	126	514					
5	"Число избирательных бюллетеней, выданных вне помещения"	895	31	55	24	57	59	43	17	25	38	21	36	25	27	53	21	47	38	23	27	43	49	26	36	44	30	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	11430	293	814	318	452	650	608	174	361	676	347	44	408	590	845	210	728	368	191	399	503	363	90	643	671	409	32	4	23	16	74	36	64	26					
7	Число избирательных бюллетеней в переносных ящиках	895	31	55	24	57	59	43	17	25	38	21	36	25	27	53	21	47	38	23	27	43	49	26	36	44	30	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	35280	1774	1302	758	1488	1291	1529	890	1089	981	1319	1052	1145	780	1387	1319	1022	1056	1583	1773	1504	1182	1484	1021	1385	1911	968	1086	87	224	196	54	126	514					
9	Число недействительных избирательных бюллетеней	254	4	8	3	4	8	8	5	3	7	8	3	12	2	2	3	5	6	9	12	8	6	5	8	7	25	34	23	1	2	0	0	0	23					
10	Число действительных избирательных бюллетеней	35921	1801	1349	779	1541	1342	1564	902	1111	1012	1332	1085	1158	805	1438	1337	1064	1088	1597	1788	1539	1225	1505	1049	1422	1916	934	1063	86	222	196	54	126	491					
11	Число полученных открепительных  удостоверений	1310	50	50	50	50	50	50	50	50	70	50	50	50	50	50	50	50	50	50	50	50	70	50	50	50	70	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	860	28	38	24	26	40	40	20	22	50	37	21	32	19	27	20	39	42	30	41	30	47	42	31	50	64	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1594	274	48	171	100	88	40	57	37	18	73	38	61	30	52	56	20	31	35	45	42	49	25	43	33	19	8	0	36	0	17	11	16	21					
14	Число неиспользованных открепительных удостоверений	450	22	12	26	24	10	10	30	28	20	13	29	18	31	23	30	11	8	20	9	20	23	8	19	0	6	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	3	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	2238	43	108	49	80	111	32	56	119	73	51	57	54	57	129	32	88	99	116	131	128	119	91	73	117	108	23	18	3	26	5	2	11	29					
		6.19%	2.38%	7.96%	6.27%	5.18%	8.22%	2.04%	6.17%	10.68%	7.16%	3.81%	5.24%	4.62%	7.06%	8.96%	2.39%	8.23%	9.05%	7.22%	7.28%	8.27%	9.67%	6.03%	6.91%	8.19%	5.56%	2.38%	1.66%	3.45%	11.61%	2.55%	3.70%	8.73%	5.64%					
19	. Малышкин Олег Александрович	272	13	17	0	9	10	9	5	2	9	4	3	14	9	8	6	7	7	9	14	12	10	18	12	12	12	8	8	8	1	2	0	1	13					
		0.75%	0.72%	1.25%	0.00%	0.58%	0.74%	0.57%	0.55%	0.18%	0.88%	0.30%	0.28%	1.20%	1.12%	0.56%	0.45%	0.65%	0.64%	0.56%	0.78%	0.78%	0.81%	1.19%	1.14%	0.84%	0.62%	0.83%	0.74%	9.20%	0.45%	1.02%	0.00%	0.79%	2.53%					
20	. Миронов Сергей Михайлович	171	6	3	4	15	3	4	4	4	7	5	1	7	1	7	4	11	4	9	6	5	9	4	12	2	6	11	10	0	1	3	0	0	3					
		0.47%	0.33%	0.22%	0.51%	0.97%	0.22%	0.25%	0.44%	0.36%	0.69%	0.37%	0.09%	0.60%	0.12%	0.49%	0.30%	1.03%	0.37%	0.56%	0.33%	0.32%	0.73%	0.26%	1.14%	0.14%	0.31%	1.14%	0.92%	0.00%	0.45%	1.53%	0.00%	0.00%	0.58%					
21	. Путин Владимир Владимирович	25387	1471	1008	520	1046	777	1361	618	620	648	1137	824	759	450	742	1158	625	615	1094	1205	1086	757	1108	595	863	1650	842	985	58	158	155	39	92	321					
		70.18%	81.50%	74.28%	66.50%	67.70%	57.56%	86.58%	68.14%	55.66%	63.59%	84.85%	75.74%	64.87%	55.76%	51.53%	86.42%	58.47%	56.22%	68.12%	66.94%	70.20%	61.49%	73.38%	56.29%	60.39%	85.01%	86.98%	90.70%	66.67%	70.54%	79.08%	72.22%	73.02%	62.45%					
22	. Хакамада Ирина Муцуовна	3401	123	102	97	180	229	82	117	119	122	61	119	168	153	216	71	111	142	96	175	106	142	116	161	206	91	19	14	2	10	12	5	6	28					
		9.40%	6.81%	7.52%	12.40%	11.65%	16.96%	5.22%	12.90%	10.68%	11.97%	4.55%	10.94%	14.36%	18.96%	15.00%	5.30%	10.38%	12.98%	5.98%	9.72%	6.85%	11.54%	7.68%	15.23%	14.42%	4.69%	1.96%	1.29%	2.30%	4.46%	6.12%	9.26%	4.76%	5.45%					
23	. Харитонов Николай Михайлович	2495	65	59	54	111	106	44	40	169	104	37	37	64	57	192	35	136	143	185	154	132	118	76	117	116	37	13	12	5	15	8	4	8	42					
		6.90%	3.60%	4.35%	6.91%	7.18%	7.85%	2.80%	4.41%	15.17%	10.21%	2.76%	3.40%	5.47%	7.06%	13.33%	2.61%	12.72%	13.07%	11.52%	8.56%	8.53%	9.59%	5.03%	11.07%	8.12%	1.91%	1.34%	1.10%	5.75%	6.70%	4.08%	7.41%	6.35%	8.17%					
																																								
24	Против всех	1957	80	52	55	100	106	32	62	78	49	37	44	92	78	144	31	86	78	88	103	70	70	92	79	106	12	18	16	10	11	11	4	8	55					
		5.41%	4.43%	3.83%	7.03%	6.47%	7.85%	2.04%	6.84%	7.00%	4.81%	2.76%	4.04%	7.86%	9.67%	10.00%	2.31%	8.04%	7.13%	5.48%	5.72%	4.52%	5.69%	6.09%	7.47%	7.42%	0.62%	1.86%	1.47%	11.49%	4.91%	5.61%	7.41%	6.35%	10.70%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
