Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Черепановская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193					
1	"Число избирателей, внесенных в списки"	40275	1578	1743	1657	1941	1899	941	946	1753	1035	1821	902	1043	1756	1856	303	1127	1026	1032	1124	55	91	813	112	129	121	310	456	93	811	132	123	399	1840	238	165	298	535	1135	781	172	152	509	457	145	801	183	194	907	299	143	738	145	466	472	236	136					
2	"Число бюллетеней, полученных участковыми комиссиями"	39870	1570	1720	1655	1910	1890	935	920	1750	930	1800	890	1015	1710	1815	299	1130	1050	1050	1080	54	90	825	170	130	122	324	435	100	800	134	118	405	1820	238	168	310	533	1120	768	167	147	485	428	219	820	182	190	925	265	143	720	145	440	464	220	127					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20987	691	858	713	793	719	407	373	785	441	684	337	432	902	977	232	499	436	521	680	44	61	484	102	96	82	183	313	48	576	98	90	287	1081	185	126	202	385	597	508	111	107	326	327	137	500	119	120	496	224	103	416	77	325	302	177	92					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1333	25	39	30	36	75	24	16	50	91	43	30	27	82	21	7	44	59	49	59	2	5	49	10	4	4	29	18	12	7	0	10	22	51	0	2	6	4	15	20	6	6	27	0	8	56	7	13	45	8	0	30	0	10	29	4	7					
6	Число погашенных бюллетеней	17550	854	823	912	1081	1096	504	531	915	398	1073	523	556	726	817	60	587	555	480	341	8	24	292	58	30	36	112	104	40	217	36	18	96	688	53	40	102	144	508	240	50	34	132	101	74	264	56	57	384	33	40	274	68	105	133	39	28					
7	Число бюллетеней в переносных ящиках для голосования	1333	25	39	30	36	75	24	16	50	91	43	30	27	82	21	7	44	59	49	59	2	5	49	10	4	4	29	18	12	7	0	10	22	51	0	2	6	4	15	20	6	6	27	0	8	56	7	13	45	8	0	30	0	10	29	4	7					
8	Число бюллетеней в стационарных ящиках для голосования	20985	691	858	713	793	719	407	373	785	441	684	337	432	902	977	232	499	436	520	680	44	61	483	102	96	82	183	313	48	576	98	90	287	1081	185	126	202	385	597	508	111	107	326	327	137	500	119	120	496	224	103	416	77	325	302	177	92					
9	Число недействительных бюллетеней	518	23	26	19	7	15	9	8	19	12	19	7	11	27	22	7	23	13	9	13	0	5	9	8	6	3	2	3	6	7	0	1	14	21	0	8	14	2	13	6	0	0	4	6	7	4	3	4	24	6	2	14	0	8	4	12	3					
10	Число действительных бюллетеней	21800	693	871	724	822	779	422	381	816	520	708	360	448	957	976	232	520	482	560	726	46	61	523	104	94	83	210	328	54	576	98	99	295	1111	185	120	194	387	599	522	117	113	349	321	138	552	123	129	517	226	101	432	77	327	327	169	96					
