Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Неверкинская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851					
1	"Число избирателей, внесенных в списки избирателей"	13273	910	325	570	360	479	483	951	229	118	472	318	317	579	144	302	932	884	927	695	312	192	1289	432	617	320	116					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13440	951	337	613	360	490	506	949	232	134	479	317	320	586	150	303	933	882	931	683	313	198	1253	463	618	324	115					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10235	891	232	452	316	381	364	738	203	112	410	256	273	498	88	253	552	500	624	496	193	159	1184	317	441	229	73					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	924	19	23	58	18	26	24	128	9	0	26	34	16	34	18	27	60	42	23	41	29	24	31	53	85	44	32					
6	Число погашенных избирательных бюллетеней	2281	41	82	103	26	83	118	83	20	22	43	27	31	54	44	23	321	340	284	146	91	15	38	93	92	51	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	924	19	23	58	18	26	24	128	9	0	26	34	16	34	18	27	60	42	23	41	29	24	31	53	85	44	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10235	891	232	452	316	381	364	738	203	112	410	256	273	498	88	253	552	500	624	496	193	159	1184	317	441	229	73					
9	Число недействительных избирательных бюллетеней	83	0	6	0	4	0	6	9	0	0	2	22	0	0	0	0	5	13	5	2	3	1	0	3	0	2	0					
10	Число действительных избирательных бюллетеней	11076	910	249	510	330	407	382	857	212	112	434	268	289	532	106	280	607	529	642	535	219	182	1215	367	526	271	105					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	15	5	15	10	10	18	15	5	5	10	10	7	15	5	10	15	26	22	12	10	5	15	10	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	187	12	2	10	5	10	18	7	1	0	10	4	4	4	0	4	15	23	20	8	2	3	10	2	7	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	34	0	0	1	2	1	2	2	1	1	1	1	2	0	0	1	5	3	1	1	1	1	2	1	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	108	3	3	5	5	0	0	8	4	5	0	6	3	11	5	6	0	3	2	4	8	2	5	8	3	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	186	0	8	2	4	5	23	21	1	0	20	10	4	3	2	4	13	3	0	4	8	3	21	3	11	13	0					
		1.67%	0.00%	3.14%	0.39%	1.20%	1.23%	5.93%	2.42%	0.47%	0.00%	4.59%	3.45%	1.38%	0.56%	1.89%	1.43%	2.12%	0.55%	0.00%	0.74%	3.60%	1.64%	1.73%	0.81%	2.09%	4.76%	0.00%					
