Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Ямальская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202					
1	"Число избирателей, внесенных в списки избирателей"	9063	611	1120	2150	1313	1137	1258	1474					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9100	606	1086	2274	1297	1120	1256	1461					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3269	110	479	0	962	385	430	903					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5070	467	589	1865	129	673	798	549					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	247	28	18	115	3	46	28	9					
6	Число погашенных избирательных бюллетеней	514	1	0	294	203	16	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3516	138	497	115	965	431	458	912					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5070	467	589	1865	129	673	798	549					
9	Число недействительных избирательных бюллетеней	29	3	0	15	6	0	2	3					
10	Число действительных избирательных бюллетеней	8557	602	1086	1965	1088	1104	1254	1458					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	146	20	20	44	2	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	62	0	8	44	0	1	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	32	1	6	9	0	3	6	7					
14	Число погашенных неиспользованных открепительных удостоверений	84	20	12	0	2	19	17	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	2	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	12	1	0	2	2	1	1	5					
		0.14%	0.17%	0.00%	0.10%	0.18%	0.09%	0.08%	0.34%					
19	2.Всероссийская политическая партия «Гражданская Сила»	8	1	0	2	1	3	1	0					
		0.09%	0.17%	0.00%	0.10%	0.09%	0.27%	0.08%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	0	3	2	2	1	1					
		0.10%	0.00%	0.00%	0.15%	0.18%	0.18%	0.08%	0.07%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	26	2	5	6	3	2	3	5					
		0.30%	0.33%	0.46%	0.30%	0.27%	0.18%	0.24%	0.34%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	1	0	0	2	1	1	0					
		0.06%	0.17%	0.00%	0.00%	0.18%	0.09%	0.08%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	0	0	0	1	1	1	0					
		0.03%	0.00%	0.00%	0.00%	0.09%	0.09%	0.08%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	48	2	3	14	3	7	3	16					
		0.56%	0.33%	0.28%	0.71%	0.27%	0.63%	0.24%	1.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	277	28	17	100	86	29	3	14					
		3.23%	4.63%	1.57%	5.05%	7.86%	2.63%	0.24%	0.96%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	6	1	0	3	1	0	1	0					
		0.07%	0.17%	0.00%	0.15%	0.09%	0.00%	0.08%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8155	565	1061	1834	985	1056	1238	1416					
		94.98%	93.39%	97.70%	92.63%	90.04%	95.65%	98.57%	96.92%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	8	1	0	1	2	2	1	1					
		0.09%	0.17%	0.00%	0.05%	0.18%	0.18%	0.08%	0.07%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
