Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Ямальская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
1	"Число избирателей, внесенных в список избирателей"	9992	619	1277	2650	1598	1115	1289	1444					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10080	642	1282	2600	1621	1134	1296	1505					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3276	18	388	0	1289	330	241	1010					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5838	454	606	2515	280	554	1000	429					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	161	15	18	50	3	40	30	5					
6	Число погашенных избирательных бюллетеней	805	155	270	35	49	210	25	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3437	33	406	50	1292	370	271	1015					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5838	454	606	2515	280	554	1000	429					
9	Число недействительных избирательных бюллетеней	36	12	3	4	4	11	2	0					
10	Число действительных избирательных бюллетеней	9239	475	1009	2561	1568	913	1269	1444					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	287	30	20	60	10	40	67	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	231	27	20	60	5	35	67	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	9	5	19	8	2	3	5					
14	Число погашенных неиспользованных открепительных удостоверений	56	3	0	0	5	5	0	43					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	2	8	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	399	70	96	52	103	34	32	12					
		4.30%	14.37%	9.49%	2.03%	6.55%	3.68%	2.52%	0.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	287	69	44	32	9	45	78	10					
		3.09%	14.17%	4.35%	1.25%	0.57%	4.87%	6.14%	0.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	2	3	11	4	15	7	0					
		0.45%	0.41%	0.30%	0.43%	0.25%	1.62%	0.55%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	119	26	23	22	7	37	2	2					
		1.28%	5.34%	2.27%	0.86%	0.45%	4.00%	0.16%	0.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	11	8	8	2	13	2	0					
		0.47%	2.26%	0.79%	0.31%	0.13%	1.41%	0.16%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8323	292	831	2429	1440	763	1148	1420					
		89.74%	59.96%	82.11%	94.70%	91.60%	82.58%	90.32%	98.34%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	5	4	7	3	6	0	0					
		0.27%	1.03%	0.40%	0.27%	0.19%	0.65%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
