Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Дальнереченская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290					
1	"Число избирателей, внесенных в списки"	9634	1029	521	920	198	613	87	44	281	141	283	1023	133	154	634	283	196	245	336	857	317	279	321	557	182					
2	"Число бюллетеней, полученных участковыми комиссиями"	9000	978	485	926	185	570	80	41	260	135	260	953	124	146	588	262	184	225	310	794	302	261	300	465	166					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	75	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6003	525	287	537	137	371	66	36	204	97	197	522	100	90	390	206	153	156	230	521	169	231	250	403	125					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	434	33	24	24	0	20	0	0	20	26	31	40	5	7	45	25	18	15	16	41	38	0	0	6	0					
6	Число погашенных бюллетеней	2488	420	174	308	48	179	14	5	36	12	32	391	19	49	153	31	13	54	64	232	77	30	50	56	41					
7	Число бюллетеней в переносных ящиках для голосования	509	33	24	81	0	20	0	0	20	26	31	40	5	7	45	25	18	15	16	41	56	0	0	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	6002	524	287	537	137	371	66	36	204	97	197	522	100	90	390	206	153	156	230	521	169	231	250	403	125					
9	Число недействительных бюллетеней	103	1	5	13	0	10	4	2	2	3	4	5	0	1	11	8	1	2	2	16	4	1	1	6	1					
10	Число действительных бюллетеней	6408	556	306	605	137	381	62	34	222	120	224	557	105	96	424	223	170	169	244	546	221	230	249	403	124					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	10	6	10	3	10	3	3	4	3	6	10	4	4	10	6	6	6	3	10	7	6	6	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	36	10	0	2	0	0	0	0	4	3	6	3	0	0	3	0	1	0	0	1	0	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	2	1	0	0	0	3	0	2	0	3	1	1	1	0	4	0	0	0	2	1	0	0	2	0					
14	Число погашенных открепительных удостоверений	114	0	6	8	3	10	3	3	0	0	0	7	4	4	7	6	5	6	3	9	7	6	6	7	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	132	10	3	14	3	5	2	0	6	8	5	3	8	1	9	8	4	8	3	8	3	6	6	6	3					
		2.02%	1.79%	0.96%	2.26%	2.18%	1.27%	3.03%	0.0%	2.67%	6.50%	2.19%	0.53%	7.61%	1.03%	2.06%	3.46%	2.33%	4.67%	1.21%	1.42%	1.33%	2.59%	2.4%	1.46%	2.4%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	79	8	2	9	0	11	1	0	0	0	2	7	0	6	3	7	2	0	3	7	2	0	5	3	1					
		1.21%	1.43%	0.64%	1.45%	0.0%	2.81%	1.51%	0.0%	0.0%	0.0%	0.87%	1.24%	0.0%	6.18%	0.68%	3.03%	1.16%	0.0%	1.21%	1.24%	0.88%	0.0%	2.0%	0.73%	0.8%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	125	12	2	10	4	8	1	0	2	4	4	14	1	7	7	8	0	7	0	10	3	3	6	6	6					
		1.91%	2.15%	0.64%	1.61%	2.91%	2.04%	1.51%	0.0%	0.89%	3.25%	1.75%	2.49%	0.95%	7.21%	1.60%	3.46%	0.0%	4.09%	0.0%	1.77%	1.33%	1.29%	2.4%	1.46%	4.8%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	94	5	9	9	1	8	0	0	3	3	5	5	3	2	10	2	4	1	1	15	0	4	1	2	1					
		1.44%	0.89%	2.89%	1.45%	0.72%	2.04%	0.0%	0.0%	1.33%	2.43%	2.19%	0.88%	2.85%	2.06%	2.29%	0.86%	2.33%	0.58%	0.40%	2.66%	0.0%	1.73%	0.4%	0.48%	0.8%					
22	"5. ""За Русь Святую"""	33	0	1	5	0	3	0	0	0	0	1	5	0	0	0	5	1	1	1	4	2	1	0	3	0					
		0.50%	0.0%	0.32%	0.80%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.43%	0.88%	0.0%	0.0%	0.0%	2.16%	0.58%	0.58%	0.40%	0.71%	0.88%	0.43%	0.0%	0.73%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	2	0	1	0	4	0	0	1	0	0	2	0	1	3	1	0	0	2	2	0	2	0	2	0					
		0.35%	0.35%	0.0%	0.16%	0.0%	1.02%	0.0%	0.0%	0.44%	0.0%	0.0%	0.35%	0.0%	1.03%	0.68%	0.43%	0.0%	0.0%	0.81%	0.35%	0.0%	0.86%	0.0%	0.48%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	46	3	4	3	0	5	0	0	1	0	1	2	0	4	2	5	0	0	1	3	7	1	1	3	0					
		0.70%	0.53%	1.28%	0.48%	0.0%	1.27%	0.0%	0.0%	0.44%	0.0%	0.43%	0.35%	0.0%	4.12%	0.45%	2.16%	0.0%	0.0%	0.40%	0.53%	3.11%	0.43%	0.4%	0.73%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	1	0	2	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0					
		0.19%	0.17%	0.0%	0.32%	0.0%	0.51%	1.51%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.53%	0.44%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	3	0	1	0	2	0	0	1	1	1	2	0	0	1	0	2	1	2	3	0	1	0	0	0					
		0.32%	0.53%	0.0%	0.16%	0.0%	0.51%	0.0%	0.0%	0.44%	0.81%	0.43%	0.35%	0.0%	0.0%	0.22%	0.0%	1.16%	0.58%	0.81%	0.53%	0.0%	0.43%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	277	44	16	21	2	23	5	0	4	6	21	29	3	3	14	16	4	2	5	23	19	10	1	1	5					
		4.25%	7.89%	5.14%	3.39%	1.45%	5.88%	7.57%	0.0%	1.78%	4.87%	9.21%	5.16%	2.85%	3.09%	3.21%	6.92%	2.33%	1.16%	2.03%	4.09%	8.44%	4.32%	0.4%	0.24%	4.0%					
28	"11. ""Истинные патриоты России"""	19	0	1	1	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	1	0	0	10	0					
