Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Чернянская 																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076					
1	"Число избирателей, внесенных в списки"	26412	1561	1413	1414	1617	1440	1437	1409	1393	782	556	281	199	162	122	551	257	268	713	1442	163	196	680	545	476	653	202	143	90	133	434	167	487	271	827	237	667	123	319	269	253	495	133	787	645					
2	"Число бюллетеней, полученных участковыми комиссиями"	25220	1450	1400	1350	1550	1350	1400	1300	1320	730	530	260	200	165	135	510	235	250	680	1400	170	200	650	510	450	620	200	145	100	135	410	170	460	250	780	225	640	125	315	255	240	470	135	740	610					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16700	891	905	850	891	929	848	848	842	409	308	178	130	130	71	333	166	181	459	880	141	142	450	403	333	469	142	116	80	105	262	103	377	175	489	151	439	101	144	190	183	392	108	527	429					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2251	43	79	57	72	37	57	26	36	58	91	59	23	12	24	41	17	17	90	137	13	21	113	33	74	73	24	17	7	14	85	50	15	21	160	56	135	17	114	35	21	28	10	96	43					
6	Число погашенных бюллетеней	6269	516	416	443	587	384	495	426	442	263	131	23	47	23	40	136	52	52	131	383	16	37	87	74	43	78	34	12	13	16	63	17	68	54	131	18	66	7	57	30	36	50	17	117	138					
7	Число бюллетеней в переносных ящиках для голосования	2251	43	79	57	72	37	57	26	36	58	91	59	23	12	24	41	17	17	90	137	13	21	113	33	74	73	24	17	7	14	85	50	15	21	160	56	135	17	114	35	21	28	10	96	43					
8	Число бюллетеней в стационарных ящиках для голосования	16700	891	905	850	891	929	848	848	842	409	308	178	130	130	71	333	166	181	459	880	141	142	450	403	333	469	142	116	80	105	262	103	377	175	489	151	439	101	144	190	183	392	108	527	429					
9	Число недействительных бюллетеней	390	22	2	26	17	24	15	19	28	7	1	2	2	12	2	9	19	1	9	34	0	11	4	13	19	5	4	1	0	1	5	7	10	15	22	0	4	0	5	2	0	6	0	5	0					
10	Число действительных бюллетеней	18561	912	982	881	946	942	890	855	850	460	398	235	151	130	93	365	164	197	540	983	154	152	559	423	388	537	162	132	87	118	342	146	382	181	627	207	570	118	253	223	204	414	118	618	472					
