Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Нытвенская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132					
1	"Число избирателей, внесенных в списки"	35921	1072	1148	1271	2602	2609	2197	1977	234	2290	846	1025	964	905	1622	1747	1562	2308	788	378	422	624	376	425	1377	1030	1410	652	254	719	387	345	355					
2	"Число бюллетеней, полученных участковыми комиссиями"	37700	1100	1160	1290	2500	2620	2260	2030	250	2370	950	1100	1100	1120	1650	1740	1580	2320	850	460	450	680	430	510	1510	1080	1510	750	280	850	420	400	380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20741	553	482	618	1478	1453	1430	1142	141	1195	477	498	558	485	1100	1213	1126	1481	544	230	291	259	236	235	850	399	731	372	108	434	212	213	197					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2182	78	89	37	174	41	78	50	34	70	33	54	25	35	40	47	38	49	71	69	82	143	27	50	74	160	107	44	61	106	83	56	77					
6	Число погашенных бюллетеней	14781	473	589	635	848	1126	752	838	75	1105	440	548	517	600	510	480	416	790	235	161	77	278	167	225	586	521	672	334	111	310	125	131	106					
7	Число бюллетеней в переносных ящиках для голосования	2182	78	89	37	174	41	78	50	34	70	33	54	25	35	40	47	38	49	71	69	82	143	27	50	74	160	107	44	61	106	83	56	77					
8	Число бюллетеней в стационарных ящиках для голосования	20722	549	482	615	1478	1453	1430	1142	141	1195	477	496	558	485	1100	1213	1117	1481	544	230	291	259	236	235	850	399	731	372	108	433	212	213	197					
9	Число недействительных бюллетеней	497	16	11	13	27	10	40	46	3	23	5	19	13	15	27	22	36	33	12	12	5	2	10	5	21	20	19	11	4	9	1	0	7					
10	Число действительных бюллетеней	22407	611	560	639	1625	1484	1468	1146	172	1242	505	531	570	505	1113	1238	1119	1497	603	287	368	400	253	280	903	539	819	405	165	530	294	269	267					
