Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Городищенская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38739	423	652	708	2299	1666	1888	440	360	553	188	172	415	480	215	213	91	258	696	2026	1917	2199	1106	386	1150	160	1587	2088	1006	858	1626	170	1580	263	2124	1868	2721	2187									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39000	421	644	700	2350	1670	1900	462	373	553	186	175	381	488	221	214	92	258	695	2030	1930	2220	1132	388	1150	156	1610	2110	1018	880	1630	173	1580	256	2121	1882	2767	2184									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28647	321	519	594	888	1092	1468	362	341	488	122	149	318	337	132	192	77	214	354	1589	1630	1446	904	336	1003	90	1046	767	435	564	758	116	1387	181	2081	1636	2569	2141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1920	80	107	99	45	101	176	63	8	43	59	16	63	110	76	7	5	34	30	38	42	62	143	32	50	56	29	64	32	18	41	7	68	53	8	44	6	5									
6	Число погашенных избирательных бюллетеней	8433	20	18	7	1417	477	256	37	24	22	5	10	0	41	13	15	10	10	311	403	258	712	85	20	97	10	535	1279	551	298	831	50	125	22	32	202	192	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1920	80	107	99	45	101	176	63	8	43	59	16	63	110	76	7	5	34	30	38	42	62	143	32	50	56	29	64	32	18	41	7	68	53	8	44	6	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28587	321	519	594	887	1054	1459	362	341	488	122	149	318	337	132	192	77	214	354	1588	1630	1446	904	336	1003	90	1046	766	435	564	758	116	1387	181	2081	1634	2561	2141									
9	Число недействительных избирательных бюллетеней	430	4	4	3	33	13	21	4	3	1	0	1	0	4	0	0	0	0	12	15	15	23	3	2	23	0	20	5	5	31	34	0	0	0	41	39	65	6									
10	Число действительных избирательных бюллетеней	30077	397	622	690	899	1142	1614	421	346	530	181	164	381	443	208	199	82	248	372	1611	1657	1485	1044	366	1030	146	1055	825	462	551	765	123	1455	234	2048	1639	2502	2140									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	5	5	5	25	20	20	20	10	20	5	5	10	5	10	5	5	5	15	25	20	35	10	5	15	5	20	20	20	20	20	5	20	5	20	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	335	1	0	1	25	12	11	20	10	13	0	1	6	4	8	1	1	2	13	21	20	35	10	3	12	0	20	20	11	14	8	0	6	0	5	10	5	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	1	8	3	13	7	10	1	2	3	5	3	6	6	5	3	3	3	2	18	15	5	4	6	3	7	5	6	6	2	5	2	2	3	2	2	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	175	4	5	4	0	8	9	0	0	7	5	4	4	1	2	4	4	3	2	4	0	0	0	2	3	5	0	0	9	6	12	5	14	5	15	10	15	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	0	1	0	12	3	6	0	1	3	0	0	0	0	0	0	0	0	2	5	5	6	11	0	1	0	3	1	0	1	1	0	3	0	2	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	2	2	0	9	8	9	1	2	3	0	1	0	2	0	1	0	1	2	12	8	5	0	0	6	0	3	2	2	2	6	0	0	0	6	3	2	7									
		0.35%	0.50%	0.32%	0.00%	0.97%	0.69%	0.55%	0.24%	0.57%	0.56%	0.00%	0.61%	0.00%	0.45%	0.00%	0.50%	0.00%	0.40%	0.52%	0.74%	0.48%	0.33%	0.00%	0.00%	0.57%	0.00%	0.28%	0.24%	0.43%	0.34%	0.75%	0.00%	0.00%	0.00%	0.29%	0.18%	0.08%	0.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	420	2	9	9	43	31	34	2	2	4	0	2	6	3	4	5	0	1	7	34	2	20	2	12	13	3	25	25	16	10	28	0	0	0	18	17	31	0									
		1.38%	0.50%	1.44%	1.30%	4.61%	2.68%	2.08%	0.47%	0.57%	0.75%	0.00%	1.21%	1.57%	0.67%	1.92%	2.51%	0.00%	0.40%	1.82%	2.09%	0.12%	1.33%	0.19%	3.26%	1.23%	2.05%	2.33%	3.01%	3.43%	1.72%	3.50%	0.00%	0.00%	0.00%	0.86%	1.01%	1.21%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	201	0	7	20	12	5	16	2	1	0	1	0	5	6	1	1	0	1	0	19	4	14	1	2	15	2	12	12	5	10	7	0	0	0	7	2	10	1									
