Выборы Президента Российской Федерации																																																			
																																																			
"Наименование Избирательной комиссии:    Архангельск, Южная"																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151					
1	"Число избирателей, внесенных в список"	60445	1698	2519	2147	2557	2190	2547	2569	2442	2398	2230	2242	2526	130	164	42	2416	2739	2754	2637	2860	2170	1197	2636	2753	2886	2369	2207	1676	90	65	66	67	65	65	32	8	39	44	41	40	39	42	4	37					
2	Число полученных избирательных бюллетеней	59026	1700	2400	2000	2500	2200	2500	2600	2400	2300	2200	2200	2700	160	180	60	2400	2600	2700	2600	2700	2100	1140	2500	2700	2800	2200	2200	1500	90	70	70	70	70	70	35	8	42	45	45	42	40	45	4	40					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33636	835	1285	1061	1346	1074	1279	1430	1519	1398	1284	1236	1421	130	164	39	1364	1513	1598	1586	1748	1313	717	1232	1545	1541	1280	1155	801	90	65	66	67	65	65	32	8	39	44	41	40	39	41	4	36					
5	"Число избирательных бюллетеней, выданных вне помещения"	577	36	21	14	42	39	16	40	28	34	21	29	5	0	0	0	19	30	19	16	18	8	6	9	22	28	22	19	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	24813	829	1094	925	1112	1087	1205	1130	853	868	895	935	1274	30	16	21	1017	1057	1083	998	934	779	417	1259	1133	1231	898	1026	663	0	5	4	3	5	5	3	0	3	1	4	2	1	4	0	4					
7	Число избирательных бюллетеней в переносных ящиках	577	36	21	14	42	39	16	40	28	34	21	29	5	0	0	0	19	30	19	16	18	8	6	9	22	28	22	19	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	33625	835	1285	1061	1346	1073	1278	1429	1518	1395	1284	1236	1421	130	164	39	1364	1513	1597	1586	1748	1312	717	1232	1544	1541	1279	1155	801	90	65	66	67	65	65	32	8	39	44	41	40	39	41	4	36					
9	Число недействительных избирательных бюллетеней	163	0	3	8	7	1	11	2	8	11	5	9	7	0	4	0	5	5	4	11	4	3	2	9	16	12	7	6	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
10	Число действительных избирательных бюллетеней	34039	871	1303	1067	1381	1111	1283	1467	1538	1418	1300	1256	1419	130	160	39	1378	1538	1612	1591	1762	1317	721	1232	1550	1557	1294	1168	836	90	65	66	67	65	65	32	8	39	44	41	39	38	41	4	36					
11	Число полученных открепительных  удостоверений	1266	40	60	40	60	46	60	50	50	50	50	40	40	0	0	0	50	60	60	60	60	40	40	60	60	60	50	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
