Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Истринская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696					
1	"Число избирателей, внесенных в списки избирателей"	97163	2905	2787	2774	2822	2499	2763	2864	3084	2531	2419	813	1545	2202	2365	1815	2090	2461	1920	2210	2401	1902	2098	2146	1847	576	616	391	1143	1201	2285	1903	1936	2108	2110	475	1560	1045	2369	498	532	1502	433	779	1853	2187	1322	351	315	1510	800	2598	2784	1271	1388	1705	354					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	92850	2850	2650	2700	2700	2500	2700	2800	2900	2400	2200	750	1250	2150	2350	1650	2050	2400	1850	2100	2200	1850	2050	2100	1750	500	550	350	1100	1150	2200	1850	1900	2050	2050	450	1500	850	2300	450	400	1350	400	700	1850	2200	1250	350	300	1450	800	2500	2650	1200	1350	1650	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	51335	1468	1474	1433	1458	1335	1360	1522	1717	1183	1145	385	1111	1106	1106	1002	1132	1233	968	1099	1432	905	825	1075	1606	326	304	200	599	613	1274	902	905	837	1339	245	742	552	1590	196	318	912	242	484	797	1104	609	227	178	1159	503	1346	1369	626	880	750	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3852	53	16	67	16	17	63	18	40	62	156	15	65	25	17	44	86	20	13	30	18	10	18	23	91	54	59	47	90	134	97	169	23	273	109	102	195	105	150	41	77	27	45	44	184	44	100	43	47	92	49	78	98	138	16	69	70					
6	Число погашенных избирательных бюллетеней	37663	1329	1160	1200	1226	1148	1277	1260	1143	1155	899	350	74	1019	1227	604	832	1147	869	971	750	935	1207	1002	53	120	187	103	411	403	829	779	972	940	602	103	563	193	560	213	5	411	113	172	869	1052	541	80	75	199	248	1076	1183	436	454	831	103					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3852	53	16	67	16	17	63	18	40	62	156	15	65	25	17	44	86	20	13	30	18	10	18	23	91	54	59	47	90	134	97	169	23	273	109	102	195	105	150	41	77	27	45	44	184	44	100	43	47	92	49	78	98	138	16	69	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	51283	1468	1474	1430	1456	1334	1360	1516	1717	1183	1145	385	1111	1106	1106	1002	1105	1233	968	1099	1432	905	825	1075	1606	324	299	200	599	612	1274	902	905	837	1339	245	742	551	1590	196	317	912	242	484	797	1102	608	227	178	1159	503	1346	1369	626	880	750	127					
9	Число недействительных избирательных бюллетеней	462	2	0	19	20	12	0	17	4	11	10	3	9	10	19	6	9	13	17	10	8	4	14	11	11	1	1	2	5	8	15	12	0	2	14	1	10	11	12	3	2	8	3	1	16	16	7	0	1	8	3	19	15	10	7	9	1					
10	Число действительных избирательных бюллетеней	54673	1519	1490	1478	1452	1339	1423	1517	1753	1234	1291	397	1167	1121	1104	1040	1182	1240	964	1119	1442	911	829	1087	1686	377	357	245	684	738	1356	1059	928	1108	1434	346	927	645	1728	234	392	931	284	527	965	1130	701	270	224	1243	549	1405	1452	754	889	810	196					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2469	70	70	70	70	70	70	70	70	70	60	30	50	50	59	40	50	60	40	50	50	40	50	50	40	20	20	20	30	30	50	40	40	40	50	20	30	30	70	20	20	30	20	30	50	70	40	20	20	40	30	60	60	30	30	40	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1064	30	37	23	35	38	24	43	38	27	24	4	11	22	22	20	13	19	12	16	33	12	12	15	14	4	7	4	15	16	26	16	23	15	43	17	9	10	40	1	3	22	4	5	23	37	12	1	20	11	30	24	14	7	22	26	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1229	47	23	15	21	15	30	29	150	27	32	14	10	9	9	7	19	11	33	15	7	11	14	20	0	39	30	8	17	30	12	5	12	7	23	21	31	18	42	10	79	11	13	13	21	18	17	4	14	32	8	15	56	14	20	11	10					
14	Число погашенных неиспользованных открепительных удостоверений	1405	40	33	47	35	32	46	27	32	43	36	26	39	28	37	20	37	41	28	34	17	28	38	35	26	16	13	16	15	14	24	24	17	25	7	3	21	20	30	19	17	8	16	25	27	33	28	19	0	29	0	36	46	23	8	14	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	0	1	3	1	0	1	2	3	1	0	0	0	1	1	2	4	2	0	2	1	1	1	2	0	1	0	0	0	0	1	1	2	2	2	0	0	0	0	0	1	0	1	0	0	1	5	0	2	0	0	1	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	1.Политическая партия «Аграрная партия России»	926	2	12	20	5	5	0	3	7	32	33	13	21	24	8	26	22	41	27	0	20	3	7	43	16	9	13	7	20	23	19	22	8	23	31	12	17	15	24	4	10	38	6	13	29	7	23	10	5	12	7	38	28	12	24	21	6					
		1.68%	0.13%	0.81%	1.34%	0.34%	0.37%	0.00%	0.20%	0.40%	2.57%	2.54%	3.25%	1.79%	2.12%	0.71%	2.49%	1.85%	3.27%	2.75%	0.00%	1.38%	0.33%	0.83%	3.92%	0.94%	2.38%	3.63%	2.83%	2.90%	3.08%	1.39%	2.05%	0.86%	2.07%	2.14%	3.46%	1.81%	2.29%	1.38%	1.69%	2.54%	4.05%	2.09%	2.46%	2.96%	0.61%	3.25%	3.70%	2.22%	0.96%	1.27%	2.67%	1.91%	1.57%	2.68%	2.56%	3.05%					
19	2.Всероссийская политическая партия «Гражданская Сила»	387	2	10	5	15	4	0	16	5	16	12	6	7	17	3	13	6	20	14	0	9	2	1	21	15	15	3	2	5	5	8	4	0	1	6	4	4	0	14	3	2	8	0	4	9	8	3	0	0	3	7	19	14	7	8	1	1					
		0.70%	0.13%	0.67%	0.33%	1.02%	0.30%	0.00%	1.04%	0.28%	1.29%	0.92%	1.50%	0.60%	1.50%	0.27%	1.24%	0.50%	1.60%	1.43%	0.00%	0.62%	0.22%	0.12%	1.91%	0.88%	3.97%	0.84%	0.81%	0.73%	0.67%	0.58%	0.37%	0.00%	0.09%	0.41%	1.15%	0.43%	0.00%	0.80%	1.27%	0.51%	0.85%	0.00%	0.76%	0.92%	0.70%	0.42%	0.00%	0.00%	0.24%	1.27%	1.33%	0.95%	0.92%	0.89%	0.12%	0.51%					
20	3.Политическая партия «Демократическая партия России»	58	0	2	2	6	0	0	0	0	1	0	0	3	1	2	2	2	5	1	0	3	1	0	2	0	0	0	0	1	0	1	2	2	0	1	1	1	1	4	0	0	1	0	1	1	2	0	0	0	1	0	1	3	1	0	0	0					
		0.11%	0.00%	0.13%	0.13%	0.41%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.26%	0.09%	0.18%	0.19%	0.17%	0.40%	0.10%	0.00%	0.21%	0.11%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.07%	0.19%	0.22%	0.00%	0.07%	0.29%	0.11%	0.15%	0.23%	0.00%	0.00%	0.11%	0.00%	0.19%	0.10%	0.17%	0.00%	0.00%	0.00%	0.08%	0.00%	0.07%	0.20%	0.13%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6664	219	266	322	219	220	213	228	222	192	162	74	139	109	141	114	107	143	148	118	122	111	118	167	109	39	46	19	69	60	132	100	74	116	135	24	96	73	127	17	48	93	51	45	124	172	60	19	31	206	61	180	179	100	98	74	13					
		12.09%	14.40%	17.85%	21.51%	14.88%	16.28%	14.97%	14.86%	12.64%	15.42%	12.45%	18.50%	11.82%	9.64%	12.56%	10.90%	8.98%	11.41%	15.09%	10.45%	8.41%	12.13%	13.99%	15.21%	6.42%	10.32%	12.85%	7.69%	10.01%	8.04%	9.63%	9.34%	7.97%	10.45%	9.32%	6.92%	10.25%	11.13%	7.30%	7.17%	12.18%	9.90%	17.77%	8.52%	12.64%	15.01%	8.47%	7.04%	13.78%	16.47%	11.05%	12.64%	12.20%	13.09%	10.94%	9.04%	6.60%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	589	34	25	20	31	18	17	19	25	17	5	6	12	16	15	7	8	11	20	9	9	9	12	29	8	5	6	4	7	5	14	11	3	0	10	1	4	6	6	2	8	1	5	1	11	6	10	7	1	12	4	16	12	12	12	5	0					
