Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Истринская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в список избирателей"	96363	2956	2676	2739	2870	2801	2719	2617	3086	2598	2061	786	1502	2206	2315	1905	2016	2454	1814	2261	2467	1911	2007	2285	1749	577	591	413	1111	1202	2147	1632	2122	2174	2608	1496	891	2038	528	584	1418	364	848	1820	2210	1388	332	399	1472	837	2411	3009	1242	1490	1731	477					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93700	2800	2600	2600	2800	2800	2650	2550	3000	2450	2000	800	1250	2150	2300	1700	1950	2350	1800	2200	2400	1850	1950	2200	1750	550	550	400	1150	1200	2100	1600	2100	1950	2500	1450	850	2350	500	450	1400	350	750	1800	2200	1350	350	400	1500	800	2400	2850	1250	1400	1800	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	42944	1668	1278	1471	1377	1253	1110	1154	1563	1087	876	362	678	966	960	842	945	916	779	955	1108	686	684	1032	819	231	252	172	630	637	866	600	772	687	1283	711	335	1267	189	271	728	159	432	693	915	474	146	90	873	494	1077	1270	566	685	749	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2063	21	14	17	23	19	16	10	28	18	59	9	11	29	17	17	14	12	13	21	6	20	9	15	30	65	13	23	80	122	29	21	17	49	154	152	69	85	37	31	30	32	14	72	40	88	27	16	71	37	19	35	82	25	37	43					
6	Число погашенных избирательных бюллетеней	48693	1111	1308	1112	1400	1528	1524	1386	1409	1345	1065	429	561	1155	1323	841	991	1422	1008	1224	1286	1144	1257	1153	901	254	285	205	440	441	1205	979	1311	1214	1063	587	446	998	274	148	642	159	304	1035	1245	788	177	294	556	269	1304	1545	602	690	1014	336					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2063	21	14	17	23	19	16	10	28	18	59	9	11	29	17	17	14	12	13	21	6	20	9	15	30	65	13	23	80	122	29	21	17	49	154	152	69	85	37	31	30	32	14	72	40	88	27	16	71	37	19	35	82	25	37	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42872	1668	1278	1471	1376	1253	1110	1154	1563	1087	876	362	678	937	960	842	945	916	779	955	1108	686	684	1011	816	231	251	171	630	637	866	590	772	687	1283	711	334	1262	189	271	728	159	432	693	915	474	146	90	873	494	1077	1270	566	685	749	121					
9	Число недействительных избирательных бюллетеней	1144	17	1	35	44	27	21	24	11	17	41	6	30	12	27	17	59	30	36	0	25	6	20	43	35	8	7	7	57	12	29	27	15	32	15	23	10	35	12	7	24	2	2	19	42	0	3	7	2	5	32	54	18	13	36	5					
10	Число действительных избирательных бюллетеней	43791	1672	1291	1453	1355	1245	1105	1140	1580	1088	894	365	659	954	950	842	900	898	756	976	1089	700	673	983	811	288	257	187	653	747	866	584	774	704	1422	840	393	1312	214	295	734	189	444	746	913	562	170	99	942	526	1064	1251	630	697	750	159					
