Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Тегульдетская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636					
1	"Число избирателей, внесенных в список избирателей"	5844	47	36	65	140	82	434	361	425	1207	1178	712	225	361	74	29	468					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4760	55	45	73	140	86	350	300	350	900	900	600	200	300	81	30	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2846	26	30	39	72	45	227	163	199	600	544	312	120	180	47	20	222					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	223	2	2	2	11	7	3	8	9	28	30	66	16	27	3	0	9					
6	Число погашенных избирательных бюллетеней	1691	27	13	32	57	34	120	129	142	272	326	222	64	93	31	10	119					
7	Число избирательных бюллетеней в переносных ящиках для голосования	223	2	2	2	11	7	3	8	9	28	30	66	16	27	3	0	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2846	26	30	39	72	45	227	163	199	600	544	312	120	180	47	20	222					
9	Число недействительных избирательных бюллетеней	62	0	0	1	0	1	4	6	4	14	6	8	5	3	0	3	7					
10	Число действительных избирательных бюллетеней	3007	28	32	40	83	51	226	165	204	614	568	370	131	204	50	17	224					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	146	7	4	4	7	4	10	10	10	20	20	15	7	10	4	4	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	91	7	3	4	5	3	5	1	0	17	14	12	5	2	4	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	1	1	1	1	2	4	3	2	11	7	4	4	1	1	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	55	0	1	0	2	1	5	9	10	3	6	3	2	8	0	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	364	6	4	1	8	5	33	18	34	84	97	22	6	17	4	2	23					
		11.86%	21.43%	12.50%	2.44%	9.64%	9.62%	14.35%	10.53%	16.35%	13.38%	16.90%	5.82%	4.41%	8.21%	8.00%	10.00%	9.96%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	476	3	4	11	9	2	34	35	33	92	74	65	20	37	8	6	43					
		15.51%	10.71%	12.50%	26.83%	10.84%	3.85%	14.78%	20.47%	15.87%	14.65%	12.89%	17.20%	14.71%	17.87%	16.00%	30.00%	18.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	1	0	0	3	2	0	4	4	1	0	1	1	0	1					
		0.59%	0.00%	0.00%	2.44%	0.00%	0.00%	1.30%	1.17%	0.00%	0.64%	0.70%	0.26%	0.00%	0.48%	2.00%	0.00%	0.43%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	428	2	0	4	6	12	50	24	31	78	97	47	16	23	6	0	32					
		13.95%	7.14%	0.00%	9.76%	7.23%	23.08%	21.74%	14.04%	14.90%	12.42%	16.90%	12.43%	11.76%	11.11%	12.00%	0.00%	13.85%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	61	0	0	1	6	0	5	2	4	14	11	7	1	6	1	0	3					
		1.99%	0.00%	0.00%	2.44%	7.23%	0.00%	2.17%	1.17%	1.92%	2.23%	1.92%	1.85%	0.74%	2.90%	2.00%	0.00%	1.30%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1643	17	24	22	54	30	100	83	102	339	278	227	88	120	30	9	120					
		53.54%	60.71%	75.00%	53.66%	65.06%	57.69%	43.48%	48.54%	49.04%	53.98%	48.43%	60.05%	64.71%	57.97%	60.00%	45.00%	51.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	17	0	0	0	0	2	1	1	0	3	7	1	0	0	0	0	2					
		0.55%	0.00%	0.00%	0.00%	0.00%	3.85%	0.43%	0.58%	0.00%	0.48%	1.22%	0.26%	0.00%	0.00%	0.00%	0.00%	0.87%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
