Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Мишкинская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987					
1	"Число избирателей, внесенных в список"	18644	303	489	221	335	286	223	250	180	325	196	389	384	61	410	320	105	396	143	106	138	285	472	294	161	366	436	147	247	181	123	205	310	386	394	457	798	286	350	348	115	331	374	259	95	147	461	142	134	141	199	191	942	534	508	803	545	708	364	145					
2	Число полученных избирательных бюллетеней	19229	316	514	220	342	287	223	256	185	329	202	405	393	66	413	332	112	401	152	108	138	302	504	316	175	371	436	147	274	179	126	220	343	395	411	464	817	301	366	380	129	333	367	261	101	151	460	146	136	145	209	197	964	541	521	816	575	746	364	146					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16763	270	420	201	309	247	194	234	163	306	161	318	346	57	357	290	101	373	124	92	135	267	414	257	139	340	433	136	197	174	113	187	284	330	334	420	726	263	304	315	101	294	324	234	84	120	398	131	117	126	176	176	869	499	471	735	508	629	312	128					
5	"Число избирательных бюллетеней, выданных вне помещения"	1168	29	60	14	18	22	29	16	13	18	30	32	7	3	32	26	4	12	19	7	3	11	42	28	19	23	3	11	22	5	9	16	15	28	50	15	39	4	17	33	11	17	40	18	9	27	20	6	10	11	20	6	27	11	12	22	12	58	30	17					
6	Число погашенных избирательных бюллетеней	1298	17	34	5	15	18	0	6	9	5	11	55	40	6	24	16	7	16	9	9	0	24	48	31	17	8	0	0	55	0	4	17	44	37	27	29	52	34	45	32	17	22	3	9	8	4	42	9	9	8	13	15	68	31	38	59	55	59	22	1					
7	Число избирательных бюллетеней в переносных ящиках	1168	29	60	14	18	22	29	16	13	18	30	32	7	3	32	26	4	12	19	7	3	11	42	28	19	23	3	11	22	5	9	16	15	28	50	15	39	4	17	33	11	17	40	18	9	27	20	6	10	11	20	6	27	11	12	22	12	58	30	17					
8	Число бюллетеней в стационарных ящиках для голосования	16763	270	420	201	309	247	194	234	163	306	161	318	346	57	357	290	101	373	124	92	135	267	414	257	139	340	433	136	197	174	113	187	284	330	334	420	726	263	304	315	101	294	324	234	84	120	398	131	117	126	176	176	869	499	471	735	508	629	312	128					
9	Число недействительных избирательных бюллетеней	146	0	0	0	12	2	0	0	0	0	4	0	0	0	5	0	1	27	5	0	0	4	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	30	16	0	1	1	0	3	0	0	2	1	3	4	2	3	1	0	4	0	1	3	0					
10	Число действительных избирательных бюллетеней	17785	299	480	215	315	267	223	250	176	324	187	350	353	60	384	316	104	358	138	99	138	274	450	284	158	363	436	147	219	179	122	203	299	358	383	435	765	264	291	332	112	310	363	252	90	147	418	135	126	134	192	180	893	509	483	753	520	686	339	145					
