Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Кашинская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446					
1	"Число избирателей, внесенных в списки"	24607	540	1756	1325	2000	2129	1438	1049	1492	1394	1582	41	198	182	149	218	888	769	260	160	438	437	372	240	228	296	351	155	156	483	696	320	495	407	390	168	157	171	179	141	151	178	187	241					
2	"Число бюллетеней, полученных участковыми комиссиями"	23715	464	1465	1265	1800	1965	1365	965	1465	1365	1585	60	202	185	152	220	907	790	260	163	458	442	364	239	227	306	354	157	155	478	704	318	500	411	388	165	157	174	184	144	149	169	186	243					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13196	269	909	654	1270	1249	843	557	979	858	805	33	108	84	73	107	454	416	153	98	222	207	228	114	85	169	110	86	95	168	257	157	280	214	143	78	74	78	71	75	83	105	87	91					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3192	27	212	55	48	65	17	38	29	61	50	0	56	76	44	66	152	118	44	29	55	96	98	77	74	91	173	37	45	191	223	63	43	82	110	54	47	82	80	43	41	46	60	94					
6	Число погашенных бюллетеней	7327	168	344	556	482	651	505	370	457	446	730	27	38	25	35	47	301	256	63	36	181	139	38	48	68	46	71	34	15	119	224	98	177	115	135	33	36	14	33	26	25	18	39	58					
7	Число бюллетеней в переносных ящиках для голосования	3192	27	212	55	48	65	17	38	29	61	50	0	56	76	44	66	152	118	44	29	55	96	98	77	74	91	173	37	45	191	223	63	43	82	110	54	47	82	80	43	41	46	60	94					
8	Число бюллетеней в стационарных ящиках для голосования	13192	268	909	654	1269	1248	843	557	979	858	805	33	108	84	73	107	454	416	153	98	222	207	228	114	85	169	110	86	95	168	256	157	280	214	143	78	74	78	71	75	83	105	87	91					
9	Число недействительных бюллетеней	210	7	18	8	15	13	12	16	5	9	18	1	4	0	1	2	1	6	5	8	5	1	9	2	1	4	2	2	7	1	8	2	8	0	0	0	0	0	0	4	1	1	0	3					
10	Число действительных бюллетеней	16174	288	1103	701	1302	1300	848	579	1003	910	837	32	160	160	116	171	605	528	192	119	272	302	317	189	158	256	281	121	133	358	471	218	315	296	253	132	121	160	151	114	123	150	147	182					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	378	12	12	4	20	10	12	7	14	15	17	0	8	8	5	8	12	12	8	8	21	8	8	8	8	8	8	8	8	8	6	8	12	8	8	1	4	8	8	8	4	8	2	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	187	1	10	4	19	9	9	7	12	8	16	0	2	3	2	0	6	8	2	1	21	3	6	2	1	8	3	1	0	2	3	1	3	1	7	0	1	2	2	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	136	10	2	17	0	6	3	2	5	4	3	33	1	1	0	1	3	3	3	0	4	2	2	0	1	2	2	1	1	0	4	2	1	2	3	3	0	1	0	1	2	0	1	4					
14	Число погашенных открепительных удостоверений	191	11	2	0	1	1	3	0	2	7	1	0	6	5	3	8	6	4	6	7	0	5	2	6	7	0	5	7	8	6	3	7	9	7	1	1	3	6	6	8	3	8	2	8					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	300	4	27	6	16	20	16	14	23	19	7	1	2	2	0	3	12	9	5	3	4	7	6	6	4	7	7	2	4	5	6	5	9	7	10	1	1	2	0	3	3	5	5	2					
		1.83%	1.35%	2.40%	0.84%	1.21%	1.52%	1.86%	2.35%	2.28%	2.06%	0.81%	3.03%	1.21%	1.25%	0.0%	1.73%	1.98%	1.68%	2.53%	2.36%	1.44%	2.31%	1.84%	3.14%	2.51%	2.69%	2.47%	1.62%	2.85%	1.39%	1.25%	2.27%	2.78%	2.36%	3.95%	0.75%	0.82%	1.25%	0.0%	2.54%	2.41%	3.31%	3.40%	1.08%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	319	6	20	22	20	26	24	14	36	17	19	2	2	2	2	0	7	17	6	0	3	12	2	1	1	10	3	6	0	2	12	3	1	8	2	0	0	3	1	0	1	1	3	2					
		1.94%	2.03%	1.78%	3.10%	1.51%	1.98%	2.79%	2.35%	3.57%	1.84%	2.22%	6.06%	1.21%	1.25%	1.70%	0.0%	1.15%	3.18%	3.04%	0.0%	1.08%	3.96%	0.61%	0.52%	0.62%	3.84%	1.06%	4.87%	0.0%	0.55%	2.50%	1.36%	0.30%	2.70%	0.79%	0.0%	0.0%	1.87%	0.66%	0.0%	0.80%	0.66%	2.04%	1.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	501	9	40	23	42	38	29	18	37	16	29	2	0	2	1	7	36	22	2	3	10	8	6	7	5	3	2	5	3	11	14	6	8	4	6	2	2	6	4	6	3	1	12	11					
		3.05%	3.05%	3.56%	3.24%	3.18%	2.89%	3.37%	3.02%	3.67%	1.74%	3.39%	6.06%	0.0%	1.25%	0.85%	4.04%	5.94%	4.11%	1.01%	2.36%	3.61%	2.64%	1.84%	3.66%	3.14%	1.15%	0.70%	4.06%	2.14%	3.06%	2.92%	2.72%	2.47%	1.35%	2.37%	1.51%	1.65%	3.75%	2.64%	5.08%	2.41%	0.66%	8.16%	5.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	479	9	48	26	61	39	35	20	27	33	26	1	4	3	4	3	13	14	3	3	6	3	8	6	1	9	4	2	2	10	5	1	8	15	8	0	1	0	3	1	2	3	6	3					
		2.92%	3.05%	4.28%	3.66%	4.63%	2.97%	4.06%	3.36%	2.67%	3.59%	3.04%	3.03%	2.43%	1.87%	3.41%	1.73%	2.14%	2.62%	1.52%	2.36%	2.16%	0.99%	2.45%	3.14%	0.62%	3.46%	1.41%	1.62%	1.42%	2.78%	1.04%	0.45%	2.47%	5.06%	3.16%	0.0%	0.82%	0.0%	1.98%	0.84%	1.61%	1.98%	4.08%	1.62%					
22	"5. ""За Русь Святую"""	152	8	9	4	10	9	4	8	9	9	13	0	2	1	0	0	7	7	2	2	8	4	2	2	1	3	4	3	1	3	3	4	2	1	2	0	0	0	1	3	0	0	1	0					
		0.92%	2.71%	0.80%	0.56%	0.75%	0.68%	0.46%	1.34%	0.89%	0.97%	1.52%	0.0%	1.21%	0.62%	0.0%	0.0%	1.15%	1.31%	1.01%	1.57%	2.88%	1.32%	0.61%	1.04%	0.62%	1.15%	1.41%	2.43%	0.71%	0.83%	0.62%	1.81%	0.61%	0.33%	0.79%	0.0%	0.0%	0.0%	0.66%	2.54%	0.0%	0.0%	0.68%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	45	0	5	1	2	0	2	0	3	0	3	0	1	0	1	0	1	3	1	2	0	1	3	1	1	0	2	0	0	1	2	1	0	1	0	1	0	0	1	1	2	0	0	2					
		0.27%	0.0%	0.44%	0.14%	0.15%	0.0%	0.23%	0.0%	0.29%	0.0%	0.35%	0.0%	0.60%	0.0%	0.85%	0.0%	0.16%	0.56%	0.50%	1.57%	0.0%	0.33%	0.92%	0.52%	0.62%	0.0%	0.70%	0.0%	0.0%	0.27%	0.41%	0.45%	0.0%	0.33%	0.0%	0.75%	0.0%	0.0%	0.66%	0.84%	1.61%	0.0%	0.0%	1.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	156	5	18	6	15	13	10	4	18	16	7	0	0	1	1	2	3	8	2	0	4	1	1	1	0	2	0	0	0	2	6	1	1	1	0	0	0	0	1	0	0	0	2	4					
		0.95%	1.69%	1.60%	0.84%	1.13%	0.99%	1.16%	0.67%	1.78%	1.74%	0.81%	0.0%	0.0%	0.62%	0.85%	1.15%	0.49%	1.49%	1.01%	0.0%	1.44%	0.33%	0.30%	0.52%	0.0%	0.76%	0.0%	0.0%	0.0%	0.55%	1.25%	0.45%	0.30%	0.33%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	1.36%	2.16%					
25	"8. ""Народно-республиканская партия России"""	43	0	2	0	0	1	7	1	1	4	0	0	0	2	0	3	6	4	1	0	0	0	0	0	1	2	0	0	0	0	3	0	2	0	1	0	0	0	1	1	0	0	0	0					
		0.26%	0.0%	0.17%	0.0%	0.0%	0.07%	0.81%	0.16%	0.09%	0.43%	0.0%	0.0%	0.0%	1.25%	0.0%	1.73%	0.99%	0.74%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.76%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.61%	0.0%	0.39%	0.0%	0.0%	0.0%	0.66%	0.84%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	67	4	5	2	6	9	5	2	4	1	2	0	0	1	0	1	1	2	0	0	0	1	0	0	0	2	3	1	1	2	0	0	1	3	0	0	1	5	1	0	0	0	1	0					
