Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Дигорская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63					
1	"Число избирателей, внесенных в список"	14440	1381	1694	1309	1784	833	851	778	1039	740	540	1263	1233	995					
2	Число полученных избирательных бюллетеней	12846	1227	1494	1125	1595	742	746	673	908	714	465	1136	1109	912					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11561	1111	1315	1099	1433	653	690	605	839	656	423	883	968	886					
5	"Число избирательных бюллетеней, выданных вне помещения"	578	18	39	26	49	82	49	45	65	48	20	70	41	26					
6	Число погашенных избирательных бюллетеней	707	98	140	0	113	7	7	23	4	10	22	183	100	0					
7	Число избирательных бюллетеней в переносных ящиках	578	18	39	26	49	82	49	45	65	48	20	70	41	26					
8	Число бюллетеней в стационарных ящиках для голосования	11561	1111	1315	1099	1433	653	690	605	839	656	423	883	968	886					
9	Число недействительных избирательных бюллетеней	107	22	6	0	8	33	1	4	0	4	0	14	15	0					
10	Число действительных избирательных бюллетеней	12032	1107	1348	1125	1474	702	738	646	904	700	443	939	994	912					
11	Число полученных открепительных  удостоверений	190	20	20	20	20	10	10	10	10	10	10	20	20	10					
12	Число выданных открепительных удостоверений	28	1	7	2	4	2	0	4	3	2	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	2	3	0	0	1	2	2	4	1	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	162	19	13	18	16	8	10	6	7	8	10	19	18	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	32	0	0	0	5	2	0	0	0	0	0	24	1	0					
		0.26%	0.00%	0.00%	0.00%	0.34%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	2.52%	0.10%	0.00%					
19	. Малышкин Олег Александрович	11	0	0	0	4	1	0	0	0	0	0	5	1	0					
		0.09%	0.00%	0.00%	0.00%	0.27%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.10%	0.00%					
20	. Миронов Сергей Михайлович	13	0	0	0	4	1	0	3	0	0	0	5	0	0					
		0.11%	0.00%	0.00%	0.00%	0.27%	0.14%	0.00%	0.46%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10913	1032	1201	1001	1296	685	716	583	889	686	356	729	909	830					
		89.90%	91.41%	88.70%	88.98%	87.45%	93.20%	96.89%	89.69%	98.34%	97.44%	80.36%	76.50%	90.09%	91.01%					
22	. Хакамада Ирина Муцуовна	32	1	0	0	1	1	0	7	3	0	8	8	3	0					
		0.26%	0.09%	0.00%	0.00%	0.07%	0.14%	0.00%	1.08%	0.33%	0.00%	1.81%	0.84%	0.30%	0.00%					
23	. Харитонов Николай Михайлович	991	74	143	124	156	10	20	46	12	14	73	160	77	82					
		8.16%	6.55%	10.56%	11.02%	10.53%	1.36%	2.71%	7.08%	1.33%	1.99%	16.48%	16.79%	7.63%	8.99%					
																				
24	Против всех	40	0	4	0	8	2	2	7	0	0	6	8	3	0					
		0.33%	0.00%	0.30%	0.00%	0.54%	0.27%	0.27%	1.08%	0.00%	0.00%	1.35%	0.84%	0.30%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
