Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338					
1	"Число избирателей, внесенных в списки избирателей"	20574	158	659	318	593	205	544	198	538	390	188	211	869	74	93	84	698	182	196	73	166	616	103	143	351	799	107	633	2301	950	1655	1524	346	261	153	123	160	71	252	389	628	420	454	294	793	611					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19430	160	630	320	550	210	540	200	520	330	180	210	800	75	95	85	650	180	200	80	170	580	105	145	340	780	110	600	2000	900	1500	1400	350	240	160	130	160	75	250	380	600	400	400	290	750	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13014	120	403	238	354	158	376	170	375	292	103	142	584	60	77	74	515	122	138	68	142	415	88	113	252	492	79	387	1092	580	835	782	305	191	127	102	114	60	186	291	401	256	296	238	423	398					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	987	7	37	11	80	10	22	0	31	9	20	5	25	0	0	0	31	18	4	5	9	41	5	9	0	67	7	65	40	11	23	144	0	7	0	0	0	0	0	0	40	11	56	4	73	60					
6	Число погашенных избирательных бюллетеней	5429	33	190	71	116	42	142	30	114	29	57	63	191	15	18	11	104	40	58	7	19	124	12	23	88	221	24	148	868	309	642	474	45	42	33	28	46	15	64	89	159	133	48	48	254	142					
7	Число избирательных бюллетеней в переносных ящиках для голосования	987	7	37	11	80	10	22	0	31	9	20	5	25	0	0	0	31	18	4	5	9	41	5	9	0	67	7	65	40	11	23	144	0	7	0	0	0	0	0	0	40	11	56	4	73	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13014	120	403	238	354	158	376	170	375	292	103	142	584	60	77	74	515	122	138	68	142	415	88	113	252	492	79	387	1092	580	835	782	305	191	127	102	114	60	186	291	401	256	296	238	423	398					
9	Число недействительных избирательных бюллетеней	122	1	3	5	0	1	0	1	7	6	2	2	4	1	0	0	10	0	4	0	2	13	0	1	2	2	1	7	9	2	6	5	4	2	2	0	0	0	1	1	4	2	0	3	0	6					
10	Число действительных избирательных бюллетеней	13879	126	437	244	434	167	398	169	399	295	121	145	605	59	77	74	536	140	138	73	149	443	93	121	250	557	85	445	1123	589	852	921	301	196	125	102	114	60	185	290	437	265	352	239	496	452					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	2	4	2	4	2	4	2	5	2	2	2	5	2	2	2	5	2	2	2	2	5	2	2	2	5	2	4	11	8	11	7	2	2	2	2	2	2	2	2	5	4	3	2	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	53	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	4	11	3	10	5	1	2	0	0	0	0	0	2	1	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	59	0	2	1	9	0	0	0	0	7	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	1	2	7	0	11	1	0	0	1	0	1	0	1	0	2	4	0	0	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	97	2	4	2	3	2	0	2	5	2	2	2	5	2	2	2	1	2	0	2	2	5	2	2	1	5	2	0	0	5	1	2	1	0	2	2	2	2	2	0	4	4	3	2	1	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
