Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Курильская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №364									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5441	852	1189	690	1921	591	198									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3825	647	730	371	1423	459	195									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	841	0	0	5	707	129	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2799	621	665	300	716	302	195									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	34	12	18	2	0	2	0									
6	Число погашенных избирательных бюллетеней	151	14	47	64	0	26	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	875	12	18	7	707	131	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2799	621	665	300	716	302	195									
9	Число недействительных избирательных бюллетеней	89	17	18	6	12	14	22									
10	Число действительных избирательных бюллетеней	3585	616	665	301	1411	419	173									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	85	20	20	15	20	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	18	12	4	0	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	0	4	3	31	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	67	8	16	15	20	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	13	8	4	3	6	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	7	7	6	6	8	2									
		0.98%	1.11%	1.02%	1.95%	0.42%	1.85%	1.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	80	10	17	10	26	10	7									
		2.18%	1.58%	2.49%	3.26%	1.83%	2.31%	3.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	9	19	15	16	14	0									
		1.99%	1.42%	2.78%	4.89%	1.12%	3.23%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2117	332	320	157	1056	194	58									
		57.62%	52.45%	46.85%	51.14%	74.21%	44.80%	29.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	32	9	2	1	7	10	3									
		0.87%	1.42%	0.29%	0.33%	0.49%	2.31%	1.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	2	1	4	0	0									
		0.22%	0.16%	0.29%	0.33%	0.28%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	826	195	175	63	195	123	75									
		22.48%	30.81%	25.62%	20.52%	13.70%	28.41%	38.46%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	5	1	1	4	2	0									
		0.35%	0.79%	0.15%	0.33%	0.28%	0.46%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	3	6	2	2	2	2									
		0.46%	0.47%	0.88%	0.65%	0.14%	0.46%	1.03%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	2	1	0	6	2	0									
		0.30%	0.32%	0.15%	0.00%	0.42%	0.46%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	1	4	3	14	1	2									
		0.68%	0.16%	0.59%	0.98%	0.98%	0.23%	1.03%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	266	35	83	38	56	37	17									
		7.24%	5.53%	12.15%	12.38%	3.94%	8.55%	8.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	1	5	0	3	4	1									
		0.38%	0.16%	0.73%	0.00%	0.21%	0.92%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	67	6	23	4	16	12	6									
		1.82%	0.95%	3.37%	1.30%	1.12%	2.77%	3.08%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
