Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
"Наименование Избирательной комиссии:    Воронеж, Железнодорожная"																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953					
1	"Число избирателей, внесенных в списки"	104804	2230	1284	2005	2390	2105	2069	2327	2199	1669	2279	2025	2414	1765	2117	2082	2175	2124	1720	1982	1780	2117	2180	2039	1929	1706	2020	2006	1795	1957	1872	1686	2005	2140	2028	2342	2143	2241	1729	1894	1869	2430	2331	2194	2458	2175	2230	2638	2524	1222	1131	1363	1651	18					
2	"Число бюллетеней, полученных участковыми комиссиями"	95400	2000	1200	1800	2150	1800	1900	2000	2000	1500	2050	1900	2200	1600	1950	1900	2000	2000	1550	1800	1600	1900	2000	1900	1750	1500	1800	1850	1600	1800	1700	1500	1800	2000	1850	2050	1900	2050	1600	1700	1700	2150	2050	2000	2250	2000	2000	2400	2300	1100	1050	1250	1500	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	48641	920	416	786	988	1359	1064	1207	1025	1037	1205	1332	1099	970	1104	1171	1165	1080	907	1041	932	1060	1048	1038	1036	886	877	905	651	799	969	893	977	1052	1000	1146	1005	1015	697	797	828	1054	922	1070	819	747	835	936	1009	322	375	487	565	13					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1282	21	7	34	24	17	17	14	18	23	30	60	15	19	15	16	22	8	16	14	22	11	17	18	24	24	28	29	9	20	11	17	11	25	13	21	31	20	33	43	17	22	40	15	44	20	52	40	44	64	17	43	42	5					
6	Число погашенных бюллетеней	45477	1059	777	980	1138	424	819	779	957	440	815	508	1086	611	831	713	813	912	627	745	646	829	935	844	690	590	895	916	940	981	720	590	812	923	837	883	864	1015	870	860	855	1074	1088	915	1387	1233	1113	1424	1247	714	658	720	893	482					
7	Число бюллетеней в переносных ящиках для голосования	1282	21	7	34	24	17	17	14	18	23	30	60	15	19	15	16	22	8	16	14	22	11	17	18	24	24	28	29	9	20	11	17	11	25	13	21	31	20	33	43	17	22	40	15	44	20	52	40	44	64	17	43	42	5					
8	Число бюллетеней в стационарных ящиках для голосования	48587	920	416	786	988	1356	1064	1206	1025	1034	1205	1332	1098	969	1089	1171	1161	1080	906	1041	932	1058	1048	1036	1036	884	877	905	651	798	969	893	976	1050	997	1144	1005	1015	697	795	827	1054	922	1070	817	747	835	936	1004	322	375	487	565	13					
9	Число недействительных бюллетеней	606	11	9	4	21	19	12	6	11	11	0	16	7	9	11	16	13	16	12	6	11	8	7	12	7	9	9	39	10	4	12	11	9	12	12	9	6	15	11	18	15	11	9	12	19	23	14	6	7	9	12	9	19	0					
10	Число действительных бюллетеней	49263	930	414	816	991	1354	1069	1214	1032	1046	1235	1376	1106	979	1093	1171	1170	1072	910	1049	943	1061	1058	1042	1053	899	896	895	650	814	968	899	978	1063	998	1156	1030	1020	719	820	829	1065	953	1073	842	744	873	970	1041	377	380	521	588	18					
