Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Нижний Новгород, Сормовская"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	140733	1359	2029	1854	2695	2836	1488	3341	2505	2340	2145	2423	2552	2634	2166	2460	2521	2155	2379	2222	2295	2787	2059	1842	1490	1772	1636	1618	1643	1818	1594	2071	2094	2398	2087	2512	2252	1705	1977	1996	2526	1410	1333	2139	2041	1601	1898	1810	1753	1784	1737	2080	2173	2501	1520	2392	2418	2228	2192	2225	2137	2761	2527	2198	2683	2566	2350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	134185	1300	2000	1900	2250	2400	1550	2650	2500	2000	2200	2200	2500	2650	2200	2500	2100	2200	2300	1800	2050	2050	2050	1850	1500	1500	1600	1600	1650	1750	1500	2100	2100	2100	2100	2785	2250	1700	2000	1850	2500	1400	1300	2150	1850	1600	1900	1850	1800	1800	1800	1800	2200	2100	1550	2200	2150	2200	1950	1950	2150	2500	2550	2250	2700	2350	2350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34668	241	428	353	485	605	354	544	497	433	610	546	649	672	580	640	995	679	723	450	486	535	616	478	469	512	406	436	360	464	396	637	547	548	581	629	568	293	475	931	650	313	341	464	416	705	443	441	416	490	431	427	559	500	313	469	558	600	482	442	534	549	615	523	747	826	563									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	13390	74	171	191	712	630	20	614	64	428	48	465	316	127	152	0	184	206	57	421	402	718	72	528	560	81	6	9	6	12	12	133	12	385	5	13	49	4	9	326	16	50	55	3	387	59	31	38	72	217	218	328	155	488	1	445	438	130	494	540	171	343	11	59	94	224	101									
6	Число погашенных избирательных бюллетеней	86124	985	1401	1356	1053	1165	1176	1492	1939	1139	1542	1189	1535	1851	1468	1860	921	1315	1520	929	1162	797	1362	844	471	907	1188	1155	1284	1274	1092	1330	1541	1167	1514	2143	1633	1403	1516	593	1834	1037	904	1680	1047	836	1426	1371	1312	1093	1151	1045	1486	1112	1236	1286	1154	1470	974	968	1445	1608	1924	1668	1859	1300	1686									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	13387	73	171	191	712	630	20	614	64	428	48	465	316	127	152	0	184	206	57	421	402	718	72	528	560	81	6	9	6	12	12	133	12	385	5	13	49	4	9	326	16	50	55	3	387	59	30	38	72	217	218	328	155	488	1	445	438	130	494	540	171	343	11	58	94	224	101									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34615	240	428	353	484	605	352	544	496	433	610	546	649	672	580	633	995	679	723	450	485	533	616	478	469	509	406	436	360	464	396	632	547	548	581	616	568	287	475	931	650	313	339	464	416	704	443	441	415	490	431	427	559	500	313	465	558	600	482	442	532	549	615	523	747	826	562									
9	Число недействительных избирательных бюллетеней	731	5	12	6	14	15	11	12	14	7	2	7	9	3	9	10	10	12	5	9	18	12	17	20	14	7	7	18	5	3	7	5	13	8	9	15	32	5	14	10	9	7	9	10	12	14	4	6	9	12	13	12	13	20	7	8	17	24	10	10	13	13	19	9	19	12	9									
10	Число действительных избирательных бюллетеней	47271	308	587	538	1182	1220	361	1146	546	854	656	1004	956	796	723	623	1169	873	775	862	869	1239	671	986	1015	583	405	427	361	473	401	760	546	925	577	614	585	286	470	1247	657	356	385	457	791	749	469	473	478	695	636	743	701	968	307	902	979	706	966	972	690	879	607	572	822	1038	654									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2744	30	43	43	30	43	43	53	30	43	58	58	30	43	43	43	43	43	50	43	43	43	30	43	43	43	30	30	30	30	30	53	43	43	30	43	43	30	30	58	43	43	43	30	43	43	43	43	43	43	53	43	43	48	43	30	43	43	43	43	43	43	30	53	63	53	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1889	29	36	42	13	41	41	47	6	38	37	41	28	29	37	26	26	32	31	30	27	34	13	16	24	27	11	11	15	15	17	38	27	33	19	25	25	5	10	37	22	24	27	9	25	22	29	39	32	31	35	37	39	46	33	24	23	19	43	33	28	29	21	51	55	49	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	638	9	7	10	8	5	3	12	10	15	10	6	6	6	10	17	16	18	4	10	9	14	20	13	10	17	9	13	9	7	3	15	10	4	5	12	13	7	8	34	4	5	9	14	1	4	13	3	7	9	4	0	26	3	3	8	11	21	10	10	7	10	10	3	11	2	16									
14	Число погашенных неиспользованных открепительных удостоверений	855	1	7	1	17	2	2	6	24	5	21	17	2	14	6	17	17	11	19	13	16	9	17	27	19	16	19	19	15	15	13	15	16	10	11	18	18	25	20	21	21	19	16	21	18	21	14	4	11	12	18	6	4	2	10	6	20	24	0	10	15	14	9	2	8	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	105	1	2	0	2	1	2	3	1	5	5	4	2	1	1	3	2	2	2	1	2	2	0	0	1	1	3	5	0	1	0	3	0	3	1	4	1	2	0	1	1	0	1	0	1	1	2	1	3	1	4	0	5	0	0	0	0	0	1	0	3	0	5	5	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1146	11	13	19	18	12	11	15	10	14	0	14	17	0	26	23	26	23	13	13	10	16	29	26	18	14	24	22	15	30	9	11	25	13	20	11	16	5	28	23	21	8	31	19	13	20	19	14	10	19	17	14	18	14	15	21	20	20	13	20	22	19	27	33	26	17	13									
		2.39%	3.51%	2.17%	3.49%	1.51%	0.97%	2.96%	1.30%	1.79%	1.63%	0.00%	1.38%	1.76%	0.00%	3.55%	3.63%	2.21%	2.60%	1.67%	1.49%	1.13%	1.28%	4.22%	2.58%	1.75%	2.37%	5.83%	4.94%	4.10%	6.30%	2.21%	1.44%	4.47%	1.39%	3.41%	1.75%	2.59%	1.72%	5.79%	1.83%	3.15%	2.20%	7.87%	4.07%	1.62%	2.62%	4.02%	2.92%	2.05%	2.69%	2.62%	1.85%	2.52%	1.42%	4.78%	2.31%	2.01%	2.74%	1.33%	2.04%	3.13%	2.13%	4.31%	5.68%	3.09%	1.62%	1.96%									
