Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Пителинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4681	202	220	256	560	119	79	134	151	105	332	357	162	139	778	559	528									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4425	185	200	240	550	100	75	120	130	100	300	350	150	135	750	540	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2129	88	113	115	254	48	40	64	87	64	153	146	76	69	335	263	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	437	51	17	34	33	29	13	14	13	10	28	52	38	17	32	20	36									
6	Число погашенных избирательных бюллетеней	1859	46	70	91	263	23	22	42	30	26	119	152	36	49	383	257	250									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	437	51	17	34	33	29	13	14	13	10	28	52	38	17	32	20	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2129	88	113	115	254	48	40	64	87	64	153	146	76	69	335	263	214									
9	Число недействительных избирательных бюллетеней	42	2	4	0	6	0	0	1	0	0	3	3	0	3	9	7	4									
10	Число действительных избирательных бюллетеней	2524	137	126	149	281	77	53	77	100	74	178	195	114	83	358	276	246									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	75	2	5	4	5	2	2	2	2	2	5	5	2	2	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	50	0	5	3	5	0	2	1	0	0	0	3	2	2	12	8	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	0	0	0	2	0	2	4	5	1	3	2	0	0	3	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	25	2	0	1	0	2	0	1	2	2	5	2	0	0	3	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	1	3	0	2	0	0	0	0	0	2	0	0	7	2	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	1	0	0	7	0	1	0	0	3	0	3	3	1	2	2	3									
		1.01%	0.72%	0.00%	0.00%	2.44%	0.00%	1.89%	0.00%	0.00%	4.05%	0.00%	1.52%	2.63%	1.16%	0.54%	0.71%	1.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	108	5	4	6	12	5	2	8	5	6	7	9	1	3	16	6	13									
		4.21%	3.60%	3.08%	4.03%	4.18%	6.49%	3.77%	10.26%	5.00%	8.11%	3.87%	4.55%	0.88%	3.49%	4.36%	2.12%	5.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	55	5	1	0	5	1	1	0	0	1	5	0	4	1	15	7	9									
		2.14%	3.60%	0.77%	0.00%	1.74%	1.30%	1.89%	0.00%	0.00%	1.35%	2.76%	0.00%	3.51%	1.16%	4.09%	2.47%	3.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1390	85	79	85	159	49	43	40	71	44	83	98	82	52	156	139	125									
		54.17%	61.15%	60.77%	57.05%	55.40%	63.64%	81.13%	51.28%	71.00%	59.46%	45.86%	49.49%	71.93%	60.47%	42.51%	49.12%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	0	0	3	0	0	1	0	0	0	2	0	2	2	1	2	2									
		0.58%	0.00%	0.00%	2.01%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%	1.10%	0.00%	1.75%	2.33%	0.27%	0.71%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	471	14	29	31	57	13	4	5	11	13	48	43	11	14	69	62	47									
		18.36%	10.07%	22.31%	20.81%	19.86%	16.88%	7.55%	6.41%	11.00%	17.57%	26.52%	21.72%	9.65%	16.28%	18.80%	21.91%	18.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	1	0	0	1	1	0	3	0	0	0	4	3	0									
		0.51%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	1.28%	1.00%	0.00%	1.66%	0.00%	0.00%	0.00%	1.09%	1.06%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	1	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0									
		0.23%	0.72%	0.00%	0.00%	0.35%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.54%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1									
		0.16%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.40%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	3	1	1	2	0	0	1	1	1	0	3	0	0	4	2	1									
		0.78%	2.16%	0.77%	0.67%	0.70%	0.00%	0.00%	1.28%	1.00%	1.35%	0.00%	1.52%	0.00%	0.00%	1.09%	0.71%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	359	21	12	19	31	7	0	21	8	6	27	34	10	9	69	45	40									
		13.99%	15.11%	9.23%	12.75%	10.80%	9.09%	0.00%	26.92%	8.00%	8.11%	14.92%	17.17%	8.77%	10.47%	18.80%	15.90%	16.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.54%	0.35%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	52	1	0	4	6	1	1	0	3	0	3	4	0	0	18	7	4									
		2.03%	0.72%	0.00%	2.68%	2.09%	1.30%	1.89%	0.00%	3.00%	0.00%	1.66%	2.02%	0.00%	0.00%	4.90%	2.47%	1.60%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
