Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Красногвардейская N25																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №1825	УИК №1826					
1	"Число избирателей, внесенных в списки избирателей"	148287	2166	2841	2725	2438	2395	2732	2731	2970	2994	2863	2959	2499	2898	2526	2018	2584	2501	1862	2327	2807	2026	1908	2062	2720	2399	2216	2139	2455	2385	2177	2128	2129	2229	2314	2880	2834	2234	1046	2491	2893	2733	2185	2877	2455	2935	2456	2570	2078	1985	2100	2063	2685	1806	2102	1980	1950	1929	1840	1635	1975	890	2092	767	1629	390	488	191					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	144330	2100	2800	2700	2400	2300	2700	2700	3000	2900	2800	2900	2450	2850	2450	2000	2150	2000	1650	2300	2750	2000	1850	1900	2650	2300	2150	2000	2400	2300	2100	2100	2050	2150	2300	2800	2800	2200	1000	2450	2850	2700	2450	2800	2350	2850	2400	2550	2000	1900	2000	2000	2600	1800	2050	1950	1850	1850	1800	1600	1950	850	2300	700	1400	500	700	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	75875	1132	1436	1358	1197	1235	1380	1300	1678	1490	1448	1535	1204	1435	1296	1000	1310	1393	1023	1059	1434	1050	1046	1139	1501	1316	1126	1119	1150	1279	1139	1043	945	1192	1175	1395	1310	1098	564	1176	1309	1391	1352	1578	1336	1560	1198	1335	1013	1033	1204	1040	1324	977	1076	979	1133	999	938	851	1016	255	1161	372	676	243	299	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1210	21	26	24	19	19	22	24	23	17	18	20	38	29	27	27	17	20	10	12	19	30	30	22	16	18	18	14	24	9	25	14	21	15	18	20	21	27	7	13	23	35	13	29	20	24	25	9	9	12	18	15	22	19	12	4	9	10	13	29	24	6	23	6	7	0	0	0					
6	Число погашенных избирательных бюллетеней	67245	947	1338	1318	1184	1046	1298	1376	1299	1393	1334	1345	1208	1386	1127	973	823	587	617	1229	1297	920	774	739	1133	966	1006	867	1226	1012	936	1043	1084	943	1107	1385	1469	1075	429	1261	1518	1274	1085	1193	994	1266	1177	1206	978	855	778	945	1254	804	962	967	708	841	849	720	910	589	1116	322	717	257	401	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1210	21	26	24	19	19	22	24	23	17	18	20	38	29	27	27	17	20	10	12	19	30	30	22	16	18	18	14	24	9	25	14	21	15	18	20	21	27	7	13	23	35	13	29	20	24	25	9	9	12	18	15	22	19	12	4	9	10	13	29	24	6	23	6	7	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	75818	1132	1436	1358	1195	1235	1380	1299	1678	1490	1448	1535	1204	1433	1296	1000	1308	1393	1022	1056	1434	1050	1044	1137	1500	1314	1124	1118	1150	1279	1139	1043	945	1192	1175	1387	1300	1095	564	1176	1309	1391	1352	1578	1336	1560	1198	1335	1013	1033	1200	1040	1320	977	1074	979	1131	999	938	851	1016	255	1159	372	676	243	299	120					
9	Число недействительных избирательных бюллетеней	665	7	7	12	9	11	10	18	16	13	10	18	10	14	9	12	10	27	2	7	18	9	7	11	15	13	16	10	8	16	9	8	11	11	11	16	17	6	7	14	11	12	15	14	8	7	10	11	8	7	10	14	7	5	10	4	4	6	0	6	17	3	7	3	5	2	2	2					
10	Число действительных избирательных бюллетеней	76363	1146	1455	1370	1205	1243	1392	1305	1685	1494	1456	1537	1232	1448	1314	1015	1315	1386	1030	1061	1435	1071	1067	1148	1501	1319	1126	1122	1166	1272	1155	1049	955	1196	1182	1391	1304	1116	564	1175	1321	1414	1350	1593	1348	1577	1213	1333	1014	1038	1208	1041	1335	991	1076	979	1136	1003	951	874	1023	258	1175	375	678	241	297	118					
