Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Еравнинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12791	905	738	310	661	49	219	206	298	362	26	461	330	55	138	807	902	857	974	860	158	313	350	805	80	246	583	561	241	296									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11429	894	660	270	600	40	200	180	260	320	25	410	300	48	126	710	800	760	870	770	126	280	300	710	70	200	510	500	200	290									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8303	861	415	137	441	31	154	103	198	214	19	279	176	45	95	544	571	519	570	563	109	218	241	473	60	163	339	379	168	218									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	246	0	27	10	11	0	9	1	0	2	0	10	2	0	5	8	18	26	25	13	2	4	0	25	1	5	15	12	5	10									
6	Число погашенных избирательных бюллетеней	2855	33	218	123	148	9	37	76	62	104	6	121	122	3	26	158	211	215	275	194	15	58	59	212	9	32	131	109	27	62									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	271	0	27	10	11	0	9	1	0	2	0	10	2	0	5	8	18	26	25	13	2	4	0	25	1	5	40	12	5	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8302	861	415	137	441	31	154	103	198	214	19	279	176	45	95	544	571	519	570	562	109	218	241	473	60	163	339	379	168	218									
9	Число недействительных избирательных бюллетеней	259	46	13	7	13	1	8	6	5	6	0	6	6	3	1	25	12	11	14	15	0	2	2	13	2	5	12	10	4	11									
10	Число действительных избирательных бюллетеней	8314	815	429	140	439	30	155	98	193	210	19	283	172	42	99	527	577	534	581	560	111	220	239	485	59	163	367	381	169	217									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	5	10	5	10	5	10	5	10	10	5	10	10	5	5	15	15	15	15	15	5	10	10	10	5	5	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	0	5	0	10	0	0	0	0	0	0	0	1	0	1	7	3	12	11	5	0	3	1	1	0	0	5	2	0	2									
