Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Сибирская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №1868	УИК №1869	УИК №1870	УИК №1871					
1	"Число избирателей, внесенных в списки избирателей"	8381	1990	2024	2267	2100					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7650	1850	1950	1950	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5780	1257	1445	1532	1546					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	863	237	203	203	220					
6	Число погашенных избирательных бюллетеней	1007	356	302	215	134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	863	237	203	203	220					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5771	1254	1443	1529	1545					
9	Число недействительных избирательных бюллетеней	87	23	20	22	22					
10	Число действительных избирательных бюллетеней	6547	1468	1626	1710	1743					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	480	120	120	120	120					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	246	38	43	104	61					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	166	48	43	34	41					
14	Число погашенных неиспользованных открепительных удостоверений	234	82	77	16	59					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	102	32	22	20	28					
		1.54%	2.15%	1.34%	1.15%	1.59%					
19	2.Всероссийская политическая партия «Гражданская Сила»	59	26	10	8	15					
		0.89%	1.74%	0.61%	0.46%	0.85%					
20	3.Политическая партия «Демократическая партия России»	12	3	6	2	1					
		0.18%	0.20%	0.36%	0.12%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	392	103	89	72	128					
		5.91%	6.91%	5.41%	4.16%	7.25%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	24	7	5	7	5					
		0.36%	0.47%	0.30%	0.40%	0.28%					
23	6.Политическая партия «Партия социальной справедливости»	13	3	3	3	4					
		0.20%	0.20%	0.18%	0.17%	0.23%					
24	7.Политическая партия «Либерально-демократическая партия России»	1011	225	246	290	250					
		15.24%	15.09%	14.95%	16.74%	14.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	352	80	86	95	91					
		5.31%	5.37%	5.22%	5.48%	5.16%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	50	14	14	12	10					
		0.75%	0.94%	0.85%	0.69%	0.57%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4493	967	1136	1192	1198					
		67.73%	64.86%	69.02%	68.82%	67.88%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	39	8	9	9	13					
		0.59%	0.54%	0.55%	0.52%	0.74%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
