Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Шурышкарская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
1	"Число избирателей, внесенных в списки"	5945	269	348	1184	306	2264	766	301	507					
2	"Число бюллетеней, полученных участковыми комиссиями"	5700	270	320	1100	340	2100	700	320	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	550	34	93	30	53	44	206	41	49					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4036	194	217	858	241	1554	388	247	337					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	291	25	7	72	12	88	11	13	63					
6	Число погашенных бюллетеней	823	17	3	140	34	414	95	19	101					
7	Число бюллетеней в переносных ящиках для голосования	841	59	100	102	65	132	217	54	112					
8	Число бюллетеней в стационарных ящиках для голосования	4036	194	217	858	241	1554	388	247	337					
9	Число недействительных бюллетеней	53	2	2	6	1	26	14	0	2					
10	Число действительных бюллетеней	4824	251	315	954	305	1660	591	301	447					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	5	5	10	5	53	9	5	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	52	5	0	6	0	28	2	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	3	3	3	1	4	2	1	2					
14	Число погашенных открепительных удостоверений	46	0	5	4	5	25	7	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	198	15	15	35	18	43	30	18	24					
		4.05%	5.92%	4.73%	3.64%	5.88%	2.55%	4.95%	5.98%	5.34%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	102	5	5	20	6	39	17	2	8					
		2.09%	1.97%	1.57%	2.08%	1.96%	2.31%	2.80%	0.66%	1.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	107	8	8	15	7	30	20	4	15					
		2.19%	3.16%	2.52%	1.56%	2.28%	1.77%	3.30%	1.32%	3.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	114	2	9	37	3	52	8	1	2					
		2.33%	0.79%	2.83%	3.85%	0.98%	3.08%	1.32%	0.33%	0.44%					
22	"5. ""За Русь Святую"""	41	2	5	12	3	9	4	1	5					
		0.84%	0.79%	1.57%	1.25%	0.98%	0.53%	0.66%	0.33%	1.11%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	2	4	1	0	2	5	1	4					
		0.38%	0.79%	1.26%	0.10%	0.0%	0.11%	0.82%	0.33%	0.89%					
24	"7. ""Новый курс - Автомобильная Россия"""	11	1	0	1	0	9	0	0	0					
		0.22%	0.39%	0.0%	0.10%	0.0%	0.53%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	6	0	1	1	1	3	0	0	0					
		0.12%	0.0%	0.31%	0.10%	0.32%	0.17%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	3	3	2	0	1	0	0	0					
		0.18%	1.18%	0.94%	0.20%	0.0%	0.05%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	57	2	3	16	4	17	10	0	5					
		1.16%	0.79%	0.94%	1.66%	1.30%	1.00%	1.65%	0.0%	1.11%					
28	"11. ""Истинные патриоты России"""	8	1	0	2	0	1	1	0	3					
		0.16%	0.39%	0.0%	0.20%	0.0%	0.05%	0.16%	0.0%	0.66%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	62	4	5	18	6	15	9	1	4					
		1.27%	1.58%	1.57%	1.87%	1.96%	0.88%	1.48%	0.33%	0.89%					
30	"13. ""Демократическая партия России"""	12	2	0	4	0	4	2	0	0					
		0.24%	0.79%	0.0%	0.41%	0.0%	0.23%	0.33%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	1	0	1	3	0	1	2					
		0.16%	0.0%	0.31%	0.0%	0.32%	0.17%	0.0%	0.33%	0.44%					
32	"15. ""Партия СЛОН"""	7	1	1	1	0	2	1	1	0					
		0.14%	0.39%	0.31%	0.10%	0.0%	0.11%	0.16%	0.33%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	148	7	9	28	11	50	25	3	15					
		3.03%	2.76%	2.83%	2.91%	3.59%	2.96%	4.13%	0.99%	3.34%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	22	1	3	4	0	8	3	0	3					
