Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
"Наименование Избирательной комиссии:    Барнаул, Центральная"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №1885	УИК №1886	УИК №1887					
1	"Число избирателей, внесенных в списки избирателей"	102777	3477	2259	2320	1914	2395	2189	1845	2327	2754	1247	2940	2505	3034	2670	2779	1667	2553	2460	2347	2908	2455	2820	2767	2200	2753	2140	1965	2093	1189	2297	2095	1839	1625	1044	2266	1844	2235	1951	2459	1762	2362	2289	774	2094	1230	758	1258	1623					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	83250	3000	1800	2500	1500	1850	1700	1400	1850	2200	940	2300	1930	2400	2200	2200	1300	1900	2000	1780	2300	1900	2200	2200	1700	2200	1700	1500	1650	900	1800	1900	1500	1200	800	1800	1450	2000	1500	2000	1400	1900	1800	600	2300	1500	600	900	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57310	1998	1500	1524	1157	1649	1454	1226	1558	1755	659	1698	1363	1645	1231	1518	836	1264	968	1237	1554	1033	1345	1165	822	1354	954	877	970	431	1615	1500	1230	994	667	1380	1162	1448	971	1284	955	1244	1304	431	1159	1190	363	645	1023					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3672	28	65	69	85	27	35	15	20	42	161	95	24	37	79	51	28	37	292	109	52	62	35	44	44	41	39	26	293	58	37	27	17	31	20	42	71	37	31	108	54	45	91	48	889	13	59	33	26					
6	Число погашенных избирательных бюллетеней	22268	974	235	907	258	174	211	159	272	403	120	507	543	718	890	631	436	599	740	434	694	805	820	991	834	805	707	597	387	411	148	373	253	175	113	378	217	515	498	608	391	611	405	121	252	297	178	222	251					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3672	28	65	69	85	27	35	15	20	42	161	95	24	37	79	51	28	37	292	109	52	62	35	44	44	41	39	26	293	58	37	27	17	31	20	42	71	37	31	108	54	45	91	48	889	13	59	33	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57255	1998	1499	1524	1157	1649	1452	1226	1556	1755	659	1697	1363	1645	1230	1518	833	1264	968	1237	1553	1033	1343	1162	822	1354	953	875	970	431	1615	1496	1230	993	667	1380	1162	1448	970	1284	955	1240	1304	431	1159	1190	363	645	997					
9	Число недействительных избирательных бюллетеней	794	18	25	25	25	18	16	18	19	19	7	11	15	16	13	8	7	8	14	17	24	8	15	13	11	14	15	9	17	6	5	24	9	16	11	14	15	17	9	14	7	15	13	3	34	135	6	12	4					
10	Число действительных избирательных бюллетеней	60133	2008	1539	1568	1217	1658	1471	1223	1557	1778	813	1781	1372	1666	1296	1561	854	1293	1246	1329	1581	1087	1363	1193	855	1381	977	892	1246	483	1647	1499	1238	1008	676	1408	1218	1468	992	1378	1002	1270	1382	476	2014	1068	416	666	1019					
