Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Каргасокский район																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445					
1	"Число избирателей, внесенных в список"	17718	302	178	1106	1198	951	710	777	1252	1263	535	600	237	133	168	242	168	159	122	479	402	254	243	266	1621	1886	379	452	209	283	426	234	483					
2	Число полученных избирательных бюллетеней	18075	500	500	1100	1150	940	690	750	1200	1250	530	620	235	135	180	245	180	160	130	480	410	255	265	265	1600	1950	380	450	200	275	420	230	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	119	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	37	0	63	0	5	0	0	0	0	0	4	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11404	298	116	661	726	570	410	437	791	825	319	441	194	114	131	211	151	138	98	333	341	191	140	150	801	965	237	342	193	205	320	171	384					
5	"Число избирательных бюллетеней, выданных вне помещения"	1450	0	59	128	110	76	37	62	47	86	71	78	10	11	0	13	4	16	10	40	31	12	27	5	190	147	42	53	1	28	33	9	14					
6	Число погашенных избирательных бюллетеней	5102	202	325	311	314	294	243	251	362	339	140	101	31	10	39	21	25	6	22	107	38	15	98	47	609	833	101	55	6	42	67	46	2					
7	Число избирательных бюллетеней в переносных ящиках	1568	0	59	128	110	76	37	62	47	86	71	78	10	11	10	13	4	16	10	40	31	49	27	68	189	152	42	53	1	28	33	13	14					
8	Число бюллетеней в стационарных ящиках для голосования	11395	298	116	661	726	570	410	437	791	825	319	441	194	114	131	211	151	138	98	333	341	191	140	150	801	956	237	342	193	205	320	171	384					
9	Число недействительных избирательных бюллетеней	89	3	1	5	4	4	2	1	5	3	0	5	1	2	3	0	1	0	2	3	12	1	2	0	6	14	0	2	0	0	6	0	1					
10	Число действительных избирательных бюллетеней	12874	295	174	784	832	642	445	498	833	908	390	514	203	123	138	224	154	154	106	370	360	239	165	218	984	1094	279	393	194	233	347	184	397					
11	Число полученных открепительных  удостоверений	700	10	10	50	50	30	30	30	40	30	30	25	10	10	10	10	10	10	10	20	20	10	10	10	50	50	20	20	10	10	20	10	35					
12	Число выданных открепительных удостоверений	141	0	0	7	4	11	3	6	6	4	2	9	1	0	6	2	2	0	0	1	2	3	0	2	16	40	1	4	0	0	5	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	579	262	138	7	4	1	2	1	2	5	2	0	1	2	0	0	1	2	0	0	0	3	0	0	45	9	1	2	0	0	3	0	86					
14	Число неиспользованных открепительных удостоверений	559	10	10	43	46	19	27	24	34	26	28	16	9	10	4	8	8	10	10	19	18	7	10	8	34	10	19	16	10	10	15	7	34					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	1	1	0	1	2	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
