Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Молоковская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4193	855	1147	255	190	193	188	151	273	168	204	137	98	119	215									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3620	650	900	240	180	180	190	140	250	160	190	130	90	110	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1447	360	478	57	40	47	56	41	29	44	61	48	47	33	106									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	644	30	45	84	79	39	49	55	77	71	38	14	12	23	28									
6	Число погашенных избирательных бюллетеней	1529	260	377	99	61	94	85	44	144	45	91	68	31	54	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	644	30	45	84	79	39	49	55	77	71	38	14	12	23	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1447	360	478	57	40	47	56	41	29	44	61	48	47	33	106									
9	Число недействительных избирательных бюллетеней	24	6	9	0	1	1	0	0	0	0	1	2	1	2	1									
10	Число действительных избирательных бюллетеней	2067	384	514	141	118	85	105	96	106	115	98	60	58	54	133									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	30	30	20	20	10	20	10	20	10	15	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	155	23	20	14	8	4	20	7	8	6	9	10	8	8	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	4	4	3	4	2	2	6	1	1	4	4	4	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	75	7	10	6	12	6	0	3	12	4	6	5	2	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	7	26	0	0	0	0	0	3	0	1	1	1	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	1	11	0	2	2	2	0	0	1	1	1	1	1	0									
		1.10%	0.26%	2.10%	0.00%	1.68%	2.33%	1.90%	0.00%	0.00%	0.87%	1.01%	1.61%	1.69%	1.79%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	39	8	12	3	5	0	0	1	2	2	1	1	1	1	2									
