Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Заларинская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22643	1941	1134	1605	1824	1380	870	215	380	177	166	284	83	161	106	591	520	802	241	151	93	210	416	228	65	121	384	246	261	208	480	476	176	585	238	94	874	573	242	1718	1572	142	477	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22185	1900	1100	1600	1700	1300	850	200	380	180	160	280	85	160	100	600	530	800	240	150	95	200	400	230	60	130	380	240	250	200	480	470	170	590	240	95	880	570	240	1700	1500	150	470	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8638	913	481	729	901	586	169	88	156	95	53	111	31	84	78	308	150	263	85	77	33	90	237	79	35	52	145	32	83	76	196	158	73	168	81	48	299	186	73	504	339	71	180	42									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1322	16	19	33	53	16	340	23	26	39	7	14	20	10	5	40	38	30	0	5	17	0	41	37	3	13	46	54	62	30	19	19	28	69	13	0	13	4	12	13	47	11	28	9									
6	Число погашенных избирательных бюллетеней	12223	971	600	836	746	698	341	89	198	46	100	155	34	66	17	252	342	507	155	68	45	110	122	114	22	65	189	154	105	94	265	293	69	353	146	47	568	380	155	1183	1114	68	262	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1322	16	19	33	53	16	340	23	26	39	7	14	20	10	5	40	38	30	0	5	17	0	41	37	3	13	46	54	62	30	19	19	28	69	13	0	13	4	12	13	47	11	28	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8635	913	481	729	901	586	169	88	156	95	53	111	31	84	78	308	150	260	85	77	33	90	237	79	35	52	145	32	83	76	196	158	73	168	81	48	299	186	73	504	339	71	180	42									
9	Число недействительных избирательных бюллетеней	199	21	23	16	18	24	15	0	4	0	2	1	0	1	5	5	4	4	1	0	0	4	5	1	0	0	7	0	1	0	1	3	0	2	0	0	6	3	0	12	7	0	2	1									
10	Число действительных избирательных бюллетеней	9758	908	477	746	936	578	494	111	178	134	58	124	51	93	78	343	184	286	84	82	50	86	273	115	38	65	184	86	144	106	214	174	101	235	94	48	306	187	85	505	379	82	206	50									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	351	30	15	15	15	15	10	5	5	5	5	5	5	5	5	10	16	10	5	5	5	5	5	5	5	10	10	5	5	5	5	5	5	10	5	5	10	5	5	15	15	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	16	4	3	4	1	0	1	5	0	2	5	2	0	0	7	16	2	0	0	0	3	5	4	0	8	5	1	0	0	3	5	1	10	5	0	1	3	3	8	3	8	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	4	2	2	7	6	2	0	2	1	2	0	0	1	4	2	3	4	0	0	0	0	1	0	0	0	2	2	4	0	2	2	0	3	1	0	0	0	0	5	5	0	1	1									
