Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Тутаевская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46401	1619	1651	1702	1859	1787	1659	1656	1804	1671	1588	1854	1683	1730	1483	1728	1579	1509	1447	1644	2109	556	591	265	259	363	245	264	290	299	386	255	301	285	521	475	1804	963	2349	2168									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45360	1600	1600	1600	1800	1750	1650	1600	1750	1650	1550	1850	1650	1700	1450	1700	1550	1500	1400	1600	2100	550	580	260	250	360	240	260	290	210	380	250	300	280	520	480	1750	900	2300	2150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16308	457	480	602	569	761	693	663	709	671	524	729	641	708	545	692	686	490	486	603	769	167	127	88	68	75	92	67	80	152	65	54	76	73	197	122	634	230	787	676									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1191	23	25	7	42	13	7	5	17	8	4	11	7	20	13	7	6	4	28	83	10	48	48	17	54	93	15	48	78	28	105	50	33	58	3	43	29	38	28	35									
6	Число погашенных избирательных бюллетеней	27861	1120	1095	991	1189	976	950	932	1024	971	1022	1110	1002	972	892	1001	858	1006	886	914	1321	335	405	155	128	192	133	145	132	30	210	146	191	149	320	315	1087	632	1485	1439									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1191	23	25	7	42	13	7	5	17	8	4	11	7	20	13	7	6	4	28	83	10	48	48	17	54	93	15	48	78	28	105	50	33	58	3	43	29	38	28	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16306	457	480	601	569	761	693	663	709	670	524	729	641	708	545	692	686	490	486	603	769	167	127	88	68	75	92	67	80	152	65	54	76	73	197	122	634	230	787	676									
9	Число недействительных избирательных бюллетеней	314	6	17	6	21	16	7	12	11	13	17	13	8	11	12	11	4	10	7	9	8	0	3	2	1	1	1	1	2	3	0	3	1	2	5	6	18	6	22	18									
10	Число действительных избирательных бюллетеней	17183	474	488	602	590	758	693	656	715	665	511	727	640	717	546	688	688	484	507	677	771	215	172	103	121	167	106	114	156	177	170	101	108	129	195	159	645	262	793	693									
