Выборы Президента Российской Федерации																																																													
Дата голосования: 04.03.2012																																																													
																																																													
Наименование Избирательной комиссии:    район Хорошево-Мневники																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	Число участковых избирательных комиссий, приступивших к передаче сведений	50																																																											
																																																													
		Сумма	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №3187	УИК №3387	УИК №3388	УИК №3389									
1	Число избирателей, включенных в список избирателей	101626	2638	2276	2553	2154	2295	2050	2456	2180	2058	2337	2352	2161	2019	2224	2034	2071	2034	2066	2022	2246	2165	2065	2395	2538	2207	2090	2024	2290	2135	2370	2446	2349	2134	2197	2025	2046	1746	1222	2136	2106	2273	2172	2079	2125	1705	1164	1178	749	169	1100									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	84200	2200	1900	2100	1800	1900	1700	1900	1700	1700	1900	2000	1900	1700	1800	1700	1700	1700	1700	1700	1800	1700	1700	2000	2100	1800	1700	1700	1900	1800	2000	2000	1900	1800	1800	1700	1700	1400	1000	1800	1700	1700	1800	1700	1700	1400	1000	1000	800	200	1200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	57128	1616	1351	1399	1011	1141	1134	1344	1187	1071	1199	1222	1385	1065	1221	1076	1081	1169	1203	1204	1281	1148	1210	1320	1436	1296	1176	1214	1363	1272	1316	1200	1197	1160	1162	1083	1061	1034	723	1205	1304	1113	1167	1177	1248	1130	611	772	745	159	766									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2164	9	24	41	41	41	18	26	29	25	64	51	46	40	36	39	57	36	48	51	34	43	73	39	45	49	61	28	17	48	60	39	49	51	58	31	47	29	40	67	44	48	40	27	44	31	16	6	0	0	278									
6	Число погашенных избирательных бюллетеней	24908	575	525	660	748	718	548	530	484	604	637	727	469	595	543	585	562	495	449	445	485	509	417	641	619	455	463	458	520	480	624	761	654	589	580	586	592	337	237	528	352	539	593	496	408	239	373	222	55	41	156									
