Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Половинская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10512	393	565	215	206	354	117	380	132	271	96	77	946	1247	987	791	159	257	978	273	724	481	440	423									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10434	413	587	217	217	358	132	393	129	273	101	93	962	1224	1019	783	164	265	1017	276	433	485	457	436									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4257	207	281	84	106	151	49	148	76	119	70	45	369	502	309	291	95	97	331	138	219	230	182	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	460	17	27	20	8	11	15	22	9	32	0	3	8	40	19	31	8	29	51	17	19	10	23	41									
6	Число погашенных избирательных бюллетеней	5717	189	279	113	103	196	68	223	44	122	31	45	585	682	691	461	61	139	635	121	195	245	252	237									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	460	17	27	20	8	11	15	22	9	32	0	3	8	40	19	31	8	29	51	17	19	10	23	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4257	207	281	84	106	151	49	148	76	119	70	45	369	502	309	291	95	97	331	138	219	230	182	158									
9	Число недействительных избирательных бюллетеней	76	3	5	2	2	2	0	2	3	1	0	0	9	12	4	11	0	1	4	3	4	1	2	5									
10	Число действительных избирательных бюллетеней	4641	221	303	102	112	160	64	168	82	150	70	48	368	530	324	311	103	125	378	152	234	239	203	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	233	18	15	7	10	6	4	8	2	6	5	16	10	15	14	10	4	12	22	6	8	10	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	166	18	15	0	7	4	4	7	1	6	3	16	10	10	8	6	4	2	18	6	0	1	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	2	4	1	3	1	2	1	3	4	3	4	1	10	2	2	2	3	4	3	4	2	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	67	0	0	7	3	2	0	1	1	0	2	0	0	5	6	4	0	10	4	0	8	9	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	2	1	3	0	1	1	0	1	0	0	2	4	8	4	0	1	0	0	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	54	1	2	3	0	0	0	3	3	2	1	1	4	6	4	1	1	2	8	1	1	5	2	3									
		1.14%	0.45%	0.65%	2.88%	0.00%	0.00%	0.00%	1.76%	3.53%	1.32%	1.43%	2.08%	1.06%	1.11%	1.22%	0.31%	0.97%	1.59%	2.09%	0.65%	0.42%	2.08%	0.98%	1.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	143	9	12	2	0	5	1	14	2	7	0	1	9	21	11	9	4	7	11	6	1	8	1	2									
		3.03%	4.02%	3.90%	1.92%	0.00%	3.09%	1.56%	8.24%	2.35%	4.64%	0.00%	2.08%	2.39%	3.87%	3.35%	2.80%	3.88%	5.56%	2.88%	3.87%	0.42%	3.33%	0.49%	1.01%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	82	2	6	1	4	2	2	1	2	3	0	0	2	7	6	5	3	8	7	1	8	2	6	4									
		1.74%	0.89%	1.95%	0.96%	3.51%	1.23%	3.13%	0.59%	2.35%	1.99%	0.00%	0.00%	0.53%	1.29%	1.83%	1.55%	2.91%	6.35%	1.83%	0.65%	3.36%	0.83%	2.93%	2.01%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2415	119	181	79	58	67	40	66	52	92	43	30	151	208	146	134	72	74	210	81	160	125	119	108									
		51.20%	53.13%	58.77%	75.96%	50.88%	41.36%	62.50%	38.82%	61.18%	60.93%	61.43%	62.50%	40.05%	38.38%	44.51%	41.61%	69.90%	58.73%	54.97%	52.26%	67.23%	52.08%	58.05%	54.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	0	1	0	0	0	4	0	0	1	2	1	3	0	1	0	0	1	1	0	1	1	0									
		0.36%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	2.35%	0.00%	0.00%	1.43%	4.17%	0.27%	0.55%	0.00%	0.31%	0.00%	0.00%	0.26%	0.65%	0.00%	0.42%	0.49%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	882	42	35	12	19	56	5	32	14	21	18	9	72	109	68	79	13	22	70	22	43	50	30	41									
		18.70%	18.75%	11.36%	11.54%	16.67%	34.57%	7.81%	18.82%	16.47%	13.91%	25.71%	18.75%	19.10%	20.11%	20.73%	24.53%	12.62%	17.46%	18.32%	14.19%	18.07%	20.83%	14.63%	20.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	0	2	1	2	0	0	0	0	0	0	0	1	6	3	3	0	1	1	0	0	1	1	1									
