Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Сампурская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463					
1	"Число избирателей, внесенных в списки"	12435	2086	179	368	136	651	184	245	101	1092	213	453	206	466	317	398	218	713	554	2747	539	313	256					
2	"Число бюллетеней, полученных участковыми комиссиями"	12791	2060	172	378	138	668	191	258	102	1089	227	476	216	489	332	414	229	705	583	2896	563	327	278					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5927	854	69	163	91	358	104	125	55	500	134	174	105	161	181	214	107	404	295	1347	279	112	95					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1611	181	49	37	25	57	17	43	21	173	27	118	30	118	64	58	50	143	179	93	32	51	45					
6	Число погашенных бюллетеней	5253	1025	54	178	22	253	70	90	26	416	66	184	81	210	87	142	72	158	109	1456	252	164	138					
7	Число бюллетеней в переносных ящиках для голосования	1610	181	49	37	25	57	17	43	21	173	27	117	30	118	64	58	50	143	179	93	32	51	45					
8	Число бюллетеней в стационарных ящиках для голосования	5925	853	69	162	91	358	104	125	55	500	134	174	105	161	181	214	107	404	295	1347	279	112	95					
9	Число недействительных бюллетеней	240	47	6	7	1	13	11	4	1	27	5	14	6	9	8	12	4	16	2	25	10	6	6					
10	Число действительных бюллетеней	7295	987	112	192	115	402	110	164	75	646	156	277	129	270	237	260	153	531	472	1415	301	157	134					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	24	3	4	2	7	3	3	2	13	3	5	4	5	4	4	3	8	7	33	6	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0					
14	Число погашенных открепительных удостоверений	144	24	3	4	2	7	3	3	2	13	3	5	4	5	4	4	3	8	7	28	5	4	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	151	18	4	5	0	11	4	2	3	10	1	8	3	8	6	13	2	13	6	19	7	7	1					
		2.00%	1.74%	3.38%	2.51%	0.0%	2.65%	3.30%	1.19%	3.94%	1.48%	0.62%	2.74%	2.22%	2.86%	2.44%	4.77%	1.27%	2.37%	1.26%	1.31%	2.25%	4.29%	0.71%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	74	9	1	9	0	2	0	0	0	9	2	1	2	2	0	4	2	3	5	16	4	1	2					
