Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Севская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940					
1	"Число избирателей, внесенных в список"	14221	464	95	72	84	395	301	214	258	440	352	336	301	362	429	278	257	396	179	231	85	256	99	212	345	472	237	209	154	255	230	2676	2403	715	429					
2	Число полученных избирательных бюллетеней	15000	450	100	100	100	450	300	200	300	450	350	400	350	400	500	300	250	400	200	250	100	250	100	250	350	500	250	200	150	250	250	2800	2500	750	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8965	302	66	49	60	286	195	125	176	310	252	236	197	172	306	199	196	210	137	180	63	168	73	160	231	360	147	147	135	170	173	1416	1401	379	288					
5	"Число избирательных бюллетеней, выданных вне помещения"	1554	69	22	12	16	59	41	28	18	31	26	10	50	153	39	26	27	135	16	24	10	40	17	31	85	46	51	30	7	51	36	121	117	91	19					
6	Число погашенных избирательных бюллетеней	4481	79	12	39	24	105	64	47	106	109	72	154	103	75	155	75	27	55	47	46	27	42	10	59	34	94	52	23	8	29	41	1263	982	280	143					
7	Число избирательных бюллетеней в переносных ящиках	1554	69	22	12	16	59	41	28	18	31	26	10	50	153	39	26	27	135	16	24	10	40	17	31	85	46	51	30	7	51	36	121	117	91	19					
8	Число бюллетеней в стационарных ящиках для голосования	8965	302	66	49	60	286	195	125	176	310	252	236	197	172	306	199	196	210	137	180	63	168	73	160	231	360	147	147	135	170	173	1416	1401	379	288					
9	Число недействительных избирательных бюллетеней	77	3	0	1	3	0	0	2	1	3	2	5	5	1	3	0	1	2	0	1	1	4	0	5	1	6	2	1	5	0	2	0	12	3	2					
10	Число действительных избирательных бюллетеней	10442	368	88	60	73	345	236	151	193	338	276	241	242	324	342	225	222	343	153	203	72	204	90	186	315	400	196	176	137	221	207	1537	1506	467	305					
11	Число полученных открепительных  удостоверений	296	26	1	1	2	5	5	5	5	5	9	14	17	13	5	5	5	5	5	5	5	5	5	10	10	4	5	5	6	5	5	40	39	4	10					
12	Число выданных открепительных удостоверений	197	16	0	0	1	3	2	2	5	1	8	12	14	13	3	0	0	5	2	1	0	4	4	7	9	1	0	0	6	1	2	28	39	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	2	8	6	3	1	3	6	2	4	4	4	4	4	0	3	2	4	2	1	3	3	4	3	2	1	2	4	1	2	1	11	8	11	2					
14	Число неиспользованных открепительных удостоверений	99	10	1	1	1	2	3	3	0	4	1	2	3	0	2	5	5	0	3	4	5	1	1	3	1	3	5	5	0	4	3	12	0	0	6					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	209	2	1	1	0	8	3	2	6	11	4	7	5	2	3	1	4	5	2	0	0	4	0	2	4	0	0	7	5	4	4	64	29	9	10					
		1.99%	0.54%	1.14%	1.64%	0.00%	2.32%	1.27%	1.31%	3.09%	3.23%	1.44%	2.85%	2.02%	0.62%	0.87%	0.44%	1.79%	1.45%	1.31%	0.00%	0.00%	1.92%	0.00%	1.05%	1.27%	0.00%	0.00%	3.95%	3.52%	1.81%	1.91%	4.16%	1.91%	1.91%	3.26%					
19	. Малышкин Олег Александрович	164	7	0	0	0	5	3	4	1	8	5	10	2	2	7	0	2	1	4	4	2	3	4	3	2	2	6	1	3	2	5	33	16	8	9					
		1.56%	1.89%	0.00%	0.00%	0.00%	1.45%	1.27%	2.61%	0.52%	2.35%	1.80%	4.07%	0.81%	0.62%	2.03%	0.00%	0.90%	0.29%	2.61%	1.96%	2.74%	1.44%	4.44%	1.57%	0.63%	0.49%	3.03%	0.56%	2.11%	0.90%	2.39%	2.15%	1.05%	1.70%	2.93%					
20	. Миронов Сергей Михайлович	71	3	3	0	0	6	2	1	1	0	1	4	4	0	3	4	1	5	2	0	0	3	0	5	0	0	1	0	0	1	1	13	5	2	0					
		0.67%	0.81%	3.41%	0.00%	0.00%	1.74%	0.85%	0.65%	0.52%	0.00%	0.36%	1.63%	1.62%	0.00%	0.87%	1.78%	0.45%	1.45%	1.31%	0.00%	0.00%	1.44%	0.00%	2.62%	0.00%	0.00%	0.51%	0.00%	0.00%	0.45%	0.48%	0.85%	0.33%	0.43%	0.00%					
21	. Путин Владимир Владимирович	7548	304	61	42	57	265	153	132	161	215	204	181	162	221	246	183	163	276	100	155	43	154	65	92	251	273	153	125	89	179	165	1082	1049	343	204					
		71.76%	81.94%	69.32%	68.85%	75.00%	76.81%	64.83%	86.27%	82.99%	63.05%	73.38%	73.58%	65.59%	68.00%	71.30%	81.33%	73.09%	80.00%	65.36%	75.98%	58.90%	74.04%	72.22%	48.17%	79.43%	67.24%	77.27%	70.62%	62.68%	81.00%	78.95%	70.40%	69.10%	72.98%	66.45%					
22	. Хакамада Ирина Муцуовна	130	2	1	3	0	6	4	0	3	11	3	2	4	6	3	4	4	3	1	3	3	2	0	1	7	4	2	5	2	2	1	12	19	5	2					
		1.24%	0.54%	1.14%	4.92%	0.00%	1.74%	1.69%	0.00%	1.55%	3.23%	1.08%	0.81%	1.62%	1.85%	0.87%	1.78%	1.79%	0.87%	0.65%	1.47%	4.11%	0.96%	0.00%	0.52%	2.22%	0.99%	1.01%	2.82%	1.41%	0.90%	0.48%	0.78%	1.25%	1.06%	0.65%					
23	. Харитонов Николай Михайлович	2182	49	21	13	16	54	70	11	20	89	57	34	61	87	75	29	42	53	42	39	22	37	21	79	47	120	34	37	37	30	30	309	352	87	78					
		20.74%	13.21%	23.86%	21.31%	21.05%	15.65%	29.66%	7.19%	10.31%	26.10%	20.50%	13.82%	24.70%	26.77%	21.74%	12.89%	18.83%	15.36%	27.45%	19.12%	30.14%	17.79%	23.33%	41.36%	14.87%	29.56%	17.17%	20.90%	26.06%	13.57%	14.35%	20.10%	23.19%	18.51%	25.41%					
																																									
24	Против всех	138	1	1	1	0	1	1	1	1	4	2	3	4	6	5	4	6	0	2	2	2	1	0	4	4	1	0	1	1	3	1	24	36	13	2					
		1.31%	0.27%	1.14%	1.64%	0.00%	0.29%	0.42%	0.65%	0.52%	1.17%	0.72%	1.22%	1.62%	1.85%	1.45%	1.78%	2.69%	0.00%	1.31%	0.98%	2.74%	0.48%	0.00%	2.09%	1.27%	0.25%	0.00%	0.56%	0.70%	1.36%	0.48%	1.56%	2.37%	2.77%	0.65%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
