Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Тайгинская городская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964					
1	"Число избирателей, внесенных в список"	16163	1084	1005	1288	1226	1220	1102	1057	1509	1368	1237	1242	1212	1030	348	235					
2	Число полученных избирательных бюллетеней	16160	1020	1017	1240	1238	1293	1122	1022	1523	1399	1244	1246	1203	1020	342	231					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9734	654	609	812	812	548	713	576	1041	838	683	752	684	586	267	159					
5	"Число избирательных бюллетеней, выданных вне помещения"	1971	206	105	142	219	174	72	216	113	124	148	164	62	142	22	62					
6	Число погашенных избирательных бюллетеней	4455	160	303	286	207	571	337	230	369	437	413	330	457	292	53	10					
7	Число избирательных бюллетеней в переносных ящиках	1971	206	105	142	219	174	72	216	113	124	148	164	62	142	22	62					
8	Число бюллетеней в стационарных ящиках для голосования	9734	654	609	812	812	548	713	576	1041	838	683	752	684	586	267	159					
9	Число недействительных избирательных бюллетеней	91	2	2	7	29	2	8	5	10	11	6	0	0	5	3	1					
10	Число действительных избирательных бюллетеней	11614	858	712	947	1002	720	777	787	1144	951	825	916	746	723	286	220					
11	Число полученных открепительных  удостоверений	297	14	20	30	35	20	20	40	20	20	20	15	15	15	8	5					
12	Число выданных открепительных удостоверений	83	2	6	0	16	9	5	12	10	1	9	1	4	2	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	3	1	11	12	3	2	3	2	2	10	6	2	7	11	2					
14	Число неиспользованных открепительных удостоверений	214	12	14	30	19	11	15	28	10	19	11	14	11	13	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	378	16	13	37	38	16	23	19	58	49	32	10	21	35	7	4					
		3.23%	1.86%	1.82%	3.88%	3.69%	2.22%	2.93%	2.40%	5.03%	5.09%	3.85%	1.09%	2.82%	4.81%	2.42%	1.81%					
19	. Малышкин Олег Александрович	447	44	34	40	30	31	26	24	57	36	34	26	31	23	9	2					
		3.82%	5.12%	4.76%	4.19%	2.91%	4.29%	3.31%	3.03%	4.94%	3.74%	4.09%	2.84%	4.16%	3.16%	3.11%	0.90%					
20	. Миронов Сергей Михайлович	102	10	4	9	3	7	9	8	6	7	9	10	12	3	4	1					
		0.87%	1.16%	0.56%	0.94%	0.29%	0.97%	1.15%	1.01%	0.52%	0.73%	1.08%	1.09%	1.61%	0.41%	1.38%	0.45%					
21	. Путин Владимир Владимирович	8802	682	554	695	723	523	595	647	754	715	590	780	578	553	238	175					
		75.20%	79.30%	77.59%	72.85%	70.13%	72.44%	75.80%	81.69%	65.34%	74.32%	71.00%	85.15%	77.48%	75.96%	82.35%	79.19%					
22	. Хакамада Ирина Муцуовна	281	21	12	26	25	21	13	15	40	36	24	12	17	6	6	7					
		2.40%	2.44%	1.68%	2.73%	2.42%	2.91%	1.66%	1.89%	3.47%	3.74%	2.89%	1.31%	2.28%	0.82%	2.08%	3.17%					
23	. Харитонов Николай Михайлович	1201	72	63	93	146	79	66	47	177	78	114	62	64	94	17	29					
		10.26%	8.37%	8.82%	9.75%	14.16%	10.94%	8.41%	5.93%	15.34%	8.11%	13.72%	6.77%	8.58%	12.91%	5.88%	13.12%					
																						
24	Против всех	403	13	32	47	37	43	45	27	52	30	22	16	23	9	5	2					
		3.44%	1.51%	4.48%	4.93%	3.59%	5.96%	5.73%	3.41%	4.51%	3.12%	2.65%	1.75%	3.08%	1.24%	1.73%	0.90%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
