Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Мензелинская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010					
1	"Число избирателей, внесенных в списки избирателей"	21311	256	232	284	69	380	490	69	359	260	274	179	228	192	627	204	655	162	88	307	354	107	235	293	324	105	92	342	231	285	137	240	177	372	164	284	263	250	105	910	785	800	679	879	841	950	759	720	932	767	816	984	283	531					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21190	256	232	284	69	382	493	69	359	260	276	180	225	189	614	204	650	162	85	309	352	108	235	293	324	105	92	346	236	284	137	240	180	383	164	284	263	250	105	910	763	772	690	873	918	931	755	720	894	728	749	994	283	531					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18358	196	232	257	55	327	447	61	297	224	274	179	196	144	465	183	570	146	76	302	321	70	230	275	276	87	70	292	189	270	137	230	147	332	158	271	256	223	88	800	676	631	569	731	565	866	643	624	672	672	692	964	247	453					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2185	58	0	27	14	51	43	8	62	36	0	0	29	43	149	21	64	16	9	5	31	37	5	15	48	18	22	50	42	14	0	10	30	40	6	13	7	27	17	68	32	107	59	85	276	29	36	84	200	23	57	12	7	43					
6	Число погашенных избирательных бюллетеней	647	2	0	0	0	4	3	0	0	0	2	1	0	2	0	0	16	0	0	2	0	1	0	3	0	0	0	4	5	0	0	0	3	11	0	0	0	0	0	42	55	34	62	57	77	36	76	12	22	33	0	18	29	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2185	58	0	27	14	51	43	8	62	36	0	0	29	43	149	21	64	16	9	5	31	37	5	15	48	18	22	50	42	14	0	10	30	40	6	13	7	27	17	68	32	107	59	85	276	29	36	84	200	23	57	12	7	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18358	196	232	257	55	327	447	61	297	224	274	179	196	144	465	183	570	146	76	302	321	70	230	275	276	87	70	292	189	270	137	230	147	332	158	271	256	223	88	800	676	631	569	731	565	866	643	624	672	672	692	964	247	453					
9	Число недействительных избирательных бюллетеней	75	0	0	0	0	4	7	0	0	0	2	0	1	0	5	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	7	16	4	0	4	0	0	0	0	0	4	0	2	0					
10	Число действительных избирательных бюллетеней	20468	254	232	284	69	374	483	69	359	260	272	179	224	187	609	202	632	158	85	307	352	107	235	290	324	105	92	342	231	284	137	240	177	372	164	284	263	248	105	859	701	722	624	816	837	895	679	708	872	695	745	976	252	496					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	194	0	0	0	0	11	0	0	0	0	0	0	4	4	0	0	3	0	0	0	15	10	0	0	0	0	0	8	5	0	0	0	0	5	1	3	3	0	0	10	10	0	5	10	10	12	10	15	10	10	15	0	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	172	0	0	0	0	8	0	0	0	0	0	0	4	4	0	0	3	0	0	0	15	10	0	0	0	0	0	4	2	0	0	0	0	5	1	3	3	0	0	10	10	0	5	6	10	12	6	15	10	6	15	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	247	0	0	0	0	2	6	0	2	0	1	0	3	0	3	0	6	1	1	1	4	0	1	2	0	0	1	3	0	0	0	0	0	1	0	3	2	0	3	5	5	4	3	4	145	5	4	5	3	4	4	5	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	4	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	105	2	0	1	0	1	0	0	1	1	0	0	0	0	6	0	1	2	0	0	0	0	1	1	2	0	1	0	0	1	1	0	0	7	0	1	0	0	0	5	7	5	3	2	4	0	2	7	3	1	10	16	5	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
