Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Аркадакская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19241	1280	1191	814	1156	1505	1503	1296	1652	139	229	655	115	389	722	678	632	342	183	509	207	530	355	299	83	641	90	604	141	335	347	417	202									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19765	1300	1220	880	1220	1500	1500	1320	1600	140	230	705	120	400	730	690	640	360	195	545	215	540	375	315	85	710	100	660	150	350	350	410	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12317	985	832	534	944	890	1206	871	928	70	91	357	70	219	460	473	319	245	125	299	100	385	231	142	55	391	47	265	73	151	207	227	125									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2293	114	24	29	23	168	24	158	235	35	87	102	10	102	97	33	132	28	20	66	56	23	0	67	20	150	40	222	43	67	32	66	20									
6	Число погашенных избирательных бюллетеней	5155	201	364	317	253	442	270	291	437	35	52	246	40	79	173	184	189	87	50	180	59	132	144	106	10	169	13	173	34	132	111	117	65									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2293	114	24	29	23	168	24	158	235	35	87	102	10	102	97	33	132	28	20	66	56	23	0	67	20	150	40	222	43	67	32	66	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12284	985	832	534	911	890	1206	871	928	70	91	357	70	219	460	473	319	245	125	299	100	385	231	142	55	391	47	265	73	151	207	227	125									
9	Число недействительных избирательных бюллетеней	45	0	0	10	27	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1									
10	Число действительных избирательных бюллетеней	14532	1099	856	553	907	1058	1230	1029	1163	105	178	456	80	321	557	506	451	272	145	365	156	408	231	209	75	539	87	486	116	218	239	293	144									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	337	15	15	10	15	15	15	15	15	5	5	10	5	10	10	10	10	7	5	15	5	10	15	10	5	20	5	20	5	10	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	182	4	4	4	10	4	13	5	14	0	1	6	1	1	1	0	8	7	5	15	1	2	15	7	0	19	3	20	3	5	1	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	2	0	0	2	1	0	1	0	1	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	155	11	11	6	5	11	2	10	1	5	4	4	4	9	9	10	2	0	0	0	4	8	0	3	5	1	2	0	2	5	9	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	4	3	0	2	2	3	4	2	0	6	2	0	1	1	1	1	3	0	9	1	2	0	0	0	0	0	1	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	13	0	0	3	6	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.53%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	85	0	0	12	22	0	0	10	0	0	0	4	0	0	0	9	8	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1									
		0.58%	0.00%	0.00%	2.13%	2.36%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	1.78%	1.77%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	33	0	0	3	9	0	0	5	0	0	0	6	0	0	0	0	3	2	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0									
		0.23%	0.00%	0.00%	0.53%	0.96%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	0.00%	0.00%	0.67%	0.73%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11707	889	728	389	689	909	996	795	937	93	143	330	70	277	452	415	366	219	118	296	126	326	189	170	60	418	70	397	95	186	203	240	116									
		80.31%	80.89%	85.05%	69.09%	73.77%	85.92%	80.98%	77.26%	80.57%	88.57%	80.34%	71.90%	87.50%	86.29%	81.15%	82.02%	81.15%	80.22%	81.38%	81.10%	80.77%	79.90%	81.82%	81.34%	80.00%	77.26%	80.46%	81.52%	81.90%	85.32%	84.94%	81.91%	80.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	0	3	4	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1									
		0.10%	0.00%	0.00%	0.53%	0.43%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.22%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
