Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Уярская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17654	858	982	906	1135	1026	1093	1016	935	554	682	732	900	915	611	66	155	103	123	682	81	217	554	70	157	281	146	629	127	264	863	329	124	338									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17499	850	990	900	1100	1000	1050	1000	930	550	690	695	895	910	619	69	157	98	120	690	84	215	550	72	159	280	149	620	125	262	860	330	125	355									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	10	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5635	271	284	249	301	286	288	322	229	78	175	224	288	336	264	43	51	45	56	241	20	82	191	35	66	92	93	231	48	102	305	147	48	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	322	3	9	1	4	3	9	4	8	4	20	58	8	21	25	2	7	5	14	19	15	19	4	0	4	1	0	5	7	14	4	10	1	14									
6	Число погашенных избирательных бюллетеней	11532	576	697	650	795	711	753	674	693	468	495	413	599	551	325	24	99	45	50	430	49	114	355	37	89	187	56	384	70	146	551	173	76	197									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	332	3	9	1	4	3	9	4	8	4	20	58	8	23	30	2	7	8	14	19	15	19	4	0	4	1	0	5	7	14	4	10	1	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5635	271	284	249	301	286	288	322	229	78	175	224	288	336	264	43	51	45	56	241	20	82	191	35	66	92	93	231	48	102	305	147	48	144									
9	Число недействительных избирательных бюллетеней	159	13	13	1	9	6	8	8	6	6	10	8	9	10	7	0	0	3	1	6	0	0	4	2	3	2	0	4	0	1	8	1	4	6									
10	Число действительных избирательных бюллетеней	5808	261	280	249	296	283	289	318	231	76	185	274	287	349	287	45	58	50	69	254	35	101	191	33	67	91	93	232	55	115	301	156	45	152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	20	20	20	20	20	20	20	20	15	15	15	20	20	15	4	7	7	7	15	5	8	15	5	7	10	7	20	10	10	20	15	7	11									
