Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Кирсановская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14778	1007	505	412	263	377	420	514	1208	617	272	87	591	405	692	115	448	288	243	129	145	114	413	306	356	1472	971	963	1445									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14865	1030	510	420	260	370	420	530	1220	630	270	85	590	400	700	110	450	290	240	120	130	110	410	300	350	1490	980	980	1470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4993	270	162	144	90	111	132	119	351	141	103	47	201	93	276	62	199	81	116	55	57	27	210	185	173	524	296	272	496									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1459	102	58	91	55	44	47	58	45	61	95	9	86	74	77	8	46	48	17	19	22	19	45	2	29	106	54	94	48									
6	Число погашенных избирательных бюллетеней	8413	658	290	185	115	215	241	353	824	428	72	29	303	233	347	40	205	161	107	46	51	64	155	113	148	860	630	614	926									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1459	102	58	91	55	44	47	58	45	61	95	9	86	74	77	8	46	48	17	19	22	19	45	2	29	106	54	94	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4992	270	162	144	90	111	132	119	351	141	103	47	201	93	276	62	199	81	116	55	57	27	209	185	173	524	296	272	496									
9	Число недействительных избирательных бюллетеней	167	3	9	5	2	6	5	10	22	12	0	4	4	0	14	2	9	4	4	0	2	2	3	1	0	19	5	0	20									
10	Число действительных избирательных бюллетеней	6284	369	211	230	143	149	174	167	374	190	198	52	283	167	339	68	236	125	129	74	77	44	251	186	202	611	345	366	524									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	248	10	10	8	8	8	8	10	15	10	8	5	10	8	10	5	8	8	8	5	5	5	8	8	8	15	10	12	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	98	10	5	0	0	0	3	4	11	1	1	0	0	0	4	2	8	3	0	0	1	0	1	0	1	9	8	11	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	92	2	0	5	3	3	5	4	5	2	3	3	5	3	4	2	6	5	2	1	4	3	3	2	6	1	5	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	150	0	5	8	8	8	5	6	4	9	7	5	10	8	6	3	0	5	8	5	4	5	7	8	7	6	2	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	5	0	0	1	0	0	0	1	5	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	200	2	9	2	18	2	14	9	15	22	2	0	5	4	6	0	6	2	3	0	4	11	6	6	5	4	10	4	29									
