Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Александровск-Сахалинская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9815	202	411	168	937	208	282	83	296	771	1110	2352	2089	906									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8160	170	350	150	750	170	250	70	250	650	900	2000	1700	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	15	0	0	0	15	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2719	43	113	60	257	57	78	24	45	176	370	667	597	232									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	247	19	7	3	35	12	68	18	10	7	9	14	22	23									
6	Число погашенных избирательных бюллетеней	5179	108	230	87	443	101	104	28	195	467	521	1319	1081	495									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	262	19	7	3	50	12	68	18	10	7	9	14	22	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2719	43	113	60	257	57	78	24	45	176	370	667	597	232									
9	Число недействительных избирательных бюллетеней	86	0	6	2	4	3	5	3	1	3	7	25	22	5									
10	Число действительных избирательных бюллетеней	2895	62	114	61	303	66	141	39	54	180	372	656	597	250									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	10	10	10	20	10	10	10	10	15	20	30	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	24	0	0	2	0	1	0	1	0	3	2	4	9	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	0	0	0	2	1	1	2	0	1	5	1	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	181	10	10	8	20	9	10	9	10	12	18	26	21	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	3	0	0	0	1	1	2	2	1	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	48	1	2	4	2	0	3	0	1	0	3	16	5	11									
		1.61%	1.61%	1.67%	6.35%	0.65%	0.00%	2.05%	0.00%	1.82%	0.00%	0.79%	2.35%	0.81%	4.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	95	0	4	2	12	3	4	1	1	11	9	18	21	9									
		3.19%	0.00%	3.33%	3.17%	3.91%	4.35%	2.74%	2.38%	1.82%	6.01%	2.37%	2.64%	3.39%	3.53%									
