Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Краснопартизанская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10573	682	631	1155	415	843	732	563	260	556	575	327	525	251	256	91	466	262	516	287	233	354	267	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11000	785	630	1275	395	945	825	570	265	550	600	335	530	260	245	90	480	265	510	280	230	350	260	325									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7295	424	358	610	220	703	575	472	204	389	324	184	392	214	144	88	309	221	372	194	202	281	225	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	741	28	91	32	75	42	44	23	9	19	53	35	30	15	16	0	48	21	38	32	0	15	32	43									
6	Число погашенных избирательных бюллетеней	2964	333	181	633	100	200	206	75	52	142	223	116	108	31	85	2	123	23	100	54	28	54	3	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	741	28	91	32	75	42	44	23	9	19	53	35	30	15	16	0	48	21	38	32	0	15	32	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7284	424	357	610	220	693	575	472	204	389	324	184	392	214	144	88	309	221	372	194	202	281	225	190									
9	Число недействительных избирательных бюллетеней	135	10	1	8	2	6	7	0	0	8	3	5	6	10	7	0	30	16	2	0	6	0	8	0									
10	Число действительных избирательных бюллетеней	7890	442	447	634	293	729	612	495	213	400	374	214	416	219	153	88	327	226	408	226	196	296	249	233									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	310	15	15	25	15	15	15	15	10	15	20	15	10	15	10	5	20	10	15	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	194	13	8	17	5	6	9	15	10	12	20	15	10	15	0	0	20	7	4	0	2	2	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	1	3	0	4	4	3	2	0	3	3	0	1	3	4	1	3	0	3	0	3	3	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	116	2	7	8	10	9	6	0	0	3	0	0	0	0	10	5	0	3	11	10	8	8	10	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	3	2	4	2	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	0	4	3	1	4	1	1	4	1	5	0	0	1	0	1	0	0	0	4	0	1	0	0									
		0.39%	0.00%	0.89%	0.47%	0.34%	0.54%	0.16%	0.20%	1.88%	0.25%	1.33%	0.00%	0.00%	0.44%	0.00%	1.14%	0.00%	0.00%	0.00%	1.77%	0.00%	0.34%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	194	16	10	21	11	15	13	12	0	22	11	13	8	6	0	0	0	6	3	7	3	13	4	0									
		2.42%	3.54%	2.23%	3.27%	3.73%	2.04%	2.10%	2.42%	0.00%	5.39%	2.92%	5.94%	1.90%	2.62%	0.00%	0.00%	0.00%	2.48%	0.73%	3.10%	1.49%	4.39%	1.56%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	2	0	11	9	0	4	3	0	9	2	1	2	0	0	0	0	0	3	5	2	3	0	1									
		0.71%	0.44%	0.00%	1.71%	3.05%	0.00%	0.65%	0.61%	0.00%	2.21%	0.53%	0.46%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	2.21%	0.99%	1.01%	0.00%	0.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5656	269	385	336	191	550	444	393	147	261	229	104	310	165	92	74	277	178	333	154	140	211	233	180									
		70.48%	59.51%	85.94%	52.34%	64.75%	74.83%	71.73%	79.39%	69.01%	63.97%	60.74%	47.49%	73.46%	72.05%	57.50%	84.09%	77.59%	73.55%	81.22%	68.14%	69.31%	71.28%	90.66%	77.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	1	0	4	1	2	3	0	1	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0									
		0.22%	0.22%	0.00%	0.62%	0.34%	0.27%	0.48%	0.00%	0.47%	0.25%	0.53%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
