Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Щербиновская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №5701	УИК №5702	УИК №5703	УИК №5704	УИК №5705	УИК №5706	УИК №5707	УИК №5708	УИК №5709	УИК №5710	УИК №5711	УИК №5712	УИК №5713	УИК №5714	УИК №5715	УИК №5716	УИК №5717	УИК №5718					
1	"Число избирателей, внесенных в списки избирателей"	29934	2014	2594	2342	1919	1845	2696	1585	2293	2524	1889	1854	1195	1701	1043	1064	877	362	137					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29992	1994	2611	2273	1926	1936	2603	1591	2322	2523	1914	1862	1224	1710	1053	1068	890	359	133					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19628	1270	1615	1377	1168	1295	1517	978	1522	1639	1240	1135	843	1328	846	780	685	273	117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1819	93	148	109	109	217	225	96	100	97	117	139	113	63	52	78	50	9	4					
6	Число погашенных избирательных бюллетеней	8545	631	848	787	649	424	861	517	700	787	557	588	268	319	155	210	155	77	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1819	93	148	109	109	217	225	96	100	97	117	139	113	63	52	78	50	9	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19625	1270	1612	1377	1168	1295	1517	978	1522	1639	1240	1135	843	1328	846	780	685	273	117					
9	Число недействительных избирательных бюллетеней	315	27	20	25	23	42	23	26	26	27	10	15	8	15	6	14	5	2	1					
10	Число действительных избирательных бюллетеней	21129	1336	1740	1461	1254	1470	1719	1048	1596	1709	1347	1259	948	1376	892	844	730	280	120					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	496	30	35	30	30	35	35	30	35	35	30	30	30	35	25	30	10	6	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	364	9	23	28	22	35	13	17	25	22	30	28	23	35	18	27	7	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	86	5	5	14	6	7	7	3	4	2	5	6	2	5	5	3	3	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	132	21	12	2	8	0	22	13	10	13	0	2	7	0	7	3	3	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	684	48	68	41	47	43	42	25	79	90	29	33	29	28	21	33	19	8	1					
		3.19%	3.52%	3.86%	2.76%	3.68%	2.84%	2.41%	2.33%	4.87%	5.18%	2.14%	2.59%	3.03%	2.01%	2.34%	3.85%	2.59%	2.84%	0.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	88	5	8	7	6	7	9	2	5	2	11	5	4	9	0	0	4	4	0					
		0.41%	0.37%	0.45%	0.47%	0.47%	0.46%	0.52%	0.19%	0.31%	0.12%	0.81%	0.39%	0.42%	0.65%	0.00%	0.00%	0.54%	1.42%	0.00%					
20	3.Политическая партия «Демократическая партия России»	15	3	2	0	1	1	0	3	1	1	0	0	0	0	1	1	0	0	1					
		0.07%	0.22%	0.11%	0.00%	0.08%	0.07%	0.00%	0.28%	0.06%	0.06%	0.00%	0.00%	0.00%	0.00%	0.11%	0.12%	0.00%	0.00%	0.83%					
