Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    район Вешняки 																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №3667	УИК №3668									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74519	2021	2066	2106	2231	2047	1119	2275	2426	2380	2316	2028	1869	2228	2515	2230	2036	2181	2187	1997	197	2326	1485	2135	2354	2087	2137	1078	2081	2517	2417	2178	2363	2352	1583	2030	2078	710	153									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52750	1400	1400	1500	1500	1400	800	1500	1700	1600	1600	1400	1300	1500	1700	1500	1400	1500	1500	1400	150	1600	1000	1500	1600	1400	1400	800	1400	1700	1700	1500	1600	1600	1100	1400	1400	2000	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25826	648	622	679	684	646	328	842	777	869	867	724	641	771	784	751	681	751	681	655	136	828	497	809	767	635	805	432	710	857	992	841	869	843	655	668	569	359	153									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1463	34	27	26	32	34	19	31	37	34	20	29	21	24	44	30	36	24	160	25	0	25	25	33	28	8	18	6	38	20	30	23	42	35	38	60	22	325	0									
6	Число погашенных избирательных бюллетеней	25461	718	751	795	784	720	453	627	886	697	713	647	638	705	872	719	683	725	659	720	14	747	478	658	805	757	577	362	652	823	678	636	689	722	407	672	809	1316	147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1462	34	27	26	32	34	19	31	37	34	20	29	21	24	44	30	36	24	160	25	0	25	25	33	28	8	18	6	37	20	30	23	42	35	38	60	22	325	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25688	646	622	679	682	646	328	841	777	866	867	723	566	769	776	747	680	751	681	655	136	828	494	808	765	635	799	429	706	857	982	834	869	842	653	668	569	359	153									
9	Число недействительных избирательных бюллетеней	420	5	12	12	12	19	4	13	27	27	14	12	12	5	16	5	8	8	7	12	1	17	8	12	16	4	6	2	15	14	5	10	17	21	17	0	5	14	6									
10	Число действительных избирательных бюллетеней	26730	675	637	693	702	661	343	859	787	873	873	740	575	788	804	772	708	767	834	668	135	836	511	829	777	639	811	433	728	863	1007	847	894	856	674	728	586	670	147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	10	20	20	10	10	10	20	30	20	15	15	10	10	15	20	10	10	10	10	10	22	8	10	10	30	15	10	10	10	20	20	10	20	10	10	10	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	347	2	10	11	8	10	5	17	22	12	11	11	9	10	11	16	8	8	9	8	0	15	3	4	6	20	10	10	9	10	10	10	6	12	7	9	8	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	439	6	1	7	5	4	4	7	4	10	10	18	8	7	6	13	8	10	3	3	11	4	10	15	4	15	130	6	7	0	24	8	6	7	9	1	3	40	5									
14	Число погашенных неиспользованных открепительных удостоверений	163	8	10	9	2	0	5	3	8	8	4	4	1	0	4	4	2	2	1	2	10	7	5	6	4	10	5	0	1	0	10	10	4	8	3	1	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	3	2	4	3	1	3	1	0	4	5	0	1	3	1	1	2	1	0	1	0	0	1	1	1	3	0	0	5	3	4	1	2	5	2	4	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	821	26	28	27	23	15	11	39	29	28	39	29	10	19	19	31	23	21	29	19	2	22	30	28	25	15	22	26	24	23	31	17	24	26	15	12	5	5	4									
