Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
"Наименование Избирательной комиссии:    Красноярск, Свердловская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №154	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390					
1	"Число избирателей, внесенных в список избирателей"	100730	2008	1818	1708	2392	1804	1927	1905	1940	2670	1738	1764	1876	1816	1919	2691	2818	2676	3079	2789	2560	2719	2854	1800	2073	1714	1577	1552	2199	2305	2338	2030	2706	2521	2487	2415	2051	2634	1911	2245	2246	1878	1614	2419	1962	1310	1666	1606					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	98050	1950	1750	1700	2400	1700	1850	1900	1950	2500	1750	1700	1850	1800	1850	2650	2750	2650	3000	2750	2500	2700	2750	1650	2050	1500	1550	1400	2000	2250	2300	2050	2650	2500	2500	2400	2100	2550	1800	1950	2200	1900	1600	2400	1950	1300	1650	1450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43856	770	877	869	1133	651	741	811	915	1368	737	898	900	852	945	1258	1252	1155	1363	1239	1320	1225	1406	715	739	635	436	658	785	1105	1006	912	1273	1091	1112	1089	964	1259	808	946	1030	710	653	867	741	389	670	578					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1700	44	22	26	19	13	24	25	38	72	35	29	21	24	12	41	33	20	35	24	13	26	22	13	41	21	16	50	22	30	6	38	31	18	32	27	42	21	34	296	25	32	28	17	14	57	56	115					
6	Число погашенных избирательных бюллетеней	52489	1136	851	805	1248	1036	1085	1064	997	1060	978	773	929	924	893	1351	1465	1475	1602	1487	1164	1449	1322	921	1270	844	1097	692	1193	1115	1288	1100	1346	1391	1356	1284	1094	1270	958	708	1145	1158	919	1516	1195	854	924	757					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1700	44	22	26	19	13	24	25	38	72	35	29	21	24	12	41	33	20	35	24	13	26	22	13	41	21	16	50	22	30	6	38	31	18	32	27	42	21	34	296	25	32	28	17	14	57	56	115					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43776	770	877	869	1133	651	741	811	915	1368	737	898	900	850	943	1258	1251	1155	1363	1239	1317	1225	1406	715	739	635	436	658	763	1105	1003	905	1272	1091	1112	1089	964	1259	808	946	1005	710	653	867	727	389	670	578					
9	Число недействительных избирательных бюллетеней	853	16	14	15	14	10	11	9	22	22	7	20	25	13	23	33	34	15	27	31	23	16	22	18	17	9	11	14	4	16	20	24	22	28	17	25	30	13	12	30	19	14	20	9	14	9	16	20					
10	Число действительных избирательных бюллетеней	44623	798	885	880	1138	654	754	827	931	1418	765	907	896	861	932	1266	1250	1160	1371	1232	1307	1235	1406	710	763	647	441	694	781	1119	989	919	1281	1081	1127	1091	976	1267	830	1212	1011	728	661	875	727	437	710	673					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1930	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	50	40	40	40	40	40	20	40	160	40	50	50	50	40	40	40	40	40	40	20	40	40	40	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1314	32	18	18	37	33	21	28	27	30	24	17	23	20	15	34	19	29	39	30	28	34	40	12	40	160	31	32	16	18	31	13	30	26	22	35	13	20	21	33	22	17	21	27	16	13	30	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	802	10	14	21	8	12	25	20	17	19	14	13	16	27	17	12	7	19	19	14	23	18	16	21	19	4	11	6	10	25	13	27	33	25	23	9	9	25	52	28	25	8	11	14	9	11	12	11					
14	Число погашенных неиспользованных открепительных удостоверений	616	8	22	22	3	7	19	12	13	10	16	23	17	20	25	6	31	21	1	10	12	6	0	8	0	0	9	18	34	32	9	27	10	14	18	5	7	20	19	7	8	13	9	3	14	17	0	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	2	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9277	124	212	177	271	161	153	171	224	310	157	190	184	184	223	293	240	272	280	246	313	281	245	137	137	112	69	75	134	210	230	214	316	239	256	230	194	271	161	247	211	156	143	161	149	74	107	133					
		20.40%	15.23%	23.58%	19.78%	23.52%	24.25%	20.00%	20.45%	23.50%	21.53%	20.34%	20.50%	19.98%	21.05%	23.35%	22.56%	18.69%	23.15%	20.03%	19.48%	23.53%	22.46%	17.16%	18.82%	17.56%	17.07%	15.27%	10.59%	17.07%	18.50%	22.79%	22.69%	24.25%	21.55%	22.38%	20.61%	19.28%	21.17%	19.12%	19.89%	20.49%	21.02%	20.99%	18.21%	20.11%	16.59%	14.74%	19.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7336	169	109	133	167	96	110	123	157	177	114	138	126	132	130	218	209	193	206	210	205	180	242	134	122	94	76	146	139	190	223	147	196	178	207	228	174	191	133	243	178	134	104	135	109	78	127	106					
		16.13%	20.76%	12.12%	14.86%	14.50%	14.46%	14.38%	14.71%	16.47%	12.29%	14.77%	14.89%	13.68%	15.10%	13.61%	16.78%	16.28%	16.43%	14.74%	16.63%	15.41%	14.39%	16.95%	18.41%	15.64%	14.33%	16.81%	20.62%	17.71%	16.74%	22.10%	15.59%	15.04%	16.05%	18.09%	20.43%	17.30%	14.92%	15.80%	19.57%	17.28%	18.06%	15.27%	15.27%	14.71%	17.49%	17.49%	15.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	469	7	10	13	10	9	9	12	6	19	10	11	11	14	8	13	8	15	20	16	6	14	17	12	9	3	2	5	5	18	4	11	12	10	8	7	8	12	9	10	11	4	12	10	8	6	6	9					
		1.03%	0.86%	1.11%	1.45%	0.87%	1.36%	1.18%	1.44%	0.63%	1.32%	1.30%	1.19%	1.19%	1.60%	0.84%	1.00%	0.62%	1.28%	1.43%	1.27%	0.45%	1.12%	1.19%	1.65%	1.15%	0.46%	0.44%	0.71%	0.64%	1.59%	0.40%	1.17%	0.92%	0.90%	0.70%	0.63%	0.80%	0.94%	1.07%	0.81%	1.07%	0.54%	1.76%	1.13%	1.08%	1.35%	0.83%	1.30%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11493	193	267	247	320	172	198	247	224	320	208	252	247	247	267	331	329	293	393	351	335	327	363	156	174	142	137	154	191	305	207	235	349	284	251	261	224	302	209	294	267	184	181	230	218	106	131	170					
		25.27%	23.71%	29.70%	27.60%	27.78%	25.90%	25.88%	29.55%	23.50%	22.22%	26.94%	27.18%	26.82%	28.26%	27.96%	25.48%	25.62%	24.94%	28.11%	27.79%	25.19%	26.14%	25.42%	21.43%	22.31%	21.65%	30.31%	21.75%	24.33%	26.87%	20.52%	24.92%	26.78%	25.61%	21.94%	23.39%	22.27%	23.59%	24.82%	23.67%	25.92%	24.80%	26.58%	26.02%	29.42%	23.77%	18.04%	24.53%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2202	38	56	46	67	30	54	49	43	87	51	41	40	45	65	72	61	57	91	79	80	81	73	32	21	18	14	18	44	61	46	45	52	42	61	59	32	46	38	36	54	28	36	24	33	21	13	22					
		4.84%	4.67%	6.23%	5.14%	5.82%	4.52%	7.06%	5.86%	4.51%	6.04%	6.61%	4.42%	4.34%	5.15%	6.81%	5.54%	4.75%	4.85%	6.51%	6.25%	6.02%	6.47%	5.11%	4.40%	2.69%	2.74%	3.10%	2.54%	5.61%	5.37%	4.56%	4.77%	3.99%	3.79%	5.33%	5.29%	3.18%	3.59%	4.51%	2.90%	5.24%	3.77%	5.29%	2.71%	4.45%	4.71%	1.79%	3.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13377	262	226	251	290	181	223	214	263	489	213	266	283	232	232	328	388	313	368	325	357	327	448	233	292	270	137	290	260	329	265	255	347	310	330	296	324	435	271	369	282	216	175	307	205	147	322	231					
		29.42%	32.19%	25.14%	28.04%	25.17%	27.26%	29.15%	25.60%	27.60%	33.96%	27.59%	28.69%	30.73%	26.54%	24.29%	25.25%	30.22%	26.64%	26.32%	25.73%	26.84%	26.14%	31.37%	32.01%	37.44%	41.16%	30.31%	40.96%	33.12%	28.99%	26.26%	27.04%	26.63%	27.95%	28.85%	26.52%	32.21%	33.98%	32.19%	29.71%	27.38%	29.11%	25.70%	34.73%	27.67%	32.96%	44.35%	33.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	469	5	5	13	13	5	7	11	14	16	12	9	5	7	7	11	15	17	13	5	11	25	18	6	8	8	6	6	8	6	14	12	9	18	14	10	20	10	9	13	8	6	10	8	5	5	4	2					
		1.03%	0.61%	0.56%	1.45%	1.13%	0.75%	0.92%	1.32%	1.47%	1.11%	1.55%	0.97%	0.54%	0.80%	0.73%	0.85%	1.17%	1.45%	0.93%	0.40%	0.83%	1.99%	1.26%	0.82%	1.03%	1.22%	1.33%	0.85%	1.02%	0.53%	1.39%	1.27%	0.69%	1.62%	1.22%	0.90%	1.99%	0.78%	1.07%	1.05%	0.78%	0.81%	1.47%	0.90%	0.67%	1.12%	0.55%	0.29%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
