Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Октябрьская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №573	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №716	УИК №724	УИК №799	УИК №800	УИК №801									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103765	1997	2485	1380	2638	1756	2315	1701	1374	1187	2419	1840	2779	2801	2751	2457	2445	2665	2587	2767	2553	2029	2399	1387	2332	2505	2637	1773	2379	2435	2777	2648	2293	2614	2701	1222	2107	1844	658	2138	2433	816	771	313	1314	1858	1465	1666	402	624	1029	1074	307	1658	2121	21	44	74									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	99400	1900	2300	1300	2600	1700	2300	1600	1300	1100	2400	1800	2700	2700	2600	2300	2300	2600	2400	2600	2500	2000	2300	1300	2200	2400	2500	1700	2300	2300	2700	2500	2200	2400	2600	1200	2000	1700	650	2000	2400	800	800	350	1300	1800	1400	1600	400	600	1000	1000	300	1500	2000	50	50	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	71456	789	1308	587	1636	1430	2044	669	678	440	1558	1482	2334	1370	1563	1851	1103	1931	1756	2240	1836	1359	1296	1054	1558	2049	1924	1390	1897	2007	1836	2119	1882	1025	985	777	1509	1245	504	1889	2110	716	581	218	1055	1470	1219	1388	330	468	655	902	237	1286	1772	21	44	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4545	28	64	58	62	41	40	20	10	29	16	93	142	124	59	132	92	144	191	215	56	119	145	59	95	101	216	44	34	164	25	99	116	100	49	34	133	84	59	14	7	38	83	64	62	184	121	178	40	69	106	87	62	13	125	0	0	0									
6	Число погашенных избирательных бюллетеней	23399	1083	928	655	902	229	216	911	612	631	826	225	224	1206	978	317	1105	525	453	145	608	522	859	187	547	250	360	266	369	129	839	282	202	1275	1566	389	358	371	87	97	283	46	136	68	183	146	60	34	30	63	239	11	1	201	103	29	6	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4545	28	64	58	62	41	40	20	10	29	16	93	142	124	59	132	92	144	191	215	56	119	145	59	95	101	216	44	34	164	25	99	116	100	49	34	133	84	59	14	7	38	83	64	62	184	121	178	40	69	106	87	62	13	125	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	71362	730	1306	587	1635	1430	2044	649	678	440	1558	1482	2334	1368	1563	1848	1103	1931	1756	2240	1836	1359	1296	1054	1558	2049	1924	1390	1897	2007	1836	2119	1882	1025	979	777	1509	1245	504	1889	2110	716	581	218	1055	1470	1219	1388	330	468	655	902	237	1286	1772	21	44	73									
9	Число недействительных избирательных бюллетеней	442	14	25	26	0	11	21	22	13	7	8	0	11	3	8	22	0	9	2	0	0	0	3	5	0	4	0	28	3	0	25	27	23	6	37	0	0	16	9	0	5	2	3	0	8	2	0	0	6	0	19	8	0	1	0	0	0	0									
10	Число действительных избирательных бюллетеней	75465	744	1345	619	1697	1460	2063	647	675	462	1566	1575	2465	1489	1614	1958	1195	2066	1945	2455	1892	1478	1438	1108	1653	2146	2140	1406	1928	2171	1836	2191	1975	1119	991	811	1642	1313	554	1903	2112	752	661	282	1109	1652	1340	1566	364	537	742	981	299	1298	1897	21	44	73									
