Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    территориальная избирательная комиссия Александровского района																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
1	"Число избирателей, внесенных в списки избирателей"	93938	2382	934	957	901	1390	1128	2524	2418	2372	2499	2463	2347	2485	2387	2608	1459	1191	2565	2757	2557	2357	2528	2682	2659	2738	2305	2446	270	612	572	1380	223	582	240	204	411	382	218	662	602	269	407	487	420	425	795	552	387	223	705	2481	2515	2352	2386	2487	929	1601	916	1672	2499	2429	778	1505	93	228					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88781	2260	864	895	870	1281	1055	2375	2315	2306	2380	2333	2197	2378	2271	2481	1377	1125	2438	2604	2423	2250	2411	2561	2551	2611	2149	2318	252	586	541	1261	207	547	212	183	386	357	200	660	584	257	375	447	401	397	762	530	346	184	656	2314	2320	2223	2240	2287	864	1500	850	1554	2361	2290	725	1443	100	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43956	1278	462	467	495	700	607	1218	1330	1047	1321	1439	1301	1303	1266	1374	703	570	1061	1342	1372	1282	1341	1472	1459	1320	1100	1114	107	185	218	497	135	284	126	53	208	146	109	339	273	178	167	205	164	61	406	249	50	92	287	933	807	934	878	911	366	688	365	647	1163	1079	278	531	93	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3224	15	34	36	21	76	31	54	16	41	32	32	26	27	38	41	13	15	43	38	48	27	33	33	20	13	21	23	30	140	57	187	3	76	12	53	29	111	16	125	25	14	14	46	50	160	26	61	132	40	113	44	80	38	26	27	39	50	88	82	45	40	29	42	0	227					
6	Число погашенных избирательных бюллетеней	41601	967	368	392	354	505	417	1103	969	1218	1027	862	870	1048	967	1066	661	540	1334	1224	1003	941	1037	1056	1072	1278	1028	1181	115	261	266	577	69	187	74	77	149	100	75	196	286	65	194	196	187	176	330	220	164	52	256	1337	1433	1251	1336	1349	459	762	397	825	1153	1171	418	870	7	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3224	15	34	36	21	76	31	54	16	41	32	32	26	27	38	41	13	15	43	38	48	27	33	33	20	13	21	23	30	140	57	187	3	76	12	53	29	111	16	125	25	14	14	46	50	160	26	61	132	40	113	44	80	38	26	27	39	50	88	82	45	40	29	42	0	227					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43873	1278	462	467	495	700	606	1218	1330	1044	1320	1439	1301	1303	1263	1321	699	570	1061	1342	1370	1279	1341	1472	1458	1320	1100	1114	107	185	218	497	135	284	126	53	208	146	109	339	273	178	167	205	164	61	406	249	50	92	287	933	800	934	877	911	365	685	365	647	1163	1079	278	531	93	0					
9	Число недействительных избирательных бюллетеней	789	15	6	15	12	19	12	22	25	18	23	22	20	26	26	13	14	8	20	24	28	31	20	26	18	25	20	7	3	2	3	17	7	9	1	2	5	1	2	4	3	5	3	0	4	2	11	8	3	7	4	15	16	7	11	11	4	15	8	6	25	23	1	21	3	2					
10	Число действительных избирательных бюллетеней	46308	1278	490	488	504	757	625	1250	1321	1067	1329	1449	1307	1304	1275	1349	698	577	1084	1356	1390	1275	1354	1479	1460	1308	1101	1130	134	323	272	667	131	351	137	104	232	256	123	460	295	187	178	251	210	219	421	302	179	125	396	962	864	965	892	927	400	720	445	723	1183	1096	306	552	90	225					
