Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Кирсановская городская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в списки"	14169	1122	1132	761	1109	864	1209	967	854	1003	887	1118	1136	1025	982					
2	"Число бюллетеней, полученных участковыми комиссиями"	12300	900	1000	700	1000	750	1000	900	750	900	800	900	900	900	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7127	538	538	419	544	458	622	518	345	520	481	655	555	427	507					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	755	54	37	46	73	50	109	39	84	73	8	21	36	81	44					
6	Число погашенных бюллетеней	4418	308	425	235	383	242	269	343	321	307	311	224	309	392	349					
7	Число бюллетеней в переносных ящиках для голосования	755	54	37	46	73	50	109	39	84	73	8	21	36	81	44					
8	Число бюллетеней в стационарных ящиках для голосования	7123	538	538	419	544	458	622	517	345	520	481	655	552	427	507					
9	Число недействительных бюллетеней	232	14	24	16	16	20	23	6	28	11	8	8	20	19	19					
10	Число действительных бюллетеней	7646	578	551	449	601	488	708	550	401	582	481	668	568	489	532					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	11	11	11	11	11	15	7	11	11	11	11	11	10	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	79	4	8	4	3	5	10	6	9	7	6	4	3	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	1	4	7	0	3	0	1	3	3	3	1	4	1	4					
14	Число погашенных открепительных удостоверений	71	7	3	7	8	6	5	1	2	4	5	7	8	5	3					
15	Число открепительных удостоверений выданных ТИК	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	168	8	12	14	18	4	17	6	9	23	8	20	5	10	14					
		2.13%	1.35%	2.08%	3.01%	2.91%	0.78%	2.32%	1.07%	2.09%	3.87%	1.63%	2.95%	0.85%	1.96%	2.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	165	11	10	4	16	15	15	20	7	11	13	9	10	12	12					
		2.09%	1.85%	1.73%	0.86%	2.59%	2.95%	2.05%	3.59%	1.63%	1.85%	2.65%	1.33%	1.70%	2.36%	2.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	304	19	30	18	25	14	18	20	18	32	13	20	30	21	26					
		3.85%	3.20%	5.21%	3.87%	4.05%	2.75%	2.46%	3.59%	4.19%	5.39%	2.65%	2.95%	5.10%	4.13%	4.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	205	12	19	13	24	13	6	11	9	13	17	20	17	14	17					
		2.60%	2.02%	3.30%	2.79%	3.88%	2.55%	0.82%	1.97%	2.09%	2.19%	3.47%	2.95%	2.89%	2.75%	3.08%					
22	"5. ""За Русь Святую"""	57	5	4	2	6	1	2	3	8	8	0	1	8	2	7					
		0.72%	0.84%	0.69%	0.43%	0.97%	0.19%	0.27%	0.53%	1.86%	1.34%	0.0%	0.14%	1.36%	0.39%	1.27%					
