Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Бисертская поселковая													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564					
1	"Число избирателей, внесенных в список избирателей"	9699	948	2519	1519	1515	2924	274					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7750	800	2000	1100	1100	2500	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	37	0	0	30	0	7	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3607	243	973	641	496	1096	158					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	278	59	48	42	52	58	19					
6	Число погашенных избирательных бюллетеней	3828	498	979	387	552	1339	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	315	59	48	72	52	65	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3605	243	973	641	494	1096	158					
9	Число недействительных избирательных бюллетеней	96	13	22	13	13	27	8					
10	Число действительных избирательных бюллетеней	3824	289	999	700	533	1134	169					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	97	5	20	18	11	38	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	83	3	18	18	8	34	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	4	8	3	14	11	9					
14	Число погашенных неиспользованных открепительных удостоверений	14	2	2	0	3	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	653	48	184	113	87	208	13					
		16.66%	15.89%	18.02%	15.85%	15.93%	17.92%	7.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	652	52	174	108	98	204	16					
		16.63%	17.22%	17.04%	15.15%	17.95%	17.57%	9.04%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	0	9	1	7	11	1					
		0.74%	0.00%	0.88%	0.14%	1.28%	0.95%	0.56%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	764	42	213	165	95	228	21					
		19.49%	13.91%	20.86%	23.14%	17.40%	19.64%	11.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	2	10	14	8	17	3					
		1.38%	0.66%	0.98%	1.96%	1.47%	1.46%	1.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1585	138	389	282	226	438	112					
		40.43%	45.70%	38.10%	39.55%	41.39%	37.73%	63.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	87	7	20	17	12	28	3					
		2.22%	2.32%	1.96%	2.38%	2.20%	2.41%	1.69%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
