Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Бисертская поселковая														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565					
1	"Число избирателей, внесенных в списки избирателей"	9488	921	2488	1430	1407	2877	278	87					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9170	900	2400	1400	1350	2800	250	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4491	346	1211	743	598	1340	185	68					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	296	57	50	36	48	76	29	0					
6	Число погашенных избирательных бюллетеней	4383	497	1139	621	704	1384	36	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	296	57	50	36	48	76	29	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4490	346	1211	742	598	1340	185	68					
9	Число недействительных избирательных бюллетеней	36	1	12	3	4	13	2	1					
10	Число действительных избирательных бюллетеней	4750	402	1249	775	642	1403	212	67					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	98	12	25	18	13	28	2	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	95	10	25	18	12	28	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	35	3	4	7	4	5	7	5					
14	Число погашенных неиспользованных открепительных удостоверений	3	2	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	88	11	14	13	19	27	4	0					
		1.84%	2.73%	1.11%	1.67%	2.94%	1.91%	1.87%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	113	5	33	30	12	30	2	1					
		2.36%	1.24%	2.62%	3.86%	1.86%	2.12%	0.93%	1.47%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	1	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	421	23	120	98	53	117	8	2					
		8.80%	5.71%	9.52%	12.60%	8.20%	8.26%	3.74%	2.94%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	17	1	11	2	0	3	0	0					
		0.36%	0.25%	0.87%	0.26%	0.00%	0.21%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	2	1	1	2	3	0	0					
		0.19%	0.50%	0.08%	0.13%	0.31%	0.21%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	311	26	87	39	39	104	12	4					
		6.50%	6.45%	6.90%	5.01%	6.04%	7.34%	5.61%	5.88%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	209	12	47	40	33	68	7	2					
		4.37%	2.98%	3.73%	5.14%	5.11%	4.80%	3.27%	2.94%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	21	0	6	6	0	7	1	1					
		0.44%	0.00%	0.48%	0.77%	0.00%	0.49%	0.47%	1.47%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3530	320	923	542	477	1037	174	57					
		73.76%	79.40%	73.20%	69.67%	73.84%	73.23%	81.31%	83.82%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	30	2	7	4	7	6	4	0					
		0.63%	0.50%	0.56%	0.51%	1.08%	0.42%	1.87%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
