Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
"Наименование Избирательной комиссии:    Томск, Кировская"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91					
1	"Число избирателей, внесенных в списки избирателей"	86962	1234	939	1503	1673	2688	2061	2434	1756	1566	1147	1922	2949	1285	1921	1975	1394	1743	1667	1944	2557	651	1559	2214	406	311	1591	1272	1540	297	2012	2181	2554	2893	338	688	2107	1474	2379	2115	1465	1441	1035	2117	2226	2144	1190	1586	1703	1043	1182	2513	1117	1260					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	66700	900	900	1200	1300	2350	1500	1800	1200	1200	900	1500	2200	1000	1300	1400	800	1400	1400	1600	1700	500	1200	1700	300	300	1200	1000	1200	200	1600	1700	1900	2100	350	500	1500	1200	1900	1600	1200	1200	800	1700	1700	1600	900	1300	1300	700	900	2000	900	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46117	630	844	721	1025	2327	1012	1232	810	719	448	926	1269	657	1103	1340	714	951	1179	1386	1208	257	668	1230	177	170	735	387	894	174	1092	893	1002	1462	304	301	1200	738	1293	1057	757	764	520	1195	1096	1134	679	831	793	539	625	1396	545	708					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1889	110	0	17	16	1	51	24	148	21	24	18	186	7	7	13	69	14	12	3	3	19	19	20	27	4	141	232	50	15	15	43	31	28	0	9	26	37	58	26	23	23	9	14	8	34	22	35	26	13	27	72	19	20					
6	Число погашенных избирательных бюллетеней	18694	160	56	462	259	22	437	544	242	460	428	556	745	336	190	47	17	435	209	211	489	224	513	450	96	126	324	381	256	11	493	764	867	610	46	190	274	425	549	517	420	413	271	491	596	432	199	434	481	148	248	532	336	272					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1888	110	0	17	16	1	51	24	148	21	24	18	186	7	7	13	69	14	12	3	3	19	19	19	27	4	141	232	50	15	15	43	31	28	0	9	26	37	58	26	23	23	9	14	8	34	22	35	26	13	27	72	19	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46071	629	844	718	1025	2320	1009	1227	810	719	448	926	1269	656	1103	1340	714	949	1179	1385	1206	257	668	1227	177	170	735	387	894	174	1091	892	1002	1462	304	301	1198	738	1289	1057	755	764	519	1195	1094	1132	679	831	793	539	625	1393	545	708					
9	Число недействительных избирательных бюллетеней	773	6	25	10	27	57	19	23	14	7	7	20	23	8	18	23	13	19	37	41	21	3	14	21	1	1	8	1	10	1	19	9	13	17	1	7	17	16	14	9	14	10	5	18	19	15	8	6	14	7	10	32	6	9					
10	Число действительных избирательных бюллетеней	47186	733	819	725	1014	2264	1041	1228	944	733	465	924	1432	655	1092	1330	770	944	1154	1347	1188	273	673	1225	203	173	868	618	934	188	1087	926	1020	1473	303	303	1207	759	1333	1074	764	777	523	1191	1083	1151	693	860	805	545	642	1433	558	719					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1865	20	50	30	35	190	30	40	30	30	20	30	40	30	30	40	30	40	70	60	30	20	30	40	20	20	30	30	30	20	40	40	40	40	0	20	40	20	40	40	30	30	30	40	40	40	30	30	30	20	30	40	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	813	6	41	9	31	175	17	10	8	12	3	21	15	3	21	34	5	7	51	43	11	4	14	15	0	1	5	4	7	0	10	11	8	6	0	4	12	4	18	7	14	10	4	7	15	22	6	8	11	6	8	36	8	5					
