Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
"Наименование Избирательной комиссии:    Томск, Кировская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95					
1	"Число избирателей, внесенных в список избирателей"	86733	833	1384	1744	1903	2072	2336	1437	1626	1221	1752	2064	1901	1939	1446	1533	1636	1772	1836	2096	669	1444	2050	458	325	1539	1364	1731	322	2039	2256	1905	1333	299	1203	2173	1446	2408	2184	1811	1644	732	1355	1986	1565	1555	1331	1496	1091	1146	2421	1114	1252	1915	1865	1543	1232					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65600	910	1050	1300	1700	1500	1700	1150	1200	900	1300	1550	1300	1250	1100	1150	1200	1350	1500	1550	500	1050	1500	500	250	1100	1000	1200	370	1450	1600	1400	1000	270	900	1600	1100	1750	1600	1350	1250	650	1000	1500	1200	1150	1000	1100	800	850	1800	850	950	1450	1900	1150	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44518	813	701	1047	1578	990	1160	752	760	470	831	941	785	1101	909	619	852	1199	1187	1160	232	646	1025	163	162	641	458	751	119	1142	982	778	426	230	539	1175	651	1305	1016	951	867	364	742	960	830	889	724	700	571	628	1157	495	669	974	1604	520	577					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1611	1	12	12	0	25	26	155	14	15	16	41	156	10	10	68	28	3	4	9	7	12	18	25	0	72	100	24	17	20	25	10	6	0	11	26	31	37	16	24	22	6	12	6	21	27	25	23	8	33	70	36	28	6	1	18	183					
6	Число погашенных избирательных бюллетеней	19470	96	337	241	122	485	514	243	426	415	453	568	359	139	181	463	320	148	309	381	261	392	457	312	88	387	442	425	234	288	593	612	568	40	350	399	418	408	568	375	361	280	246	534	349	233	251	377	221	189	573	319	253	470	295	612	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1610	1	12	12	0	25	26	155	14	15	16	41	156	10	10	68	28	3	4	9	7	12	18	25	0	72	100	24	17	20	25	10	6	0	11	26	31	37	16	24	22	6	12	6	21	27	25	23	8	33	69	36	28	6	1	18	183					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44474	813	701	1047	1578	990	1160	752	760	468	831	941	783	1100	909	619	851	1199	1187	1160	232	646	1025	163	162	641	458	751	119	1121	982	774	426	229	539	1175	651	1302	1016	949	866	364	741	960	830	888	724	700	571	628	1154	495	669	974	1603	520	577					
9	Число недействительных избирательных бюллетеней	840	8	16	15	16	22	18	10	14	13	19	23	15	17	15	9	22	23	13	9	5	23	24	2	9	13	7	8	3	21	21	15	12	10	11	31	16	28	18	16	18	7	18	25	11	10	17	10	11	15	26	13	10	16	15	9	19					
10	Число действительных избирательных бюллетеней	45244	806	697	1044	1562	993	1168	897	760	470	828	959	924	1093	904	678	857	1179	1178	1160	234	635	1019	186	153	700	551	767	133	1120	986	769	420	219	539	1170	666	1311	1014	957	870	363	735	941	840	905	732	713	568	646	1197	518	687	964	1589	529	741					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1795	30	30	130	260	25	50	45	16	15	25	20	25	35	15	25	25	55	55	30	10	25	29	10	10	15	15	25	10	25	30	16	15	0	15	30	35	30	20	15	25	10	15	30	35	15	15	15	20	25	35	20	15	20	170	14	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1382	28	19	108	222	21	28	24	15	6	21	14	15	29	14	22	16	50	51	21	2	16	26	8	6	7	10	17	3	18	23	16	9	0	6	22	16	27	18	12	21	6	13	25	30	12	13	12	12	16	23	15	5	17	146	11	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1241	9	13	36	95	28	4	25	12	15	6	3	16	11	10	5	4	11	15	20	7	12	16	9	6	6	5	20	7	157	109	12	16	24	6	15	4	13	25	35	14	15	13	7	6	33	24	25	21	31	24	3	7	26	118	23	9					
