Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Сямженская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в список избирателей"	7874	396	237	281	182	136	166	207	122	696	127	567	322	119	145	220	846	1461	1080	127	226	211					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8226	413	264	308	179	133	184	227	134	723	142	626	358	133	152	245	854	1478	1087	130	236	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3934	187	83	129	81	53	66	105	55	352	86	281	142	75	90	110	417	789	607	50	96	80					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	849	48	67	55	15	10	53	43	32	63	16	24	64	21	15	25	34	87	36	14	51	76					
6	Число погашенных избирательных бюллетеней	3443	178	114	124	83	70	65	79	47	308	40	321	152	37	47	110	403	602	444	66	89	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	849	48	67	55	15	10	53	43	32	63	16	24	64	21	15	25	34	87	36	14	51	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3934	187	83	129	81	53	66	105	55	352	86	281	142	75	90	110	417	789	607	50	96	80					
9	Число недействительных избирательных бюллетеней	92	0	3	5	1	2	1	3	3	7	1	5	4	0	1	4	11	17	17	1	4	2					
10	Число действительных избирательных бюллетеней	4691	235	147	179	95	61	118	145	84	408	101	300	202	96	104	131	440	859	626	63	143	154					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	556	20	20	21	20	20	20	20	20	30	20	50	30	20	20	20	50	50	49	16	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	383	20	20	21	1	0	16	16	10	25	17	39	28	18	13	20	15	34	20	16	14	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	7	4	3	2	3	4	3	2	12	2	6	5	6	5	1	10	24	21	6	6	4					
14	Число погашенных неиспользованных открепительных удостоверений	173	0	0	0	19	20	4	4	10	5	3	11	2	2	7	0	35	16	29	0	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	2	1	0	0	0	0	0	2	1	17	7	0	1	2	3	4	3	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1282	42	27	43	24	17	14	27	16	129	22	48	36	10	26	20	157	304	224	19	35	42					
		26.80%	17.87%	18.00%	23.37%	25.00%	26.98%	11.76%	18.24%	18.39%	31.08%	21.57%	15.74%	17.48%	10.42%	24.76%	14.81%	34.81%	34.70%	34.84%	29.69%	23.81%	26.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	707	33	14	27	15	7	18	26	7	66	24	55	42	11	22	21	69	124	61	17	21	27					
		14.78%	14.04%	9.33%	14.67%	15.63%	11.11%	15.13%	17.57%	8.05%	15.90%	23.53%	18.03%	20.39%	11.46%	20.95%	15.56%	15.30%	14.16%	9.49%	26.56%	14.29%	17.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	1	2	2	0	0	2	4	1	2	2	1	2	0	2	1	5	9	10	0	3	1					
		1.05%	0.43%	1.33%	1.09%	0.00%	0.00%	1.68%	2.70%	1.15%	0.48%	1.96%	0.33%	0.97%	0.00%	1.90%	0.74%	1.11%	1.03%	1.56%	0.00%	2.04%	0.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	630	15	6	28	5	7	12	25	6	42	10	50	40	11	15	28	57	140	95	14	12	12					
		13.17%	6.38%	4.00%	15.22%	5.21%	11.11%	10.08%	16.89%	6.90%	10.12%	9.80%	16.39%	19.42%	11.46%	14.29%	20.74%	12.64%	15.98%	14.77%	21.88%	8.16%	7.69%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	2	0	0	3	1	1	0	1	5	0	6	0	1	2	2	3	17	7	0	1	0					
		1.09%	0.85%	0.00%	0.00%	3.13%	1.59%	0.84%	0.00%	1.15%	1.20%	0.00%	1.97%	0.00%	1.04%	1.90%	1.48%	0.67%	1.94%	1.09%	0.00%	0.68%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1946	139	97	79	48	29	70	62	51	161	43	140	82	63	37	59	149	257	225	13	71	71					
		40.69%	59.15%	64.67%	42.93%	50.00%	46.03%	58.82%	41.89%	58.62%	38.80%	42.16%	45.90%	39.81%	65.63%	35.24%	43.70%	33.04%	29.34%	34.99%	20.31%	48.30%	45.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	24	3	1	0	0	0	1	1	2	3	0	0	0	0	0	0	0	8	4	0	0	1					
		0.50%	1.28%	0.67%	0.00%	0.00%	0.00%	0.84%	0.68%	2.30%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.62%	0.00%	0.00%	0.64%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
