Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Шиловская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
1	"Число избирателей, внесенных в списки"	36499	537	58	314	315	299	130	306	157	620	322	835	321	74	694	238	466	101	293	522	424	114	66	940	173	386	572	706	211	121	106	302	591	218	175	478	126	425	638	325	207	134	595	168	433	324	105	152	2326	2188	2096	2303	1795	1356	1031	1325	505	1921	598	2548	690					
2	"Число бюллетеней, полученных участковыми комиссиями"	36309	538	62	318	298	302	135	307	156	629	320	834	325	75	697	241	477	148	302	534	430	113	72	927	171	386	568	707	209	124	108	302	607	219	173	479	130	430	641	330	214	144	612	182	434	336	97	151	2330	2214	2106	2249	1787	1297	1000	1265	490	1850	565	2502	660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19249	304	23	165	195	121	21	132	105	337	144	481	167	64	352	175	284	68	293	249	228	59	43	519	97	191	335	332	119	49	82	133	316	118	90	404	88	256	365	173	119	73	329	139	311	236	46	50	1242	1114	1069	1234	885	649	445	539	185	975	263	1268	401					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2191	69	30	25	23	59	62	87	5	31	28	54	25	0	56	18	30	33	0	99	83	25	17	52	44	82	44	30	22	21	0	92	61	77	47	25	24	24	11	55	27	18	18	3	43	24	37	58	42	36	23	34	32	56	30	38	12	17	16	11	46					
6	Число погашенных бюллетеней	14869	165	9	128	80	122	52	88	46	261	148	299	133	11	289	48	163	47	9	186	119	29	12	356	30	113	189	345	68	54	26	77	230	24	36	50	18	150	265	102	68	53	265	40	80	76	14	43	1046	1064	1014	981	870	592	525	688	293	858	286	1223	213					
7	Число бюллетеней в переносных ящиках для голосования	2191	69	30	25	23	59	62	87	5	31	28	54	25	0	56	18	30	33	0	99	83	25	17	52	44	82	44	30	22	21	0	92	61	77	47	25	24	24	11	55	27	18	18	3	43	24	37	58	42	36	23	34	32	56	30	38	12	17	16	11	46					
8	Число бюллетеней в стационарных ящиках для голосования	19248	304	23	165	195	121	21	132	105	337	144	481	167	64	352	175	284	68	293	249	228	59	43	519	97	191	335	332	119	49	82	133	316	118	90	404	88	256	365	173	119	73	329	139	311	236	46	50	1242	1114	1069	1234	885	649	444	539	185	975	263	1268	401					
9	Число недействительных бюллетеней	267	4	0	6	3	2	0	1	0	0	4	17	5	0	1	1	1	1	0	4	0	0	0	3	0	1	2	3	1	2	0	2	15	2	2	44	2	4	1	5	4	0	1	0	5	3	3	0	7	32	8	5	9	4	5	3	5	14	4	8	8					
10	Число действительных бюллетеней	21172	369	53	184	215	178	83	218	110	368	168	518	187	64	407	192	313	100	293	344	311	84	60	568	141	272	377	359	140	68	82	223	362	193	135	385	110	276	375	223	142	91	346	142	349	257	80	108	1277	1118	1084	1263	908	701	469	574	192	978	275	1271	439					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	588	10	5	10	10	10	5	10	5	20	10	15	5	5	15	10	4	5	5	10	9	5	5	15	5	5	15	10	5	5	5	4	9	10	5	10	5	10	10	10	5	5	10	5	10	5	10	5	20	19	20	19	20	20	10	10	10	18	14	17	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	161	3	0	0	1	1	0	0	1	1	1	2	0	0	0	1	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	1	4	1	0	3	0	0	2	2	0	0	1	0	1	4	0	0	18	14	19	11	10	4	7	8	5	4	2	12	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	155	0	1	2	2	2	1	0	1	2	3	6	1	1	2	1	1	2	0	10	3	0	0	4	1	4	13	3	4	2	0	4	1	1	2	1	2	2	1	1	2	1	2	0	3	1	1	2	1	4	3	6	11	5	2	6	0	10	1	4	3					
14	Число погашенных открепительных удостоверений	427	7	5	10	9	9	5	10	4	19	9	13	5	5	15	9	3	5	5	10	6	5	5	13	5	5	15	9	5	5	5	3	5	9	5	7	5	10	8	8	5	5	9	5	9	1	10	5	2	5	1	8	10	16	3	2	5	14	12	5	0					
15	Число открепительных удостоверений выданных ТИК	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	3	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	240	3	1	5	3	1	0	1	1	4	6	7	0	0	7	2	10	0	0	1	3	0	0	8	5	1	8	3	2	0	0	1	7	5	2	7	2	5	1	2	0	0	1	0	1	1	0	1	12	14	6	9	9	2	9	3	8	25	3	14	8					
		1.11%	0.80%	1.88%	2.63%	1.37%	0.55%	0.0%	0.45%	0.90%	1.08%	3.48%	1.30%	0.0%	0.0%	1.71%	1.03%	3.18%	0.0%	0.0%	0.28%	0.96%	0.0%	0.0%	1.40%	3.54%	0.36%	2.11%	0.82%	1.41%	0.0%	0.0%	0.44%	1.85%	2.56%	1.45%	1.63%	1.78%	1.78%	0.26%	0.87%	0.0%	0.0%	0.28%	0.0%	0.28%	0.38%	0.0%	0.92%	0.93%	1.21%	0.54%	0.70%	0.98%	0.28%	1.89%	0.51%	4.06%	2.52%	1.07%	1.09%	1.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	266	0	0	1	2	2	2	0	0	4	0	12	0	0	12	0	6	2	7	3	2	0	1	4	0	0	4	2	1	0	1	5	0	1	3	2	1	1	5	0	0	0	0	0	1	4	0	2	30	18	26	11	9	3	7	11	4	23	5	23	3					
		1.24%	0.0%	0.0%	0.52%	0.91%	1.11%	2.40%	0.0%	0.0%	1.08%	0.0%	2.24%	0.0%	0.0%	2.94%	0.0%	1.91%	1.98%	2.38%	0.86%	0.64%	0.0%	1.66%	0.70%	0.0%	0.0%	1.05%	0.55%	0.70%	0.0%	1.21%	2.22%	0.0%	0.51%	2.18%	0.46%	0.89%	0.35%	1.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	1.53%	0.0%	1.85%	2.33%	1.56%	2.38%	0.86%	0.98%	0.42%	1.47%	1.90%	2.03%	2.31%	1.79%	1.79%	0.67%					
