Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Табунская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501					
1	"Число избирателей, внесенных в списки"	8123	2936	208	146	196	1155	133	192	281	153	735	93	160	143	155	629	114	54	393	123	30	43	51					
2	"Число бюллетеней, полученных участковыми комиссиями"	8247	2923	221	155	197	1141	145	202	283	161	747	105	163	148	154	622	125	60	407	153	36	46	53					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5355	1716	153	133	132	720	98	158	193	115	485	64	135	115	73	431	92	47	291	95	30	43	36					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	174	86	0	0	0	28	6	0	10	2	8	0	0	0	0	23	1	0	9	1	0	0	0					
6	Число погашенных бюллетеней	2718	1121	68	22	65	393	41	44	80	44	254	41	28	33	81	168	32	13	107	57	6	3	17					
7	Число бюллетеней в переносных ящиках для голосования	174	86	0	0	0	28	6	0	10	2	8	0	0	0	0	23	1	0	9	1	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	5354	1716	153	133	132	719	98	158	193	115	485	64	135	115	73	431	92	47	291	95	30	43	36					
9	Число недействительных бюллетеней	53	9	2	4	5	13	2	0	0	1	2	1	0	1	1	5	4	0	3	0	0	0	0					
10	Число действительных бюллетеней	5475	1793	151	129	127	734	102	158	203	116	491	63	135	114	72	449	89	47	297	96	30	43	36					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	10	4	4	4	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	9	1	0	0	2	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	5	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1					
14	Число погашенных открепительных удостоверений	81	1	3	4	4	8	4	4	4	4	4	4	4	0	4	1	4	4	4	4	4	4	4					
15	Число открепительных удостоверений выданных ТИК	16	0	0	0	4	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	110	20	4	1	9	14	1	1	5	6	6	5	6	4	0	13	6	1	6	1	0	0	1					
		1.98%	1.10%	2.61%	0.75%	6.81%	1.87%	0.96%	0.63%	2.46%	5.12%	1.21%	7.81%	4.44%	3.47%	0.0%	2.86%	6.45%	2.12%	2.0%	1.04%	0.0%	0.0%	2.77%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	116	47	5	5	2	20	1	0	0	1	9	1	1	0	3	9	5	2	2	0	0	3	0					
		2.09%	2.60%	3.26%	3.75%	1.51%	2.67%	0.96%	0.0%	0.0%	0.85%	1.82%	1.56%	0.74%	0.0%	4.10%	1.98%	5.37%	4.25%	0.66%	0.0%	0.0%	6.97%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	117	34	0	3	1	14	6	2	8	4	15	1	2	2	3	15	0	0	6	0	0	1	0					
		2.11%	1.88%	0.0%	2.25%	0.75%	1.87%	5.76%	1.26%	3.94%	3.41%	3.04%	1.56%	1.48%	1.73%	4.10%	3.30%	0.0%	0.0%	2.0%	0.0%	0.0%	2.32%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	84	30	1	0	0	8	1	0	0	4	20	0	0	0	1	10	1	0	7	1	0	0	0					
		1.51%	1.66%	0.65%	0.0%	0.0%	1.07%	0.96%	0.0%	0.0%	3.41%	4.05%	0.0%	0.0%	0.0%	1.36%	2.20%	1.07%	0.0%	2.33%	1.04%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	20	4	0	2	0	5	2	0	0	1	0	0	0	0	1	3	0	0	0	0	0	2	0					
		0.36%	0.22%	0.0%	1.50%	0.0%	0.66%	1.92%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	1.36%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	4.65%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	3	3	0	0	0	1	2	0	1	0	0	1	1	2	2	0	0	1	0	0	0	0					
		0.30%	0.16%	1.96%	0.0%	0.0%	0.0%	0.96%	1.26%	0.0%	0.85%	0.0%	0.0%	0.74%	0.86%	2.73%	0.44%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	6	0	0	1	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1					
		0.27%	0.33%	0.0%	0.0%	0.75%	0.40%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	2.77%					
25	"8. ""Народно-республиканская партия России"""	6	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0					
		0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.56%	0.74%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.16%	0.65%	0.0%	0.0%	0.13%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	796	272	19	14	6	85	12	26	39	4	70	11	30	14	5	88	2	9	57	13	13	3	4					
		14.39%	15.09%	12.41%	10.52%	4.54%	11.37%	11.53%	16.45%	19.21%	3.41%	14.19%	17.18%	22.22%	12.17%	6.84%	19.38%	2.15%	19.14%	19.0%	13.54%	43.33%	6.97%	11.11%					
28	"11. ""Истинные патриоты России"""	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.11%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	52	22	2	2	2	3	2	0	1	1	7	3	1	3	0	1	0	0	1	0	1	0	0					
