Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Касимовская городская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в список избирателей"	29806	1456	1462	1312	1173	1375	1335	1350	734	723	1623	1491	1398	1457	1546	1638	1311	1468	1474	1319	1485	1344	1332					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22800	1100	1100	1000	1000	1100	1000	1100	600	600	1100	1100	1100	1100	1100	1200	1100	1100	1100	1000	1100	1100	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16062	743	746	680	673	718	637	683	361	376	904	797	621	855	931	910	767	837	859	676	788	730	770					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1293	28	21	40	44	75	233	52	21	30	38	46	162	35	42	37	51	61	53	72	72	42	38					
6	Число погашенных избирательных бюллетеней	5445	329	333	280	283	307	130	365	218	194	158	257	317	210	127	253	282	202	188	252	240	328	192					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1293	28	21	40	44	75	233	52	21	30	38	46	162	35	42	37	51	61	53	72	72	42	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16061	743	746	680	673	718	637	683	361	376	904	797	621	855	931	910	766	837	859	676	788	730	770					
9	Число недействительных избирательных бюллетеней	470	8	8	9	69	13	12	7	0	5	13	106	14	110	8	10	9	11	12	16	12	10	8					
10	Число действительных избирательных бюллетеней	16884	763	759	711	648	780	858	728	382	401	929	737	769	780	965	937	808	887	900	732	848	762	800					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	630	28	30	31	27	27	25	22	32	14	33	27	27	26	30	49	25	25	29	39	30	23	31					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	630	28	30	31	27	27	25	22	32	14	33	27	27	26	30	49	25	25	29	39	30	23	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	837	25	13	9	26	31	68	19	6	23	124	63	45	72	21	69	11	24	22	46	44	8	68					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	2	0	1	0	1	0	0	2	1	1	1	3	1	0	0	0	2	3	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2394	105	166	114	69	89	136	92	50	62	137	46	94	75	130	138	120	134	126	102	140	140	129					
		13.80%	13.62%	21.64%	15.83%	9.62%	11.22%	15.63%	12.52%	13.09%	15.27%	14.54%	5.46%	12.01%	8.43%	13.36%	14.57%	14.69%	14.92%	13.82%	13.64%	16.28%	18.13%	15.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2479	148	100	93	105	116	123	114	81	54	162	126	116	67	143	133	108	122	122	103	130	97	116					
		14.28%	19.20%	13.04%	12.92%	14.64%	14.63%	14.14%	15.51%	21.20%	13.30%	17.20%	14.95%	14.81%	7.53%	14.70%	14.04%	13.22%	13.59%	13.38%	13.77%	15.12%	12.56%	14.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	179	15	12	9	1	7	3	10	2	2	12	0	10	9	11	8	4	11	10	9	12	12	10					
		1.03%	1.95%	1.56%	1.25%	0.14%	0.88%	0.34%	1.36%	0.52%	0.49%	1.27%	0.00%	1.28%	1.01%	1.13%	0.84%	0.49%	1.22%	1.10%	1.20%	1.40%	1.55%	1.24%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4063	178	179	158	158	152	236	149	76	88	204	209	184	193	178	213	236	195	261	190	210	212	204					
		23.41%	23.09%	23.34%	21.94%	22.04%	19.17%	27.13%	20.27%	19.90%	21.67%	21.66%	24.79%	23.50%	21.69%	18.29%	22.49%	28.89%	21.71%	28.62%	25.40%	24.42%	27.46%	25.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	400	24	25	18	2	10	18	19	13	13	40	0	18	24	19	23	28	16	26	12	21	18	13					
		2.30%	3.11%	3.26%	2.50%	0.28%	1.26%	2.07%	2.59%	3.40%	3.20%	4.25%	0.00%	2.30%	2.70%	1.95%	2.43%	3.43%	1.78%	2.85%	1.60%	2.44%	2.33%	1.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7290	290	274	314	312	403	337	340	158	180	371	355	341	408	480	417	307	406	351	315	331	276	324					
		42.01%	37.61%	35.72%	43.61%	43.51%	50.82%	38.74%	46.26%	41.36%	44.33%	39.38%	42.11%	43.55%	45.84%	49.33%	44.03%	37.58%	45.21%	38.49%	42.11%	38.49%	35.75%	40.10%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	79	3	3	5	1	3	5	4	2	2	3	1	6	4	4	5	5	3	4	1	4	7	4					
		0.46%	0.39%	0.39%	0.69%	0.14%	0.38%	0.57%	0.54%	0.52%	0.49%	0.32%	0.12%	0.77%	0.45%	0.41%	0.53%	0.61%	0.33%	0.44%	0.13%	0.47%	0.91%	0.50%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
