Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Бугульминская городская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	66165	1582	1369	1486	1617	1448	859	1639	1175	1479	1157	988	965	2139	1375	1360	1238	1616	1973	1311	1164	1038	1131	1435	1100	1703	1881	1590	1451	1252	1144	1050	1020	1230	1774	1460	1569	1546	1537	1849	1184	1170	1510	1721	1172	984	1349	996	970	140	269									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60850	1580	1370	1510	1470	1290	770	1480	1060	1330	1040	1100	870	1920	1240	1250	1160	1420	1780	1200	1060	980	1070	1320	990	1540	1700	1450	1320	1130	1030	1000	960	1170	1600	1320	1420	1400	1390	1660	1080	1070	1370	1560	1080	900	1220	900	880	140	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	52989	1286	1116	1213	1334	1186	719	1376	910	1199	958	839	751	1739	1101	1014	806	1303	1545	1069	960	798	933	1143	879	1388	1486	1304	1183	1017	955	838	811	945	1249	1119	1295	1241	1253	1522	917	889	1222	1458	873	802	1066	792	778	140	269									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2497	45	20	25	23	15	3	20	74	38	25	11	50	51	44	128	233	71	90	45	30	67	27	62	43	26	38	16	29	25	40	38	36	26	224	98	7	45	23	13	80	105	31	15	147	18	116	34	27	0	0									
6	Число погашенных избирательных бюллетеней	5364	249	234	272	113	89	48	84	76	93	57	250	69	130	95	108	121	46	145	86	70	115	110	115	68	126	176	130	108	88	35	124	113	199	127	103	118	114	114	125	83	76	117	87	60	80	38	74	75	0	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2497	45	20	25	23	15	3	20	74	38	25	11	50	51	44	128	233	71	90	45	30	67	27	62	43	26	38	16	29	25	40	38	36	26	224	98	7	45	23	13	80	105	31	15	147	18	116	34	27	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	52986	1286	1116	1212	1334	1184	719	1376	910	1199	958	839	751	1739	1101	1014	806	1303	1545	1069	960	798	933	1143	879	1388	1486	1304	1183	1017	955	838	811	945	1249	1119	1295	1241	1253	1522	917	889	1222	1458	873	802	1066	792	778	140	269									
9	Число недействительных избирательных бюллетеней	372	3	21	5	28	32	10	0	0	0	23	0	0	15	1	7	0	14	17	3	2	7	0	4	3	5	4	10	2	9	0	0	7	9	6	0	3	9	0	0	0	0	10	26	55	17	0	0	0	0	5									
10	Число действительных избирательных бюллетеней	55111	1328	1115	1232	1329	1167	712	1396	984	1237	960	850	801	1775	1144	1135	1039	1360	1618	1111	988	858	960	1201	919	1409	1520	1310	1210	1033	995	876	840	962	1467	1217	1299	1277	1276	1535	997	994	1243	1447	965	803	1182	826	805	140	264									
