Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Хангаласская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23092	247	289	230	640	174	318	189	745	1133	85	1118	53	2300	1292	397	960	2272	2910	692	1791	642	345	1466	617	163	557	585	169	545	168									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23100	250	300	240	650	190	300	200	800	1170	80	1100	50	2320	1260	510	1000	2170	2870	670	1800	660	380	1390	530	170	570	590	180	540	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	165	0	0	0	0	0	0	0	66	39	0	0	0	0	0	0	0	0	0	0	12	22	7	9	1	0	2	7	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11583	155	173	175	380	113	196	131	359	559	63	459	32	1091	592	193	336	806	1333	345	916	416	194	849	402	101	297	390	126	310	91									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	801	12	8	6	25	5	7	7	40	56	2	86	1	51	63	9	4	34	79	20	77	23	13	60	44	4	13	21	3	21	7									
6	Число погашенных избирательных бюллетеней	10551	83	119	59	245	72	97	62	335	516	15	555	17	1178	605	308	660	1330	1458	305	795	199	166	472	83	65	258	172	51	209	62									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	966	12	8	6	25	5	7	7	106	95	2	86	1	51	63	9	4	34	79	20	89	45	20	69	45	4	15	28	3	21	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11578	155	173	175	380	113	196	131	359	559	63	459	32	1090	592	193	332	806	1333	345	916	416	194	849	402	101	297	390	126	310	91									
9	Число недействительных избирательных бюллетеней	206	8	3	2	4	0	3	3	7	15	0	11	0	24	9	4	5	15	26	0	17	4	9	17	4	1	3	4	1	6	1									
10	Число действительных избирательных бюллетеней	12338	159	178	179	401	118	200	135	458	639	65	534	33	1117	646	198	331	825	1386	365	988	457	205	901	443	104	309	414	128	325	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	584	10	12	12	15	10	12	12	25	40	3	20	7	40	20	7	20	35	70	10	30	17	7	45	17	5	11	27	15	25	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	469	10	12	10	13	10	9	10	24	40	2	20	7	29	20	1	12	18	49	6	21	17	7	27	17	5	7	27	15	21	3									
