Выборы Президента Российской Федерации																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Уссурийская																																																																																																																	
																																																																																																																	
Итоги голосования 																																																																																																																	
																																																																																																																	
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1329					
1	"Число избирателей, внесенных в список"	135571	1647	1679	2948	1915	514	607	1593	1839	2728	982	1001	1481	1495	1213	2637	2272	2724	2673	2870	1482	1598	1436	2413	347	1957	1341	1750	2216	2368	1446	2226	1702	1182	1925	2148	218	2312	2216	1412	2608	2180	637	1027	1175	1786	1545	768	1415	1342	551	1712	1677	2384	2569	1479	1057	2872	1136	1731	1739	1386	3018	802	1436	1280	1549	278	92	16	616	401	138	270	369	214	194	112	1063	452	192	1623	2853	530	1294	1807	865	133	114	234	259	84	283	155	144	190	505	560	136	1058	2815	2592	541	270	579	94	72					
2	Число полученных избирательных бюллетеней	137400	1500	1500	3000	2000	500	800	1600	2000	2600	1000	1000	1500	1500	1000	2500	2000	2500	2400	2500	1500	1500	1500	2500	400	2000	1300	1600	2200	2300	1300	2000	1600	1200	2000	2300	300	2000	2200	1500	3000	2000	700	1000	1100	2000	1500	800	1300	1400	600	1700	1600	2400	3000	1400	1000	3000	1000	1700	1700	1300	3000	1000	2000	1300	1500	350	200	200	650	500	150	300	400	200	200	150	1200	500	200	2000	3000	600	1300	2000	1000	200	100	250	300	100	300	150	150	200	550	650	150	1100	3000	2500	600	600	600	100	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	84659	1037	1033	2256	1240	285	311	923	1212	1580	546	654	962	927	812	1555	1524	1614	1471	1755	902	1061	788	1878	183	1434	700	906	1454	1488	773	1205	850	771	1104	1556	115	1374	1242	847	1792	1447	402	467	550	1003	722	356	677	817	332	892	989	1247	1951	887	646	1734	671	818	1115	786	2179	575	1373	723	931	278	92	16	616	353	108	200	325	175	179	96	650	299	124	926	1787	378	892	1093	596	104	79	217	213	84	215	119	97	162	331	176	124	588	1729	1340	496	251	578	94	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	4578	34	32	350	37	88	22	24	41	80	27	46	13	33	28	164	56	66	54	55	63	55	40	74	18	123	24	52	73	68	53	41	46	20	25	65	7	55	36	47	32	36	20	46	59	50	49	50	55	37	16	44	72	49	40	19	39	41	20	30	33	55	15	44	63	41	51	0	0	0	0	48	12	8	12	11	3	7	31	32	11	73	72	58	25	61	85	11	6	11	35	0	23	12	31	11	60	384	9	24	27	43	0	0	1	0	0					
6	Число погашенных избирательных бюллетеней	48042	429	435	394	723	127	467	653	747	940	427	300	525	540	160	781	420	820	875	690	535	384	672	548	199	443	576	642	673	744	474	754	704	409	871	679	178	571	922	606	1176	517	278	487	491	947	729	394	568	546	252	764	539	1104	1009	494	315	1225	309	852	552	459	806	381	564	536	518	72	108	184	34	99	30	42	63	14	18	47	448	169	65	1001	1141	164	383	846	319	85	15	22	52	16	62	19	22	27	159	90	17	488	1244	1117	104	349	21	6	31					
7	Число избирательных бюллетеней в переносных ящиках	4699	34	32	350	37	88	22	24	41	80	27	46	13	33	28	164	56	66	54	55	63	55	40	74	18	123	24	52	73	68	53	41	46	20	25	65	7	55	36	47	32	36	20	46	59	50	49	50	55	37	16	44	72	49	40	19	39	41	20	30	33	55	15	44	63	41	51	0	0	0	0	48	12	58	12	11	3	7	102	32	11	73	72	58	25	61	85	11	6	11	35	0	23	12	31	11	60	384	9	24	27	43	0	0	1	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	84388	1036	1033	2252	1240	197	311	923	1212	1580	546	654	961	927	812	1555	1524	1614	1471	1755	902	1061	787	1867	183	1396	700	906	1454	1420	772	1203	850	771	1104	1556	115	1369	1242	846	1790	1447	402	466	550	1003	717	356	677	817	332	892	989	1246	1951	868	646	1734	671	814	1114	786	2179	575	1373	723	930	278	92	16	616	353	108	200	325	175	179	96	650	299	124	926	1787	378	891	1093	596	104	79	217	213	84	215	119	97	162	331	176	124	588	1728	1328	494	251	578	94	69					
9	Число недействительных избирательных бюллетеней	1104	11	12	25	9	8	8	11	7	10	9	1	8	16	8	25	16	26	11	8	61	11	11	11	7	14	6	18	15	13	4	14	7	12	13	15	7	16	15	10	20	16	10	8	6	17	8	1	16	20	5	5	12	12	13	5	7	17	11	23	10	13	18	4	2	14	25	3	0	0	18	14	3	3	1	0	3	1	17	3	4	20	25	12	15	24	10	0	0	5	2	4	11	0	1	6	4	10	7	12	22	13	1	0	2	0	1					
10	Число действительных избирательных бюллетеней	87983	1059	1053	2577	1268	277	325	936	1246	1650	564	699	966	944	832	1694	1564	1654	1514	1802	904	1105	816	1930	194	1505	718	940	1512	1475	821	1230	889	779	1116	1606	115	1408	1263	883	1802	1467	412	504	603	1036	758	405	716	834	343	931	1049	1283	1978	882	678	1758	680	821	1137	828	2176	615	1434	750	956	275	92	16	598	387	117	255	336	186	179	102	735	328	131	979	1834	424	901	1130	671	115	85	223	246	80	227	131	127	167	387	550	126	600	1733	1358	493	251	577	94	68					
