Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Беговой 																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №3636	УИК №3637	УИК №3638									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24269	2441	2204	2411	2293	2154	1037	2127	2216	2175	2168	2395	529	99	20									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18470	1800	1700	1800	1700	1600	800	1600	1700	1700	1700	1700	550	100	20									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8458	894	763	666	804	694	336	672	726	750	679	909	447	99	19									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	219	19	24	25	19	19	6	17	14	18	36	22	0	0	0									
6	Число погашенных избирательных бюллетеней	9793	887	913	1109	877	887	458	911	960	932	985	769	103	1	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	219	19	24	25	19	19	6	17	14	18	36	22	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8427	894	754	666	804	694	336	654	726	747	678	909	447	99	19									
9	Число недействительных избирательных бюллетеней	131	16	7	11	5	19	11	15	2	6	8	14	13	2	2									
10	Число действительных избирательных бюллетеней	8515	897	771	680	818	694	331	656	738	759	706	917	434	97	17									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	20	20	20	20	20	20	20	20	20	20	20	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	139	12	18	13	5	9	9	14	11	12	16	20	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	314	42	14	17	30	41	8	7	9	50	25	22	44	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	81	8	2	7	15	11	11	6	9	8	4	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	3	0	1	1	3	0	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	337	40	18	33	39	23	12	26	28	30	25	45	15	3	0									
