Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Лысковская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1271	УИК №1272	УИК №1273					
1	"Число избирателей, внесенных в список избирателей"	32682	1292	1194	1501	1767	1087	2249	1175	1416	1061	1356	1293	1293	1476	1281	571	216	213	265	1132	315	427	376	148	531	751	407	596	187	266	471	679	278	324	655	192	1288	617	164	669	144	1230	129					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31380	1250	1200	1500	1800	1000	2200	1100	1350	1000	1300	1200	1150	1400	1150	600	200	200	300	1100	300	350	350	130	500	700	350	550	150	300	500	600	250	300	650	200	1350	550	150	650	200	1200	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15671	648	488	729	967	570	1199	367	735	550	661	628	546	643	538	271	94	118	124	574	124	158	203	106	214	381	227	280	83	116	175	386	133	169	354	70	614	337	96	254	75	589	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1856	25	17	23	37	20	22	57	13	13	29	24	198	15	15	64	43	17	71	31	48	74	34	17	103	71	40	30	17	61	74	94	48	59	17	30	21	35	13	125	31	75	5					
6	Число погашенных избирательных бюллетеней	13853	577	695	748	796	410	979	676	602	437	610	548	406	742	597	265	63	65	105	495	128	118	113	7	183	248	83	240	50	123	251	120	69	72	279	100	715	178	41	271	94	536	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1856	25	17	23	37	20	22	57	13	13	29	24	198	15	15	64	43	17	71	31	48	74	34	17	103	71	40	30	17	61	74	94	48	59	17	30	21	35	13	125	31	75	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15671	648	488	729	967	570	1199	367	735	550	661	628	546	643	538	271	94	118	124	574	124	158	203	106	214	381	227	280	83	116	175	386	133	169	354	70	614	337	96	254	75	589	77					
9	Число недействительных избирательных бюллетеней	178	30	4	9	2	8	7	2	3	6	5	4	6	6	8	4	0	1	2	7	1	6	4	7	2	1	5	2	2	2	2	5	0	2	7	0	7	4	1	1	0	3	0					
10	Число действительных избирательных бюллетеней	17349	643	501	743	1002	582	1214	422	745	557	685	648	738	652	545	331	137	134	193	598	171	226	233	116	315	451	262	308	98	175	247	475	181	226	364	100	628	368	108	378	106	661	82					
